file_in,title,journal,count_prereg,prereg_context,prereg_term_context
,,,,"rsion exactly fits the substantive specifi- cation from the preregistration. this illustrates how human errors can be addressed in registered reports. 192 political behavior (2020) 42:189–212 1 3 1986b, a). these dual-process models of information processing maintain that humans use both an explicit and an implicit form of reasoning, the former requir- ing much more cognitive energy. to preserve energy, humans normally rely on the implicit form of reasoning and ",
,,,,"possible. in contrast to past work, however, this article’s preregistered design specified ahead of time that it would utilize the panel structure of the anes. this study measures all predictors in the pre-election wave, but measures the dependent variable of reported vote choice in the post-election wave. so while certain observable variables may have feedback loops, the time ordering is correct for affective intelligence theory because it is impossible for res",
,,,," pride had heightened towards trump. turning to testing the preregistered hypotheses of interest, table 3 summarizes the findings from estimating the model from eq. (1) over the 2012 anes data. the first eight numeric rows present marginal posterior summaries of the coefficients 15 in the online appendix, table a.7 presents an alternate version of the 2016 model that excludes dis- gust, for the sake of comparability with the 2012 model. the results of appendix t",
,,,," and maxi- mum levels of anxiety—which is actually what the preregistered design calls for. the preregistered ver- sions are online because the wider spread in anxiety reduces credible interval overlap, making the color- required figures easier to read. 204 political behavior (2020) 42:189–212 1 3 this effect differs noticeably when moving from one level of anxiety to another. the red dashed line for low-anxiety voters is the steepest and shows the greatest sepa",
,,,,"ch is actually what the preregistered design calls for. the preregistered ver- sions are online because the wider spread in anxiety reduces credible interval overlap, making the color- required figures easier to read. 204 political behavior (2020) 42:189–212 1 3 this effect differs noticeably when moving from one level of anxiety to another. the red dashed line for low-anxiety voters is the steepest and shows the greatest separa- tion of vote choice among partis",
,,,,"test model, this section now turns to the true tests of the preregistered hypotheses using the 2016 anes data. table 4 reports the same model for the 2016 election, with the addition of disgusted as a fifth measure of can- didate emotion. just as in 2012, the first three numeric columns of this table report the main effects for partisanship, issue proximity, and candidate qualities. again in 0.0 0.2 0.4 0.6 0.8 1.0 0.0 0.2 0.4 0.6 0.8 1.0 partisanship−−higher va",
,,,,"tive model of vote choice. all of this was completed with a preregistered design that was developed before the votes were counted in the 2016 election with a regis- tered report that was reviewed before the 2016 anes data were released. 209 1 3 political behavior (2020) 42:189–212 for readers interested in how a registered report works as part of the traditional review process, i first point to the online appendix for examples of robustness checks and even addit",
,,,," affect behavior. how- ever, because it was not part of the preregistered design readers can note that it was not theoretically anticipated by the author—rather something that was learned from data. this distinction between hypothesis testing and reporting based on empirical observations and suggested ideas is worthwhile as future political behavior research determines how to further examine the role of emotions in politics. additionally, a software error from t",
,,,,"otions in politics. additionally, a software error from the preregistered design is reported for full disclosure in the appendix, so that shows how human errors can be transparently presented in cases like this. overall, this study and others from the erpc2016 should serve to show how a registered report can fit into academic journals. researchers are encouraged to give preregistration a try in a study to see how it works in practice for themselves. besides the ",
,,,," into academic journals. researchers are encouraged to give preregistration a try in a study to see how it works in practice for themselves. besides the intriguing side point that anxiety can reduce turnout, the tests of the preregistered hypotheses are informative. to start, the results from 2016 mostly fit with the expectations of affective intelligence theory (and the 2012 results exactly fit with the theoretical expectations). in 2016, we saw that voters who",
,,,,"ide point that anxiety can reduce turnout, the tests of the preregistered hypotheses are informative. to start, the results from 2016 mostly fit with the expectations of affective intelligence theory (and the 2012 results exactly fit with the theoretical expectations). in 2016, we saw that voters who were anx- ious about the candidate from their own party were less likely to rely strictly on the normal vote that their partisanship would imply. that is, anxious v",
,,,,"nalysis, 21(1), 21–37. monogan, j. e, iii. (2015). research preregistration in political science: the case, counterarguments, and a response to critiques. political science and politics, 48(3), 425–429. 212 political behavior (2020) 42:189–212 1 3 mutz, d. c. (1998). impersonal influence: how perceptions of mass collectives affect political attitudes. new york: cambridge university press. neuman, w. r. (1981). differentiation and integration: two dimensions of p",
10.1007_s11109-018-9499-8,Self-awareness of political knowledge,Political Behavior,1,"he study (2000020387). an overview of the analytic plan was pre-registered in the evidence in governance and politics repository (20170629aa). a replication file is available at dataverse.harvard. edu/dataverse/polbehavior. references ahler, d. j., & sood, g. (2018). the parties in our heads: misperceptions about party composition and their consequences. the journal of politics, 80(3), 694–981. alvarez, r. m., & franklin, c. h. (1994). uncertainty and political p",
10.1007_s11109-019-09534-z,Do means of program delivery and distributional consequences affect policy support? {Experimental} evidence about the sources of citizens' policy opinions,Political Behavior,1,"ted on mturk was intended as a pilot study, thus we did not pre-register a plan for analysis. 1114 political behavior (2020) 42:1097–1118 1 3 p < 0.05). this effect in the mturk sample is approximately 15% of the standard deviation of responses in the direct treatment. while the respondents in both sam- ples appear to prefer the indirect framing of the hmid, the difference in the mag- nitude of results leads us to be cautious in characterizing citizens preference", proce- dures we follow in our analyses were decided and documented prior to data collec- tion in a pre-analysis plan.13 survey respondents are asked about two hypothetical prospective policies: a pro- gram that provides newborns and their mothers with nutritional assistance (nutri- tion policy) and a program that helps employed workers get additional training
,,,,,ed in experiment 2) reflect decisions made prior to data collection and that were documented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyya
,,,,,that were documented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-incom
,,,,,ocumented in two pre-analysis plans registered with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and post
,,,,,"red with evidence in governance and politics (egap). the pre-analysis plans are filed jointly under egap id 20170725aa. materials to replicate the analyses presented in this article are available here: https​://doi.org/10.7910/ dvn/xyyaq​c. 14 wic is a federally funded program that targets low-income pregnant and postpartum women, infants, and children"
,,,,,"s. details regarding the procedure we use were decided and documented prior to data collection in a pre-analysis plan 1107 1 3 political behavior (2020) 42:1097–1118 indirect transfers as less costly to the government, relative to direct transfers (nutri- tion: difference-of-means, ̂ pate = −0.47 in decreased cost, p < 0.01; job train- ing: difference-of-means"
,,,,,"s. details regarding the procedure we use were decided and documented prior to data collection in a pre-analysis plan 1112 political behavior (2020) 42:1097–1118 1 3 after learning about the distributional consequences of both policies, respondents may want to modify how much different income-groups benefit. we find sugges- tive evidence of this in the case of"
10.1007_s11109-019-09550-z,Exposure to immigration and admission preferences: evidence from france,Political Behavior,1,"mmigrants with particular characteris- tics. we conducted a pre-registered conjoint experiment in france in the aftermath of the 2017 french presidential election, and asked respondents to choose between hypothetical immigrants for admission. given the prominence of immigration rheto- ric in the campaign (kettley 2017; nossiter 2017), france’s historically unitarist, universalist, and secular understanding of nationhood and citizenship (brubaker 1992), the presen",
10.1007_s11558-017-9281-4,Who matters for memory: sources of institutional memory in international organization crisis management,The Review of International Organizations,1," subject ethics committee. the irb registration constitutes pre-registration of the experiment. 458 h. hardt military staff. (for this study, i did not receive funding or privileged access, and i was not employed by nato.) first, this study demonstrated that the us has an unexpected way of influencing io elite behavior. nato elites were found to be less likely to pass on knowledge when the us government reported the error. i argue that this effect is due to elite",
10.1007_s11558-017-9293-0,The first image reversed: igo signals and mass political attitudes,The Review of International Organizations,1,"university of colorado at boulder on february 25, 2016. our pre-registration for this study can be found at https://osf.io/ek4zx/. the first image reversed: igo signals and mass political attitudes 601 the experimental treatment in each scenario is the randomized exposure to an igo signal. in the economic scenario, the signal concerns a report from the world trade organization (wto) about the government’s (non)compliance with its free trade rules. in the conflict","lorado at boulder on february 25, 2016. our pre-registration for this study can be found at https://osf.io/ek4zx/. the first image reversed: igo signals and mass political attitudes 601 the experimental treatment in each scenario is the randomized exposure to an igo signal. in the economic scenario, the signal concerns a report from the world trade or"
10.1007_s11558-018-9305-8,Opening hours of polling stations and voter turnout: evidence from a natural experiment,The Review of International Organizations,2,"; hoffman et al. 2017). easy voter registration procedures, pre-registration laws, day-of-polling registration, postal voting, prepaid postage, and increasing the number of polling stations have also been shown to increase voter turnout (highton 1997, besley and case 2003, luechinger et al. 2007, funk 2010, brady and mcnulty 2011, bhatti 2012, gibson et al. 2013, burden et al. 2014, hodler et al. 2015, holbein and hillygus 2016, schelker and schneiter 2017).1 ano",
,,,," hillygus, d. s. (2016). making young voters: the impact of preregistration on youth turnout. american journal of political science, 60, 364–382. huber, p. j. (1967). the behavior of maximum likelihood estimates under nonstandard conditions. proceedings of the fifth berkeley symposium on mathematical statistics and probability, p 221–233. hsiang, s. m. (2010). temperatures and cyclones strongly associated with economic production in the caribbean and central ame",
10.1007_s11558-018-9331-6,The elusive sources of legitimacy beliefs: civil society views of international election observers,The Review of International Organizations,1,"nd zürn 2019). to test our ideas, we used a series of three pre-registered survey experiments involving real and hypothetical international election monitoring organizations.4 we invited hundreds of ngos based all over the world, in their roles as representatives of civil society, to share their evaluations of international election observation groups that could be invited to future elections in their country. we randomly varied informational treatments about cha","ed and later seen by the electoral observation groups. 4 we registered the experimental designs and pre-analysis plans here: http://egap.org/design-registrations, numbers 20151112ab and 20160224aa. the elusive sources of legitimacy beliefs: civil society views of... 687 our focus on international election monitoring organizations as a case enables us to extend"
,,,,,"al observation groups. 4 we registered the experimental designs and pre-analysis plans here: http://egap.org/design-registrations, numbers 20151112ab and 20160224aa. the elusive sources of legitimacy beliefs: civil society views of... 687 our focus on international election monitoring organizations as a case enables us to extend the study of legitimacy"
,,,,,"ganization the elusive sources of legitimacy beliefs: civil society views of... 705 as noted in the pre-analysis plan, the experiment was well-powered, so we emphasize that these null results are precisely estimated. the 95% confidence intervals for the differences suggest that votes might be roughly 1.5 points higher or lower (on the 100-point scale with the "
10.1007_s11558-020-09401-1,"Foreign aid, oil revenues, and political accountability: evidence from six experiments in ghana and uganda",The Review of International Organizations,2,"iled prior to researcher access to the 2014 survey data, we pre-registered the following hypothesis: hypothesis 1 compared to oil funds, revenue from foreign aid will produce greater demands for accountability from citizens on government leaders. 3heinrich and loftis (2019) remain a rare exception by focusing on anti-incumbency economic voting. 4see martin (2014). “taxation, loss aversion, and accountability: theory and experimental evidence for taxation’s effect","citizens might expect greater benefits from aid due to its perceived lower corruption, in the first pre-analysis plan filed prior to researcher access to the 2014 survey data, we pre-registered the following hypothesis: hypothesis 1 compared to oil funds, revenue from foreign aid will produce greater demands for accountability from citizens on government leade"
,,,,"ioral and attitudinal outcome measures. for analysis and as pre-registered, we combined these into an action index. appendix a provides the wording for the individual items used to construct the index. action focuses on the actions citizens might take to moni- tor and sanction the government for its use of the revenues, and it allows us to test our hypothesis. the index includes items that ask citizens whether they would support an independent agency to track the","shua kertzer, randall stone, laura paler, dillon laaker, xiaojun li, and christopher kilby, and the egap and peio audiences for helpful comments. we thank fmms co. (gh.) ltd and ignosi research for their survey help. we especially owe many thanks to the late stephen knack, who launched the research agenda, inspired the research question, and collaborat"
10.1007_s12116-020-09302-9,Rethinking foreign aid and legitimacy: views from aid recipients in kenya,Studies in Comparative International Development,1,"review appears in the appendix. 4 blair and roessler (2018) preregistered their hypothesis that attributing aid projects to a foreign donor would reduce tax compliance, their measure of government legitimacy. this is further evidence that most scholars have, in their applications of existing theories, predicted a negative relationship between foreign aid and government legitimacy. see http://egap.org/ registration-details/1285. 5 while there is also surprising n","eories, predicted a negative relationship between foreign aid and government legitimacy. see http://egap.org/ registration-details/1285. 5 while there is also surprising new evidence that foreign aid improves political institutions (see jones and tarp 2016), this is a separate mechanism from the one invoked in predictions about government legitimacy. m"
10.1016_j.ejpoleco.2021.102056,Bias and careers: evidence from the aid effectiveness literature,European Journal of Political Economy,2,"ics, especially with regard to sharing of data and code and preregistration (christensen and miguel, 2018), and development of codes of ethics (levy and peart, 2008). analysis of the impact of changing standards is beyond the scope of our analysis. however, the scant available evidence suggests that not all changes improve science. for example, brodeur et al. (2016) found that specification searching coexists with a data and code sharing policy. 7 in contrast, h",
,,,,"and, e., johannesson, m., 2020. comparing meta-analyses and preregistered multiple-laboratory replication projects. nature human behavior 4 (4), 423–434. levy, d.m., peart, s.j., 2008. inducing greater transparency: towards the establishment of ethical rules for econometrics. e. econ. j. 34 (1), 103–114. levy, d.m., peart, s.j., 2016. gordon tullock’s ill-fated appendix. ‘‘flatland revisited’’ constitutional political economy 28 (1), 18–34. liner, g.h., sewell, ",
10.1016_j.ejpoleco.2021.102064,Making and breaking coalitions: strategic sophistication and prosociality in majority decisions,European Journal of Political Economy,1," work presented in the present manuscript. this project was pre-registered under: kittel, b., j. sauermann and m. schwaninger. 2018. “making and breaking coalitions: the influence of prosociality and rationality.” aea rct registry. april 06. https://www.socialscienceregistry.org/trials/2859/history/ 27723. appendix a. supplementary data supplementary data to this article can be found online at https://doi.org/10.1016/j.ejpoleco.2021.102064. j. sauermann et al. eu",
10.1016_j.electstud.2017.10.005,Timing the habit: voter registration and turnout,Electoral Studies,3,"ears old, 45–60 years old, and 61 and older; we exclude all pre-registered voters (16- and 17-year olds) from our models.9 fig. 2. propensity score distribution. table 1 propensity score weights. min. 1st qu. median mean 3rd qu. max. early registrant 0.57 0.69 0.73 0.75 0.79 1.26 late registrant 0.83 1.20 1.46 1.50 1.70 3.97 note: one common problem with iptw is the occurrence of extreme weights. however, based on the summary shown in table 1, no extreme weights ",
,,,,"me weights achieved. 9 florida permits eligible citizens to pre-register to vote when they turn 16. although other scholars have leveraged the possibility of registering to vote in florida before turning 18 to assess its impact on turnout (holbein and hillygus, 2016), we intentionally drop pre-registered voters if they were younger than 18 at the time of the november 4, 2008 presidential election. we also drop 2170 registrants who did not have a birthdate recorde",
,,,,"turnout (holbein and hillygus, 2016), we intentionally drop pre-registered voters if they were younger than 18 at the time of the november 4, 2008 presidential election. we also drop 2170 registrants who did not have a birthdate recorded in the january 2015 statewide voter ﬁle because their information was redacted from the public record due to privacy concerns. in alternative models (not shown), we limited our analysis to the 119,748 18–19 year olds who register",
10.1016_j.electstud.2018.10.005,Do citizens make inferences from political candidate characteristics when aiming for substantive representation?,Electoral Studies,1,"three policy issues (shown in random order).12 9 we did not pre-register our two experiments. all results reported are on the full set of observations, and no additional treatments were conducted. the codebook and data are fully available by contacting the norwegian centre for research data at http://www.nsd.uib.no/. 10 the data in our analysis come from the “norwegian citizen panel wave 6, 2016” and “norwegian citizen panel wave 7, 2016.” the survey was ﬁnanced ",
10.1016_j.electstud.2019.02.011,What is the cost of voting?,Electoral Studies,1," it easier to vote by means of election day registration or preregistration have been found to slightly increase turnout (braconnier et al., 2017; holbein and hillygus, 2016; neiheisel and burden, 2012). reducing the costs of voting by allowing internet voting as well has been found to moderately increase turnout (goodman and stokes, forthcoming). reforms or voting rules that are intended to increase the cost of voting such as strict voter identification require",
10.1016_j.electstud.2019.102086,Measuring youth and college student voter turnout,Electoral Studies,1,"hine hillygus, d., 2016. making young voters: the impact of preregistration on youth turnout. am. j. pol. sci. 60 (2), 364–382. hur, aram, achen, christopher h., 2013. coding voter turnout responses in the current population survey. public opin. q. 77 (4), 985–993. kam, cindy d., palmer, carl l., 2008. reconsidering the effects of education on political participation. j. politics 70 (3), 612–631. keele, luke, minozzi, william, 2013. how much is minnesota like wi",
10.1016_j.electstud.2020.102132,"What is the impact of bilingual communication to mobilize latinos? {Exploratory} evidence from experiments in new jersey, north carolina, and virginia",Electoral Studies,1,"nd hyde, 2015). 3 these three experiments were not formally pre-registered. the analyses in the paper and supplemental online materials are each based on the randomi­ zation process (e.g. blocked assignment, spillover in new jersey). the down­ stream analysis of the 2015 experiments was not part of their original analysis plan, but was added to the analysis plan when the 2016 replication was planned. 4 increasing participation in low salience elections is relativ",
10.1016_j.electstud.2020.102250,Making them pay: using the norm of honesty to generate costs for political lies,Electoral Studies,1,"ound in the appendix. the studies we discuss below were not preregistered, though the findings from study 3 formed the basis of a grant proposal for the funding that was used to carry out studies 1 and 2. this proposal laid out the hypotheses of these studies prior to gathering the data. 6 to assess effect of the manipulation, respondents in the 2019 qualtrics survey were asked to rank the importance of honesty, trustworthiness, intelli­ gence, and work ethic. d",
10.1016_j.polgeo.2020.102312,Where the violence happened matters. {Geopolitical} framing and assessments of collective responsibility for historical violence.,Political Geography,1,"sed crowdsourcing platform amazon me­ chanical turk wherein preregistered individuals choose to take part in the given survey (on the use of this platform, see hauser & schwarz, 2016; paolacci & chandler, 2014). the mean age was 40.79 (sd = 13.46, range 19–75). participants were randomly assigned to one of two conditions. one condition presented the massacre as having taken place in poland (n = 52), while the other presented it as having taken place in ukraine (",
10.1017_gov.2018.14,Putting politics in the lab: a review of lab experiments in political science,Government and Opposition,2,"ent and politics (egap, egap.org), in which researchers can pre-register their experiment.12 they write an outline detailing their design, including how many subjects they want to recruit and how they intend to analyse the results. the website then saves this document, so that when the paper is submitted for publication in a journal, the reader can easily check whe- ther what is reported ﬁts the initial intentions of the researcher. it is important to note that t","org/core/terms. experimentalists has created the online system evidence in government and politics (egap, egap.org), in which researchers can pre-register their experiment.12 they write an outline detailing their design, including how many subjects they want to recruit and how they intend to analyse the results. the website then saves this document, so"
,,,," that, at time of writing this line, egap is mostly used to pre-register ﬁeld experiments. 13 there are a few exceptions of political science studies published before 1960, such as gosnell (1926) or eldersveld (1956). references adida, c.l., laitin, d.d. and valfort, m.-a. (2016), ‘“one muslim is enough!” evidence from a field experiment in france’, annals of economics and statistics, 121/122: 121–60. amorim neto, o. and cox, g.w. (1997), ‘electoral institutions,","re/terms. experimentalists has created the online system evidence in government and politics (egap, egap.org), in which researchers can pre-register their experiment.12 they write an outline detailing their design, including how many subjects they want to recruit and how they intend to analyse the results. the website then saves this document, so that "
,,,,,"supposed to remain ideologically neutral (willis 2014). 12 note that, at time of writing this line, egap is mostly used to pre-register ﬁeld experiments. 13 there are a few exceptions of political science studies published before 1960, such as gosnell (1926) or eldersveld (1956). references adida, c.l., laitin, d.d. and valfort, m.-a. (2016), ‘“one mus"
10.1017_gov.2018.7,The twilight of the polls? {A} review of trends in polling accuracy and the causes of polling misses,Government and Opposition,1,"dy happened (gayo-avello 2012). when forecasts are actually preregistered, the performance has been poor (burnap et al. 2015). summarizing the existing research, mellon (2018) concludes that without validation against representative data, there is little hope that social media data will consistently outperform traditional data sources. review article 779 © the authors 2018. published by government and opposition limited and cambridge university press https://doi",
10.1017_pan.2017.22,Using split samples to improve inference on causal effects,Political Analysis,4,"the results, this would allow authors to have a record of a preregistered design when they submit the papertoanotherjournal.thatpapwouldlikelybesuperiortotheonethatresearcherswouldhave prepared on their own. marcel fafchamps and julien labonne  political analysis 479 downloaded from https://www.cambridge.org/core. australian national university, on 11 aug 2021 at 21:45:32, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/t",discuss a statistical procedure to carry out empirical research that combines recent insights about preanalysis plans (paps) and replication. researchers send their datasets to an independent third party who randomly generates training and testing samples. researchers perform their analysis on the training sample and are able to incorporate feedback from both
,,,," drawer. science 345(6203):1502–1505. gelman, andrew. 2014. preregistration: what’s in it for you? http://andrewgelman.com/2014/03/10/ preregistration-whats/. gelman, andrew. 2015. the connection between varying treatment effects and the crisis of unreplicable research. journal of management 41(2):632–643. gelman, andrew, john carlin, hal stern, david dunson, aki vehtari, and donald rubin. 2013. bayesian data analysis. 3rd edn. london: chapman and hall/crc. gerb","ent before accessing the data on which they will be run. a prominent example is the introduction of preanalysis plans (paps).3 such plans are written—and possibly shared with the research community—before any analysis is carried out. this reduces the risk that researchers select hypotheses that can be rejected with the available data (humphreys, sanchez de la"
,,,,": what’s in it for you? http://andrewgelman.com/2014/03/10/ preregistration-whats/. gelman, andrew. 2015. the connection between varying treatment effects and the crisis of unreplicable research. journal of management 41(2):632–643. gelman, andrew, john carlin, hal stern, david dunson, aki vehtari, and donald rubin. 2013. bayesian data analysis. 3rd edn. london: chapman and hall/crc. gerber, alan, and neil malhotra. 2008. do statistical reporting standards affec","politics network allows researchers to register both experimental and observational studies (http://egap.org/content/registration). similarly, the american economic association and the center for open science have recently set up similar registries. 465 downloaded from https://www.cambridge.org/core. australian national university, on 11 aug 2021 at 21"
,,,,". science 343(6166):30–31. monogan, james e. 2015. research preregistration in political science: the case, counterarguments, and a response to critiques. ps: political science & politics 48(3):425–429. nyhan, brendan. 2015. increasing the credibility of political science research: a proposal for journal reforms. ps: political science & politics 48(s1):78–83. olken, benjamin. 2015. pre-analysis plans in economics. journal of economic perspectives 29(3):61–80. pe"," out that the researcher can implement the bonferroni adjustments without a pap. 2.1.1 procedure 1: preanalysis plan with bonferroni corrections before having access to the data, the researcher can prepare and register a pap (humphreys, sanchez de la sierra, and van der windt 2013; olken 2015; dunning 2016). such a plan lists the hypotheses to be tested and d"
,,,,,"erican economic journal: applied economics 8(1):1–32. coffman, lucas c., and muriel niederle. 2015. pre-analysis plans are not the solution replications might be. journal of economic perspectives 29(3):81–98. dunning, thad. 2016. transparency, replication, and cumulative learning: what experiments alone cannot achieve. annual review of political science 19(1):"
