title,dataset_global_id
Replication Data for: Issue engagement across members of parliament:  the role of issue specialization and party leadership,10.7910/DVN/SDMHFG
"Replication Data for: ""Circumventing Legislative Committees: The U.S. Senate""",10.7910/DVN/Z9IZYX
Replication Data for: Do Politicians Ethnically Discriminate Against Hispanics? Evidence from a Field Experiment with State Legislative Offices,10.7910/DVN/OI44UU
Replication Data for: A Direct Test of Legislative Gatekeeping,10.7910/DVN/XKO3BN
Replication data for: Reconsidering the electoral connection of speeches: The impact of electoral vulnerability on legislative speechmaking in a preferential voting system,10.7910/DVN/GMFZ4X
Replication Data for: Shirking and Slacking in Parliament,10.7910/DVN/DBEKLH
Replication Data for: Non-Electoral Motivations to Represent Marginalized Groups in a Democracy: Evidence from an unelected legislature,10.7910/DVN/AWXKA5
Replication Data for: A Clarity Model of District Representation: District Magnitude and Pork Priorities,10.7910/DVN/07XIV0
Replication Data for: The Partisanship of House Committees and Member Self-Selection,10.7910/DVN/OQQTMB
"Replication for Legislative Constraints, Ideological Conflict, and the Timing of Executive Unilateralism",10.7910/DVN/PWWSFP
Replication Data for: The Effects of High-Information Environments on Legislative Behavior in the US House of Representatives,10.7910/DVN/YPON2J
Replication Data for: Problem Solving and Demand for Expert Information in Congress,10.7910/DVN/PAWMSP
Replication Data for: It Takes A Coalition: The Community Impacts of Collaboration,10.7910/DVN/RPAPDB
Replication Data for: Temporal Strategies,10.7910/DVN/KHZQA2
Replication Archive for: On Whose Door to Knock?  Organized Interests' Strategic Pursuit of Access to Members of Congress,10.7910/DVN/YWTALO
Replication Data for: Measuring Congressional Partisanship and Its Consequences,10.7910/DVN/QYDSAV
Replication Data for: The Effects of Women's Descriptive Representation on Government Behavior,10.7910/DVN/RLXMKD
"Bonvecchi, Alejandro, and Paula Clerici. 2021. Replication Data for: Vote Switching in Multiparty Presidential Systems: Evidence from the Argentine Chamber of Deputies.  ",10.7910/DVN/RAHFNN
Replication Data for: Partisanship and the Effectiveness of Personal Vote-Seeking,10.7910/DVN/ADOPTC
Replication Data for: The Politics of Select Committee Assignments in British House of Commons,10.7910/DVN/WR0L30
Replication Data for: Legislative Capacity in Germany's Parliaments,10.7910/DVN/BA8G7H
Replication Data for: Out‐of‐District Donors and Representation in the US House,10.7910/DVN/IX2IHN
"Replication Data for: ""Transaction Costs and Congressional Careers: The Effect of Flight Availability on Retirement Decisions""",10.7910/DVN/NU6PZZ
Replication Data for: Majority Party Agenda Setting: Picking Fights or Avoiding Them?,10.7910/DVN/SJXZIT
"Vol. 16(1): Replication Data for: Coalitions Matter: Citizenship, Women, and Quota Adoption in Africa",10.7910/DVN/LOUVM2
Vol 16(2): Replication Data for: Black Lives Matter: Evidence that Police- Caused Deaths Predict Protest Activity,10.7910/DVN/L2GSK6
"Vol. 16(2): Replication Data for: From Backwaters to Major Policymakers: Policy Polarization in the States, 1970-2014",10.7910/DVN/TZTW1J
Vol. 16(2): Replication Data for: America’s Two Worlds of Welfare: Subnational Institutions and Social Assistance in Metropolitan America,10.7910/DVN/4S83QX
Vol. 16(1): Data Memo for Schooling as a Formative Political Experience: Authority Relations and the Education of Citizens,10.7910/DVN/BYC7DS
Vol 16(2): When and How New Policy Creates New Politics: Examining the Feedback Effects of the Affordable Care Act on Public Opinion,10.7910/DVN/PBACES
Vol 16(2): Replication Data and Materials for: Conservative Advocacy and the Demobilization of the Public Sector Labor Movement,10.7910/DVN/L1E3F6
Vol 16(1): Replication Data for Importance of Public Meaning for Political Persuasion ,10.7910/DVN/WGMX7V
"Vol. 16(4): Replication Data for: Partners in Crime: An Empirical Evaluation of the CIA Rendition, Detention, and Interrogation Program",10.7910/DVN/CC8VFT
"Vol. 16(2): Replication Data for ""Representation in an era of political and economic inequality: How and when citizen engagement matters""",10.7910/DVN/SLXBX2
Vol. 16(3): Replication Data and Supplemental Materials for: Subjects and Scholars' Views on the Ethics of Political Science Field Experiments,10.7910/DVN/1WDVZB
"Vol. 16(4): Replication Data for: The Civic Voluntarism of ""Custodial Citizens"": Involuntary Criminal Justice Contact, Associational Life, and Political Participation",10.7910/DVN/Z09KDS
Vol 16(3): Replication Data for: Keeping Vigil: The Emergence of Vigilance Committees in Pre-Civil War America,10.7910/DVN/MWGOZS
Vol 16(4): Replication Data for Regulating Uber: The Politics of the Platform Economy in Europe and the United States,10.7910/DVN/QOOFYS
"Vol 16(4): Replication Data for: Disrupting Regulation, Regulating Disruption:  The Politics of Uber in the United States",10.7910/DVN/VZSO5S
"Vol. 17(1): Replication Data for: Beyond Democracy-Dictatorship Measures: A New Framework Capturing Executive Bases of Power, 1789-2016",10.7910/DVN/1KYJ3N
"Vol. 16(3): Replication Data for: Race, religion or culture? Framing Islam between racism and neo-racism in the online network of the French far-right",10.7910/DVN/Q8YTNL
"Vol. 17(2): Replication Data for: Media Coverage, Public Interest, and Support in the 2016 Republican Invisible Primary",10.7910/DVN/UGKVTJ
Vol. 17(1): Replication Data for: Who Participates in Local Government? Evidence from Meeting Minutes,10.7910/DVN/RRF7EU
Vol. 17(1): Replication Data for: Non-Party Government: Bipartisan Lawmaking and Party Power in Congress,10.7910/DVN/QTWGXI
Vol. 17(1): Replication Data for: From Within to Between Nations:  Subnational Comparison Across Borders,10.7910/DVN/V1OVVA
Vol. 16(4): Replication Data for: It's the End of the World and They Know It: How Dystopian Fiction Shapes Political Attitudes,10.7910/DVN/HM5XCO
"Vol. 17(1): Replication Data for Distelhorst and Fu, ""Performing Authoritarian Citizenship: Public Transcripts in China""",10.7910/DVN/KE2AQU
"Replication Data for: Rule By Violence, Rule by Law: Lynching, Jim Crow, and the  Continuing Evolution of Voter Suppression in the U.S.",10.7910/DVN/YFQE9W
"Replication Data for: Reconceptualizing Political Knowledge: Race, Ethnicity, and Carceral Violence",10.7910/DVN/IB504I
Vol 17(2): Replication Data for: The Differential Effects of Economic Conditions and Racial Attitudes in the Election of Donald Trump,10.7910/DVN/IEMA1T
Interest Groups on the Inside: The Governance of Public Pension Funds,10.7910/DVN/CNTPVV
Vol. 17(2): Replication Data for: Is There a Trump Effect? An Experiment on Political Polarization and Audience Costs,10.7910/DVN/ZELWZ7
Replication Data for: A Path out of Patriarchy? Political Agency and Social Identity of Women Fighters,10.7910/DVN/I5POAD
Vol. 17(3)- Replication Data for: The Hillary Hypotheses: Testing Candidate Views of Loss,10.7910/DVN/TX2UFT
Replication Data for: Accountability by Numbers: A New Global Transitional Justice Dataset (1946-2016),10.7910/DVN/1HCPSG
"Replication Data for: ""Who Rules the World? A Portrait of the Global Leadership Class""",10.7910/DVN/PFSCIY
"Replication Data for: ""Who Rules the World? A Portrait of the Global Leadership Class""",10.7910/DVN/FV7UOH
Replication Data for: “I’m Not the President of Black America”: Rhetorical Versus Policy Representation,10.7910/DVN/RTJ02G
"Vol. 17(3)- Replication Data for: How Unusual Was 2016? Flipping Counties, Flipping Voters, and the Education-Party Correlation Since 1952",10.7910/DVN/ZECDW0
"Vol. 18(1)- Replication Data for: Messi, Ronaldo, and the Politics of Celebrity Elections: Voting For the Best Soccer Player in the World",10.7910/DVN/4QJW0V
Vol. 17(3)- Replication Data for: Searching for Bright Lines in the Trump Presidency,10.7910/DVN/IYWXMF
Vol. 17(3)- Replication Data for: Conservatism in the Era of Trump,10.7910/DVN/QJ4MK0
Expressive Voting in Autocracies: A Theory of Non-Economic Participation  with Evidence from Cameroon,10.7910/DVN/ZGI2GF
Vol. 17(3)- Replication Data for: Trump-ing Foreign Affairs: Status Threat and Foreign Policy Preferences on the Right,10.7910/DVN/GNCDZR
Vol. 17(3)- Replication Data for: Adversaries or Allies?  Donald Trump’s Republican Support in Congress,10.7910/DVN/CVCF75
"Replication Data for: Partisan Polarization on Black Suffrage, 1785-1868",10.7910/DVN/2JT5JK
"Vol. 17(3)- Replication Data for: ""Collision with Collusion: Partisan Reaction to the Trump-Russia Scandal""",10.7910/DVN/XSGYWA
"Vol. 18(1)- Replication Data for: When Celebrity and Political Journalism Collide: Reporting Standards, Entertainment, and the Conundrum of Covering Donald Trump's 2016 Campaign",10.7910/DVN/3SFGTQ
"Replication Data for: Shut Up and Play: Black Athletes, Protest Politics and Black Political Action",10.7910/DVN/LGLTN2
Vol. 18(1)- Replication Data for: Don’t Republicans Tweet Too? Using Twitter to Assess the Consequences of  Political Endorsements by Celebrities,10.7910/DVN/RZPNLY
Vol. 17(3)- Replication Data for: The Role of Whiteness in the 2016 Presidential Primaries,10.7910/DVN/WHLUMW
Replication Data for: The Dynamics of Racial Resentment Across the 50 U.S. States,10.7910/DVN/J6SEGJ
Replication Data for: Gender Differences in Legislator Responsiveness,10.7910/DVN/8WLEMA
Replication Data for: Financial Solidarity: the Future of Unions in the post-Janus Era,10.7910/DVN/IH1AJS
Replication Data for: Before Reagan: The Development of  the Partisan Divide on Abortion,10.7910/DVN/HSAXKU
Replication Data for: Freedom of the Press and Public Responsiveness,10.7910/DVN/OGQJXI
Replication Data for: The Gender Gap is a Race Gap: Women Voters in U.S. Presidential Elections,10.7910/DVN/XQYJKN
Replication Data for: When Conflicts Do Not Overspill: The Case of Jordan,10.7910/DVN/EFLNUM
Replication Data for: Hard-to-Survey Populations and Respondent-Driven Sampling: Expanding the Political Science Toolbox,10.7910/DVN/XKOVUN
Replication Data for: The Militarization of Law Enforcement: Evidence from Latin America,10.7910/DVN/W1YYEV
Replication Data for: How Interior Immigration Enforcement Affects Trust in Law Enforcement,10.7910/DVN/0NVQK4
Replication Data for: Testing Theories about Advocacy and Public Policy,10.7910/DVN/7VW5HS
Replication Data for: Explaining Ethnoreligious Minority Targeting: Variation in U.S. Anti-Semitic Incidents,10.7910/DVN/XTVNXN
Replication Data for: Gender and Status in American Political Science: Who determines whether a scholar is noteworthy?,10.7910/DVN/FROKE5
"Replication Data for: ""Wait, there's torture in Zootopia? Examining the prevalence of torture in popular movies""",10.7910/DVN/MQAWKE
Replication Data for: The Geography of Citizenship Practice: How the Poor Engage the State in Rural and Urban India,10.7910/DVN/0NDRHU
Replication Data for: Public Emotions and Variations of Violence:  Evidence from Colombia,10.7910/DVN/IUCOEP
"Replication Data for: Paper Stones Revisited: Class Voting, Unionization, and the Electoral Decline of the Mainstream Left",10.7910/DVN/YBPZRS
Replication Data for: When Poor Students Attend Rich Schools: Do Affluent Social Environments Increase or Decrease Participation?,10.7910/DVN/360D4O
Replication Data for: Can We Do Better? Replication and Online Appendices in Political Science,10.7910/DVN/VXZZ0J
Replication Data for Retreat of the West,10.7910/DVN/X0LYXD
Replication Data for: The White Working Class and the 2016 Election,10.7910/DVN/N8ELFU
Replication Data for: Schooled by Strikes? The Effects of Large-Scale Labor Unrest on Mass Attitudes Towards the Labor Movement,10.7910/DVN/CDA5FN
Replication Data for: Do Voters Prefer Just Any Descriptive Representative? The Case of Multiracial Candidates,10.7910/DVN/E7CLML
Replication Data for: The EU’s Enfants Terribles:  Democratic backsliding in Central Europe since 2010,10.7910/DVN/4A8LOT
Replication Data for: Institutionalization of Ethnocultural Diversity and the Representation of European Muslims,10.7910/DVN/VX6UIH
"Replication Data for: Open Data from Authoritarian Regimes: New Opportunities, New Challenges",10.7910/DVN/AUTKAV
Replication Data for: Reducing Unequal Representation: The Impact of Labor Unions on Legislative Responsiveness in the US Congress,10.7910/DVN/L6KU0D
Replication Data for: Who is Open to Authoritarian Governance within Western Democracies?,10.7910/DVN/IFGSF5
Replication Data for: The Diffusion of Urban Medieval Representation: The Dominican Order as an Engine of Regime Change,10.7910/DVN/H0TT9U
"Replication Data for: Submerged for Some? Government Visibility, Race, and American Political Trust",10.7910/DVN/FXEJWI
"Replication Data for: ""Social Structure and Electoral Behavior in Comparative Perspective: The Decline of Social Cleavages in Western Europe Revisited""",10.7910/DVN/QVOPRT
"Replication Data for: Lord, Peasant... and Tractor? Agricultural Mechanization, Moore's Thesis and the Emergence of Democracy",10.7910/DVN/AQJWCG
Replication Data for: Breaking Bad? How Survey Experiments Prime Americans for War Crimes,10.7910/DVN/B6QSZ1
Replication Data for Social Welfare Attitudes and Immigrants as a Target Population: Experimental Evidence,10.7910/DVN/KHZER5
Replication Data for: The Language of Right-wing Populist Leaders: Not So Simple,10.7910/DVN/N5PYXZ
Replication Data for: Strategic Discrimination,10.7910/DVN/6FFKRI
Replication Data for: When does diffusing protest lead to local organization building? Evidence from a comparative subnational study of Russia’s “For fair Elections” movement,10.7910/DVN/D3OC1H
Replication Data for: The “American DREAM”: Understanding White Americans’ Support for the DREAM Act and Punitive Immigration Policies,10.7910/DVN/8BLCWK
Deliberative Archive for: The Qualitative Transparency Deliberations:  Insights and Implications,10.7910/DVN/SWVFV8
Replication Data for: Geographical Coverage in Political Science Research,10.7910/DVN/ZVP0TS
"Replication Data for: ""Why Do States Privatize their Prisons? The Unintended Consequences of Inmate Litigation""",10.7910/DVN/WRHPXL
Survivorship Bias in Comparative Politics: Endogenous Sovereignty and the Resource Curse,10.7910/DVN/ZU3K7H
Replication Data for: Substantive Divergence: The Meaning of Public Opinion on Government Spending in Red and Blue,10.7910/DVN/P8OYIZ
Replication Data for: Seeing Blue in Black and White: Race and Perceptions of Officer-Involved Shootings,10.7910/DVN/FW7M6T
Replication Data for: #polisci Twitter: A Descriptive Analysis of how Political Scientists Use Twitter in 2019,10.7910/DVN/SUBWTT
Replication Data for: Racial Projections in Perspective,10.7910/DVN/DGWILM
"Replication Data for: Incongruent Voting or Symbolic Representation? Asymmetrical Representation in Congress, 2008-2014",10.7910/DVN/2IYSI8
Blurring the Boundaries of War: PTSD in American Foreign Policy Discourse,10.7910/DVN/0CFNE7
Replication Data for: Clientelism from the Client's Perspective: A Meta-Analysis of Ethnographic Literature,10.7910/DVN/DSNO4T
Replication Data for: Exploiting a Crisis: Abortion Activism and the COVID-19 Pandemic,10.7910/DVN/P6YAMO
"Replication Data for: What Stymies Action on Climate Change? Religious Institutions, Marginalization, and Efficacy in Kenya",10.7910/DVN/R7XT2D
"Replication Data for: Race, Education, and Choice: How Blacks, Whites, and Latinos Navigate Personal and Political Decisions",10.7910/DVN/HEIR1W
Replication Data for: No Right to Be Wrong: What Americans Think About Civil-Military Relations,10.7910/DVN/MAIUD8
"Replication Data for: Examining Democratic and Republican National Committee Party Branding Activity, 1953-2012",10.7910/DVN/EDKNUT
Replication Data for: Creative Learning and Policy Ideas: The Global Rise of Green Growth,10.7910/DVN/AE0MKQ
Replication Data for: Who Do You Trust? The Consequences of Partisanship and Trust for Public Responsiveness to COVID-19 Orders,10.7910/DVN/CEJAHP
Replication Data for: Causal pathways of rebel defection from negotiated settlements: A theory of strategic alliances,10.7910/DVN/N613E0
Replication Data for: Pre-Analysis Plans: An Early Stocktaking,10.7910/DVN/DOELUB
Policy Feedback and Interdependence in American Federalism: Evidence from Rooftop Solar Politics,10.7910/DVN/AXQXYP
Replication Data for: Lost in translation?  Class cleavage roots and left electoral mobilization in Western Europe,10.7910/DVN/YRLGNR
"Replication Data for: Politics, Markets, and Pandemics: Public Education’s Response to COVID-19",10.7910/DVN/TTBTHP
"Replication Data for: Diasporic Foreign Policy Interest Groups in the US: Democracy, Conflict, and Political Entrepreneurship",10.7910/DVN/VB7ZLX
Replication Data for: Conducting the heavenly chorus: Constituent contact and provoked petitioning in Congress,10.7910/DVN/ZJ1END
"""I Hope to Hell Nothing Goes Back to The Way It Was Before"": COVID-19, Marginalization, and Native Nations",10.7910/DVN/Y916NP
Replication Data for: How Non-Majoritarian Institutions Make Silent Majorities Vocal: A Political Explanation of Authoritarian Populism,10.7910/DVN/7BCD4I
Replication Data for: Government Targeting of Refugees in the Midst of Epidemics,10.7910/DVN/98I0JX
Replication Data for: Vigilantes and the state: understanding violence through a security assemblages approach,10.7910/DVN/ONU9NB
Replication Data for: Voice and Balancing in US Congressional Elections,10.7910/DVN/P57GDP
Legitimacy and Policy during Crises: Subnational COVID-19 Responses in Bolivia,10.7910/DVN/W8LTRL
Replication Data for: Throwing Away the Key,10.7910/DVN/0UHBUM
Replication Data for: Partisanship in the #MeToo Era,10.7910/DVN/F9NSOK
Replication Data for: The Racialized Pandemic: Wave One of Covid-19 and the Reproduction of Global North Inequalities,10.7910/DVN/UX8DSG
"Replication data for: The Butterfly Did It: The Aberrant Vote for Buchanan in Palm Beach County, Florida",10.7910/DVN/EZ1UDS
Replication data for: What Do I Need to Vote? Bureaucratic Discretion and Discrimination by Local Election Officials,10.7910/DVN/28158
Replication data for: The Adverse Effects of Sunshine: A Field Experiment on Legislative Transparency in an Authoritarian Assembly,10.7910/DVN1/22636
"Replication data for: The Political Economy of IMF Lending in Africa.  American Political Science Review, 2004",10.7910/DVN/NNMDGM
"Replication data for: Oil, Islam, and Women",10.7910/DVN/BHU6SP
Replication data for: The Influence of Federal Spending on Presidential Elections,10.7910/DVN/CTQKJA
"Replication data for: “When Canvassers Became Activists: Antislavery Petitioning and the Political Mobilization of American Women,” American Political Science Review, 108(3) (August 2014), 479-498.",10.7910/DVN/27176
"Replication data for: The Political Determinants of International Trade: The Major Powers, 1907-90",10.7910/DVN/P9UL3O
Reproduction files for: A Source of Bias in Public Opinion Stability,10.7910/DVN/EGM43G
Replication data for: Crossing the Line: Local Ethnic Geography and Voting in Ghana,10.7910/DVN/IQW9LQ
Replication data for: Has Cable Ended the Golden Age of Presidential Television?,10.7910/DVN/H7HDX9
"Replication data for: State Lottery Adoptions as Policy Innovations: An Event History Analysis, 1990",10.7910/DVN/AICW6R
Replication data for: Issue Fluidity on the U.S. Supreme Court,10.7910/DVN/QJGWDY
"Replication data for: How does Cabinet Instability affect Political Performance: Credible Commitment, Information, and Health Care Cost Containment in Parliamentary Politics",10.7910/DVN/AOWHWQ
"Replication data for:  ""Economic versus Cultural Differences: Forms of Ethnic Diversity and Public Goods Provision.""",10.7910/DVN/Z7RTOQ
Replication data for: Campaign Communications in U.S. Congressional Elections.,10.7910/DVN/F4NUMR
"Replication data for: Identifying the Culprit: Democracy, Dictatorship, and Dispute Initiation",10.7910/DVN/FLJMRM
Replication data for: Perils or Promise of Ethnic Integration: Evidence from a Hard Case in Burundi,10.7910/DVN/23402
Replication data for: Powerful Pacifists: Democratic States and War,10.7910/DVN/I9TIIM
"Replication data for: Democracy, War Initiation, and Victory",10.7910/DVN/YYUVW7
Replication data for: Winners or Losers? Democracies in International Crises,10.7910/DVN/DA7BA3
Replication data for: Speak Softly and Carry a Big Stick? Veterans in the Policy Making Elite and the American Use of Force,10.7910/DVN/RRNIDP
Replication data for: Administrative Unit Prolifiration,10.7910/DVN/26937
"Replication data for: ""I wld like u WMP to extend electricity 2 our village:"" On Information Technology and Interest Articulation",10.7910/DVN/27192
Replication Data for: Representation in Municipal Government,10.7910/DVN/AXVEXM
Replication Data for: The Impact of Recentralization on Public Services: A Difference-in-Differences Analysis of the Abolition of Elected Councils in Vietnam,10.7910/DVN/IUG2C4
"Replication Data for: Demography and Democracy: A Global, District-level Analysis of Electoral Contestation",10.7910/DVN/7NC3UL
"Brown Earle Gehlbach ""Helping Hand or Grabbing Hand? State Bureaucracy and Privatization Effectiveness""",10.7910/DVN/K7292I
"Replication Data for: Charles Cameron and Jonathan P. Kastellec. ""Are Supreme Court Nominations a Move-the-Median Game?""",10.7910/DVN/YMMSIC
Replication Data for: Does Paying Politicians More Promote Economic Diversity in Legislatures?,10.7910/DVN/MT9X84
Replication Data for: Fast Estimation of Ideal Points with Massive Data,10.7910/DVN/HAU0EX
"Replication Data for: ""Technology and Collective Action: The Effect of Cell Phone Coverage on Political Violence in Africa""",10.7910/DVN/QR73H6
Replication Data for Democracy at Work: Moving Beyond Elections to Improve Wellbeing,10.7910/DVN/KDSF60
"It's Not Just What You Have, but Who You Know: Networks, Social Proximity to Elites, and Voting in State and Local Elections",10.7910/DVN/UTAP1V
"Replication Data for: Money, Reputation, and Incumbency in U.S. House Elections, or Why Marginals Have Become More Expensive",10.7910/DVN/NNBZP7
Replication Data for: Spontaneous Collective Action: Peripheral Mobilization During the Arab Spring,10.7910/DVN/2IGRV9
Process or Candidate: The International Community and the Demand for Electoral Integrity,10.7910/DVN/YFPCBP
Replication Data for: Testing Social Science Network Theories with Online Network Data: An Evaluation of External Validity,10.7910/DVN/K1XN7Q
Replication Data for: Demand for Law and the Security of Property Rights: The Case of Post-Soviet Russia,10.7910/DVN/T5DKRO
Replication Data for: Days of Action or Restraint? How the Islamic Calendar Impacts Violence,10.7910/DVN/1QZ0JZ
Replication Data for: The Political Violence Cycle,10.7910/DVN/GA0X38
"Replication Data for Economic Development, Mobility and Political Discontent: An Experimental Test of Tocqueville's Thesis in Pakistan",10.7910/DVN/EY2I6M
Replication Data for: Electoral Accountability for State Legislative Roll-Calls and Ideological Representation,10.7910/DVN/TKU9WH
The Death Camp Eldorado: Political and Economic Effects of Mass Violence,10.7910/DVN/8SR1GY
Replication Data for Safeguarding Democracy: Powersharing and Democratic Survival,10.7910/DVN/KGOUYI
"Replication Data for: A pairwise comparison framework for fast, flexible, and reliable human coding of political texts",10.7910/DVN/0ZRGEE
Replication Data for Public Employees as Politicians: Evidence from Close Elections,10.7910/DVN/V7SQRW
"Replication Data for: Digging into the Pocketbook: Evidence on Economic Voting from Income Registry Data Matched to a Voter Survey by Andrew Healy, Mikael Persson and Erik Snowberg",10.7910/DVN/OJQJRM
"Replication data for: The Political Economy of Unfinished Development Projects: Corruption, Clientelism, or Collective Choice?",10.7910/DVN/ZUMTTN
Replication Data for: Reevaluating the Middle Class Protest Paradigm: A Case-Control Study of Democratic Protest Coalitions in Russia,10.7910/DVN/5UMCKK
Replication Data for: Policy Uptake as Political Behavior: Evidence from the Affordable Care Act ,10.7910/DVN/INVDWM
Replication Data for: The Minimal Persuasive Effects of Campaign Contact in General Elections: Evidence from 49 Field Experiments,10.7910/DVN/RAMHWP
"Ideology, Grandstanding, and Strategic Party Disloyalty in British Parliament",10.7910/DVN/NEIYVD
"Replication Data for: Ideology, Grandstanding, and Strategic Party Disloyalty in British Parliament",10.7910/DVN/10HLY3
Replication Data for: The Politics of Policy: The Initial Mass Political Effects of Medicaid Expansion in the States,10.7910/DVN/X0ZPH4
"Replication Data for ""Collective Action and Representation in Autocracies: Evidence from Russia's Great Reforms""",10.7910/DVN/X7AMNO
Replication Data for: Positioning under Alternative Electoral Systems,10.7910/DVN/PENDX4
Replication Data for: Seeing the world through the other’s eye: An online intervention reducing ethnic prejudice,10.7910/DVN/KBRXOR
Replication Data for: Secular Party Rule and Religious Violence in Pakistan ,10.7910/DVN/VHNHHN
Replication Data for: Businesspeople in Elected Office: Identifying Private Benefits from Firm-Level Returns,10.7910/DVN/DO43V5
"Replication Data for: Policy Preferences and Policy Change: Dynamic Responsiveness in the American States, 1936–2014",10.7910/DVN/K3QWZW
Replication Data for Reading Between the Lines: Prediction of Political Violence Using Newspaper Text,10.7910/DVN/SJ8ER9
Replication Data for: Non-Representative Representatives: An Experimental Study of the Decision Making of Elected Politicians,10.7910/DVN/E7OQEY
Replication Data for: Agency Problems in Political Campaigns: Media Buying and Consulting,10.7910/DVN/XEXISR
Replication Data for: Social and Institutional Origins of Political Islam,10.7910/DVN/UJYEAD
Replication Data for: Global Competition and Brexit,10.7910/DVN/AL1A4Q
"Replication Data for: ""The Index of Emancipative Values: Measurement Model Misspecifications""",10.7910/DVN/TPGPCR
Replication Data for: Elite Competition and State Capacity Development: Theory and Evidence from Post-Revolutionary Mexico,10.7910/DVN/KZIXI0
