file_in,title,journal,count_prereg,prereg_context,prereg_term_context
10.1017_s0020818320000223,"Do women make more credible threats? {Gender} stereotypes, audience costs, and crisis bargaining",International Organization,2,"entative amerispeak panel.68 our design and hypotheses were pre-registered with evidence in governance and politics table 1. inconsistency cost predictions vs. male-male dyad foreign leader female male domestic leader female greater inconsistency costs greater inconsistency costs male greater inconsistency costs baseline 66. prescriptive gender stereotypes suggest that men should protect women, not fight them. stiehm 1982. while naurin, naurin, and alexander 2019","45, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/terms. (egap).69 to maximize comparability, the design and wording of the experiment closely follow that of seminal audience-cost experiments conducted by tomz and kertzer and brutger.70 the factors we varied are the united states’ crisis action (stay out, not e"
"","","",,"pilot study was fielded on amazon’s mturk platform prior to pre-registration and fielding on the amerispeak panel. 70. kertzer and brutger 2016; tomz 2007. 71. tomz 2007; kertzer and brutger 2016. 72. in the 2008 election, sarah palin was the republican vice presidential nominee, and hillary clinton was a democratic primary candidate. in the 2012 election, michele bachmann was a republican primary candidate. in the 2016 election, hillary clinton was the democrati",lower belligerence costs male lower belligerence costs baseline 69. the design is registered under egap id # 20190731ab. an exploratory pilot study was fielded on amazon’s mturk platform prior to pre-registration and fielding on the amerispeak panel. 70. kertzer and brutger 2016; tomz 2007. 71. tomz 2007; kertzer and brutger 2016. 72. in the 2008 elec
10.1017_s0020818320000600,Built on borders: tensions with the institution liberalism (thought it) left behind,International Organization,2," andi zhou, and michael weintraub, “maps to die for,” 2018, pre-registered at egap.org under id 20191111ab. available from the author. joel selway preregistered his parallel survey in thailand at <egap.org>, under id 20191217ad. 102. anderson 1991. built on borders: tensions with the institution liberalism (thought it) left behind 401 https://doi.org/10.1017/s0020818320000600 downloaded from https://www.cambridge.org/core. australian national university, on 22 ju"," 101. hein e. goemans, andi zhou, and michael weintraub, “maps to die for,” 2018, pre-registered at egap.org under id 20191111ab. available from the author. joel selway preregistered his parallel survey in thailand at <egap.org>, under id 20191217ad. 102. anderson 1991. built on borders: tensions with the institution liberalism (thought it) left behind"
"","","",,"under id 20191111ab. available from the author. joel selway preregistered his parallel survey in thailand at <egap.org>, under id 20191217ad. 102. anderson 1991. built on borders: tensions with the institution liberalism (thought it) left behind 401 https://doi.org/10.1017/s0020818320000600 downloaded from https://www.cambridge.org/core. australian national university, on 22 jul 2021 at 08:38:38, subject to the cambridge core terms of use, available at https://w","0191111ab. available from the author. joel selway preregistered his parallel survey in thailand at <egap.org>, under id 20191217ad. 102. anderson 1991. built on borders: tensions with the institution liberalism (thought it) left behind 401 https://doi.org/10.1017/s0020818320000600 downloaded from https://www.cambridge.org/core. australian national univ"
"","","",," we expected to find adverse effects—an expectation that we preregistered—any explanation is inevitably post hoc. none- theless, there are possibilities that future scholars might consider. first and most obvious, although critics view certain features of the chinese aid regime as problematic, citizens of recipient countries may not share that view. for example, if citizens reject good governance conditional- ities as paternalistic, they may prefer the unconditi","y, brazys, and elkink 2016. 12 our pap was registered with the evidence in governance and politics (egap) network prior to data collection, and is available at https://osf.io/qek4v. the pap refers specifically to our behavioral games in liberia, but our surveys and survey experiments are similar in approach, and our hypotheses are the same, regardless."
"","","",,"","nce in governance and politics (egap) network prior to data collection, and is available at https://osf.io/qek4v. the pap refers specifically to our behavioral games in liberia, but our surveys and survey experiments are similar in approach, and our hypotheses are the same, regardless. https://doi.org/10.1017/s004388712000026x downloaded from https://"
"","","",,"","s for this article can be found at https://doi.org/10.7910/dvn/5j h0wj. data availability statement preanalysis plan was registered at evidence in governance and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks."
"","","",,"","data availability statement preanalysis plan was registered at evidence in governance and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks.” working paper. at https://international.ucla.edu/media/files/pe"
"","","",,"","lysis plan was registered at evidence in governance and politics (egap) and can be found at https://osf.io/qek4v. references achen, christopher h., and larry m. bartels. 2004. “blind retrospection: elec- toral responses to drought, flu, and shark attacks.” working paper. at https://international.ucla.edu/media/files/perg.achen.pdf, accessed de- cember"
10.1017_s1049096515000463,Increasing the credibility of political science research: a proposal for journal reforms,PS: Political Science \& Politics,8,"erns about publication bias and replication failures is the preregistration of experimental trials—a practice that is mandated in some areas of medicine and is beginning to happen voluntarily by social science researchers conducting field experiments (particularly in development economics) or study- ing unobserved or uncollected observational data (e.g., grossman and pierskalla n.d.; monogan 2013). an emerging cross-disciplinary movement of researchers argues fo"," is a member of an ad hoc committee promoting the use of the registered reports format (see https://osf.io/8mpji). 6. a potential variant on this design is to include exploratory results as part of the first-round submission and then have a confirmatory analysis that is handled under the prespecification guidelines discussed herein. alternatively, jou"
10.1017_s1049096517002554,"Analytic transparency, radical honesty, and strategic incentives",PS: Political Science \& Politics,6,"epositories, requiring replication for publishable studies, prereg- istering experimental hypotheses, and sharing metadata includ- ing coding rules (lupia and elman 2014, 23). these strategies maximize data-related openness, ensure greater replicability, and contribute to da-rt’s stated goal of making political science a more credible enterprise. by contrast, far less attention focuses on the third pillar of da-rt: analytic transparency. analytic transparency ca","in an “alphabet soup” of similar undertakings across the behavioral sciences, among themcos, bitss, egap,gesis,osf,openaire, and project tier. all reflect the same existential fear: that aca- demia is bleeding credibility because too much work is riddled with questionable research practices that must be stopped. as sev- eral past apsa presidents declar"
"","","",," with new mandates such as enhancing data access, requiring preregistration, and encouraging collabo- rative openness. data repositories have appeared in many fields, such as the national science foundation–funded paleobiology database, which serves scholars of fossil animals, plants, and microorganisms by holding all collection-based occurrence and taxonomic data from any epoch. funding entities have imposed binding transparency and compliance rules. for instan","abet soup” of similar undertakings across the behavioral sciences, among themcos, bitss, egap,gesis,osf,openaire, and project tier. all reflect the same existential fear: that aca- demia is bleeding credibility because too much work is riddled with questionable research practices that must be stopped. as sev- eral past apsa presidents declared, “our l"
10.1017_s1049096518000033,Graduate advising in experimental research groups,PS: Political Science \& Politics,4," approach fits into two disciplinary- wide initiatives: (1) preregistration, and (2) the data access and research transparency (da-rt) initiative. this article is an exam- ple of one approach to graduate advising in research groups using experimental methods. planning document our group’s proclivity to use experiments means that there are resource constraints. our department has an experimental labora- tory and participant pool, but only a limited number of expe","mplementing field-experimental standards, see the evidence in governance and politics group (http://egap.org). 3. we conducted an informal survey of political science experimental labs at other institutions, receiving responses from 14 lab groups. of these, seven (50%) require a study planning document similar to ours. six lab groups (42.9%) hold regul"
10.1017_s1049096520000967,Improving social science: lessons from the open science movement,PS: Political Science \& Politics,11,"we focus on the practices of open data, open materials, and preregistra- tion. these often are thought of as means to improve the credibility of research—for example, through increasing reproducibility (i.e., ensuring that a reanalysis of the same data results in the same conclusions) and/or replicability (i.e., ensuring that an empirical replication of a study leads to the same conclusions). of course, open science also encom- passes other practices such as ope","strate how they have contributed to replicable, reproducible, and transparent research (see https://osf.io/7jbnt). ostensibly, openness has become main- stream. however, empirical follow-ups often have been sobering. even with open data and open materials, analyses may be reproduced only with considerable effort or help, if at all (e.g., hardwicke et "
"","","",,"en standards (lindsay 2017). by late 2018, more than 22,000 preregistrations had been filed on the open science framework. more than a dozen job advert- isements have asked applicants to add an open science statement to demonstrate how they have contributed to replicable, reproducible, and transparent research (see https://osf.io/7jbnt). ostensibly, openness has become main- stream. however, empirical follow-ups often have been sobering. even with open data and ","reregistration: comparing dream to reality.” psyarxiv, may 9. available at https://doi.org/10.31234/osf.io/d8wex. clark, william roberts, and matt golder. 2015. “big data, causal inference, and formal theory: contradictory trends in political science?” ps: political science & politics 48 (1): 65–70. connors, elizabeth c., yanna krupnikov, and john bar"
"","","",,"le effort or help, if at all (e.g., hardwicke et al. 2018). preregistrations often are too vague to keep researcher degrees of freedom at bay (veldkamp et al. 2018), and undisclosed deviations from the preregistered plan seem to be common (claesen et al. 2019). we now seem to have entered a phase in which the movement’s initial success has invited a broader range of proposals not always linked to openness as such, including calls for better measurement (flake an","ement practices and how to avoid them.” psyarxiv, january 17. available at https://doi.org/10.31234/osf.io/hs7wm. freese, jeremy, and david peterson. 2017. “replication in social science.” annual review of sociology 43:147–65. gilbert, daniel t., gary king, stephen pettigrew, and timothy d. wilson. 2016. “comment on estimating the reproducibility of p"
