file_in,title,journal,average marginal component effect,average treatment effect,carr.{20}exper,\bcausal\b,causal inference,choice experi...9,coefficient,condition,"conduct.{1,70}exper",confidence interval,joint analysis,joint experiment,control,control condition,control group,design,difference-in-differences,\beffect\b,estimator,"experi.{1,120}conduct",experi.{20}carri,"experi.{1,40}we","experi.{1,30}design","experiment.{1,10}design","experiment.{1,10}group","experiment.{1,10}manipul","experiment.{1,10}research",field experiment,"group.{1,10}treat",instrumental variable,interaction,internet experiment,intervention,"i{1,20}ran","i{1,20}random",lab experiment,laboratory experiment,likelihood estimator,list experim,list survey,manipulat,marginal means,maximum likelihood estimator,measure,mechanical turk,mturk,multilevel experiment,natural experiment,null result,\bols\b,"original.{1,10}experim",\bour\b,"our.{1,10}game","our.{1,20}experi","our.{1,30}find",p <,p =,p >,p<,p=,p>,participa,"participants.{1,30}assign",plot,polimetrix,post-test,posttest,pre-experiment,pre-test,predict,predicted probab,pretest,qualtrics,quasi-experi,random utility model,"random.{1,30}assign",randomi[sz]ed control trial,rct,rdd,recruit,"recruit.{1,20}participa","recruit.{1,20}respond","recruit.{1,20}subject",regression,respon,"respond.{1,10}were",review,sample size,simulat,statistical significance,statistically significant,"study.{1,20}experi",subject,"subject.{1,20}recruit",survey experi,systematic review,the experi,this experi,treatment effect,treatment group,thought experi,group experi,"use.{1,30}experi","using.{1,10}experiment","utili[sz].{1,70}exper",validity,vignette,vignette experiment,\bwe\b,"we.{1,150}experiment","we.{1,20}carr","we.{1,20}conduct","we.{1,20}design","we.{1,20}field","we.{1,20}find","we.{1,20}ran","we.{1,20}randomi","we.{1,20}recrui","we.{1,20}test","we.{1,40}design",yougov,µ,β,computation,regression discontinuity,discrete choice,cluster,choice experi...131,monte carlo,player,"experi.{1,10}condition","experi.{1,10}session",counterfact,count_experiment,exp_header,exp_sum,exp_avg,nchar
10.1017_s0007123419000620,Elite communication and the popular legitimacy of international organizations,British Journal of Political Science,0,7,0,8,0,0,3,18,5,9,0,0,12,0,11,10,0,12,0,2,0,3,3,2,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,8,1,0,0,0,0,2,0,30,0,6,9,0,0,0,0,0,0,2,0,2,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,1,0,0,0,2,32,4,20,3,0,0,14,0,5,0,6,0,5,0,22,11,0,0,1,0,0,5,20,0,91,13,0,7,1,0,7,2,0,0,3,2,4,0,0,0,0,0,3,0,0,0,1,0,0,32,0,464,3.48872180451128,82666
10.1016_j.marpol.2011.05.003,Analysis of the economic benefits associated with the recovery of threatened marine mammal species in the canadian st. {Lawrence} estuary,Marine Policy,0,0,0,0,0,4,0,1,0,0,0,0,1,0,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,91,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,27,2,0,2,1,0,0,4,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,198,1.48872180451128,54217
10.1111_insp.12007,In-and-outers and moonlighters: an evaluation of the impact of policy-making exposure on ir scholarship,International Studies Perspectives,0,0,0,11,1,0,0,2,0,0,0,0,47,0,25,5,5,23,0,0,0,2,0,0,0,0,1,0,2,0,2,0,6,2,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,71,0,1,4,0,0,0,0,0,0,12,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,3,8,0,20,0,0,0,3,0,0,0,0,0,0,0,1,25,0,0,0,0,0,1,0,0,90,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,402,3.02255639097744,89644
10.1016_j.polgeo.2015.11.001,Reading jamie peck and nik theodore's fast policy: experimental statecraft at the thresholds of neoliberalism,Political Geography,0,0,0,1,0,0,0,30,0,0,0,0,2,0,0,16,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,13,0,0,0,0,0,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,76,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,14,1,233,1.75187969924812,86168
10.1111_j.1748-5991.2012.01162.x,Responsive regulation: a co-author's appreciation,Regulation \& Governance,0,0,0,0,0,0,0,2,3,0,0,0,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,6,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,6,0,61,0.458646616541353,22347
10.1093_ijpor_eds014,What is this thing we call public opinion? {Reflections} on the spiral of silence,International Journal of Public Opinion Research,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,14,0,0,0,3,0,0,0,0,0,1,0,0,5,0,0,20,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,107,0.804511278195489,60312
10.1017_s1537592713000662,"Perfecting parliament: constitutional reform, liberalism, and the rise of western democracy. {By} roger d. {Congleton}. {New} york: cambridge university press, 2011. 668p. \$119.00 cloth, \$48.00 paper.",Perspectives on Politics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,22,0.165413533834586,12525
10.1177_0192512113501971,Alternative framing: the effect of the internet on political support in authoritarian china,International Political Science Review,0,0,0,6,0,0,0,1,5,0,0,0,33,0,8,2,0,30,0,3,0,4,1,1,0,0,0,1,0,0,2,0,1,2,0,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,13,0,2,3,0,12,0,0,0,0,23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,11,0,17,0,0,0,7,1,2,0,0,0,3,2,0,0,0,0,1,0,0,2,0,0,47,9,0,5,1,0,3,3,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,18,0,283,2.12781954887218,62707
10.1080_1540496x.2018.1555462,Trade-credit financing under financial constraints: a relational perspective and evidence from listed companies in china,Emerging Markets Finance and Trade,0,0,0,1,0,0,18,10,0,0,0,0,49,0,4,0,0,13,0,0,0,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,52,0,1,4,24,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,7,0,0,0,1,0,6,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,132,4,0,1,0,0,25,0,0,0,1,0,0,0,13,2,0,0,0,0,0,0,0,0,0,17,0,462,3.47368421052632,100408
10.1093_publius_pjs029,Beyond federalism: estimating and explaining the territorial structure of government,Publius: The Journal of Federalism,0,0,0,8,0,0,2,0,0,0,0,0,14,0,0,6,0,19,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,10,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,20,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,32,2,0,0,0,0,3,3,0,0,1,0,0,0,0,0,0,0,4,0,1,0,0,0,0,6,0,201,1.51127819548872,68995
10.1080_21622671.2017.1389660,Framing regional scalecraft: insights into local government advocacy,"Territory, Politics, Governance",0,0,0,0,0,0,0,2,0,0,0,0,11,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,76,0.571428571428571,80318
10.1080_09668136.2014.967554,"From an estate to a cossack nation: kuban'samostiinost', 1917",Europe-Asia Studies,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,10,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,58,0.43609022556391,114324
10.1111_pops.12079,Can the same politician help and hurt the evaluations of another politician? {The} role of categorization on the elicitation of assimilation and contrast effects in the mexican political context,Political Psychology,0,0,0,0,0,0,0,30,1,0,0,0,11,11,0,5,0,35,0,0,0,4,1,1,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,21,0,0,0,4,1,0,0,0,0,27,5,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,5,1,0,1,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,45,11,0,4,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,20,0,285,2.14285714285714,38706
10.1007_s12116-019-09279-0,Leninism and local interests: how cities in china benefit from concurrent leadership appointments,Studies in Comparative International Development,0,0,0,9,0,0,7,1,0,2,0,0,43,0,0,2,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,54,0,1,4,27,0,0,0,0,0,1,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,45,5,0,2,1,0,0,1,0,8,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,113,4,0,4,0,0,7,2,0,0,1,0,0,0,1,0,0,0,6,0,0,0,0,0,0,16,0,387,2.90977443609023,124317
10.1093_isq_sqy009,International gender balancing reforms in postconflict countries: lab-in-the-field evidence from the liberian national police,International Studies Quarterly,0,1,0,0,0,0,2,0,0,0,0,0,9,0,0,8,0,20,2,0,0,0,1,1,0,0,0,4,0,0,7,0,4,0,0,1,2,0,0,0,0,0,0,22,0,0,0,0,0,0,0,34,0,4,4,3,0,0,0,0,0,46,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,4,0,0,0,1,29,0,14,0,0,3,5,0,8,0,1,0,1,0,3,0,0,0,0,1,0,1,1,0,90,7,0,3,1,0,9,6,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,381,2.86466165413534,94218
10.1093_poq_nfu011,"Matthew levendusky. {How} partisan media polarize america. {Chicago}: university of chicago press. 2013. 208 pp. \$75.00 (cloth), \$22.00 (paper).",Public Opinion Quarterly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,0.172932330827068,7826
10.1177_1354066118759179,"Realism, empiricism and causal inquiry in international relations: what is at stake?",European Journal of International Relations,0,0,0,145,2,0,0,41,3,0,0,0,16,0,1,2,0,2,0,1,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,10,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,2,34,0,324,2.43609022556391,87461
10.1111_gove.12010,Paradigms and paradox: the politics of economic ideas in two moments of crisis,Governance,0,0,0,15,0,0,0,4,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,29,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,89,0.669172932330827,57226
10.1111_1475-6765.12380,In‐group solidarity or out‐group hostility in response to terrorism in france? {Evidence} from a regression discontinuity design,European Journal of Political Research,0,1,0,4,2,0,0,3,0,0,0,0,4,0,1,16,0,17,4,0,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,25,0,2,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,3,0,1,0,0,14,0,0,0,0,15,57,2,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,100,1,0,0,0,0,14,4,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,1,10,0,345,2.59398496240602,63540
10.1007_s10784-018-9404-2,Experimenting with triplecops: productive innovation or counterproductive complexity?,"International Environmental Agreements: Politics, Law and Economics",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,6,0,1,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,24,3,0,0,2,0,2,0,0,0,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0,21,1,104,0.781954887218045,59087
10.1017_s0020818317000273,Who controls foreign aid? {Elite} versus public perceptions of donor influence in aid-dependent uganda,International Organization,0,0,0,1,0,0,0,76,2,1,0,0,126,27,6,15,0,9,0,1,0,11,2,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,11,0,0,0,1,0,0,0,48,0,8,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,12,0,0,0,1,0,0,0,1,29,1,11,0,0,0,0,0,59,0,3,0,6,0,11,1,0,0,2,0,0,1,0,0,151,17,1,8,4,0,7,8,0,1,3,4,0,0,0,0,0,0,3,0,0,0,2,0,0,36,0,722,5.42857142857143,99840
10.1111_1758-5899.12892,Addressing the ongoing humanitarian and environmental consequences of nuclear weapons: an introductory review,Global Policy,0,0,0,0,0,0,0,7,2,0,0,0,20,0,0,1,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,8,0,20,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,12,5,2,3,0,0,0,5,0,0,40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,12,0,177,1.33082706766917,118701
10.1086_694542,How hard to fight? {Cross}-player effects and strategic sophistication in an asymmetric contest experiment,The Journal of Politics,0,0,0,0,0,0,0,29,2,0,0,0,10,0,0,7,0,47,0,1,0,4,3,2,0,0,3,0,0,0,8,0,1,0,0,1,3,0,0,0,6,0,0,16,0,0,0,0,0,1,0,28,1,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,5,33,0,14,0,0,0,0,0,87,0,0,0,6,0,5,0,0,0,1,0,0,0,0,0,105,12,0,1,0,0,0,3,0,0,3,1,0,0,0,3,0,0,2,0,0,125,1,1,0,45,1,640,4.81203007518797,72747
10.1177_0010414019852704,Democracy and retribution: transitional justice and regime support in postwar west germany,Comparative Political Studies,0,0,0,5,0,0,0,3,0,1,0,0,17,0,0,9,0,5,0,0,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,45,0,2,9,3,0,0,0,0,0,3,0,1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,7,48,0,21,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,53,1,0,0,0,0,3,0,0,0,2,1,0,0,0,0,0,0,4,0,0,0,0,0,0,5,0,289,2.17293233082707,96041
10.1080_10584609.2017.1414089,"To tell the truth: ad watch coverage, ad tone, and the accuracy of political advertising",Political Communication,0,0,0,2,0,0,3,2,0,0,0,0,6,0,0,1,0,6,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0,3,0,40,0,0,2,17,0,0,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,6,1,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,48,0,0,1,0,0,3,4,0,0,1,0,0,0,12,0,0,0,1,0,0,0,0,0,0,6,0,212,1.59398496240602,69668
