file_in,title,context,doi
10.1017_s000712341200052x,"Dangerous neighbours, regional territorial conflict and the democratic peace","during the completion of part of this manuscript. replication data are available at http://dx.doi.org/doi: 10.1017/s000712341200052x. 1 alex braithwaite, conﬂict hot spots: emergence, causes, and consequences (farnham: ashgate press, 2010). 2 for this point, see gary king, ‘proper nouns ",10.1017/s000712341200052x
10.1017_s0007123412000543,Explaining policy position choice of europarties: the effect of legislative resources,wers for their valuable comments and suggestions. replication data are available at http://dx.doi.org/doi:10.1017/s0007123412000543. 1 throughout this article we use the terms ‘europarties’ and ‘european parties’ interchangeably to denote the transnational party federations at the europe,10.1017/s0007123412000543
10.1017_s0007123412000609,Leader survival and natural disasters," alastair.smith@nyu.edu). an online appendix with replication data, estimation routines and appendices is available at http://journals.cambridge.org/action/displayjournal?jid5jps. 1 matthew kahn, ‘the death toll from natural disasters: the role of income geography and institutions’, review of economics and statistics, 87 ",10.1017/s0007123412000609
10.1017_s0007123412000622,"Understanding parties' policy shifts in western europe: the role of valence, 1976�2003","l comments during the drafting of this article. a supplementary appendix and data replication sets are available at http://dx.doi.org/doi: 10.1017/s0007123412000622 1 downs 1957; miller and stokes 1963. 2 adams et al. 2004; adams and ezrow 2009; erikson, mackuen, and stimson 2002; ezrow 2007; ezrow et al. 2011. 3 adams",10.1017/s0007123412000622
10.1017_s0007123412000671,When do governments resort to election violence?,"nternational and area studies at yale university. replication data and an online appendix are available at http://dx.doi.org/doi:10.1017/s0007123412000671. for helpful comments, we would like to thank participants at workshops at the university of california at san diego, george washington university, yale uni",10.1017/s0007123412000671
10.1017_s0007123412000701,State strategies in multi-ethnic territories: explaining variation in the former soviet union and eastern bloc,e study of nationalities. an online appendix with supplementary material and tables is available at http://dx.doi.org/doi: 10.1017/s0007123410.1017/s0007123412000701. replication data are available at http://dx.doi.org/doi: 10.1017/s0007123410.1017/s0007123412000701. 1 an excellent forthcoming study by ,10.1017/s0007123412000701
10.1017_s0007123412000701,State strategies in multi-ethnic territories: explaining variation in the former soviet union and eastern bloc,/doi: 10.1017/s0007123410.1017/s0007123412000701. replication data are available at http://dx.doi.org/doi: 10.1017/s0007123410.1017/s0007123412000701. 1 an excellent forthcoming study by harris mylonas is an exception to this. mylonas seeks to explain variation in nation-building policie,10.1017/s0007123412000701
10.1017_s0007123412000713,Social capital and voter turnout: evidence from saint's day fiestas in mexico,"rticipants at mit for their comments and support. supplementary material for data replication and an online appendix are available at http://dx.doi.org/doi:10.1017/s0007123412000713. 1 mancur olson jr, the logic of collective action (cambridge, mass.: harvard university press, 1965). 2 arend lijphart, ‘unequal participation: democracy’s",10.1017/s0007123412000713
10.1017_s0007123412000828,Legislative effects of electoral mandates,"by the weidenbaum center. an online appendix with supplementary information, as well as replication data and code, is available at http://dx.doi.org/doi: 10.1017/s0007123412000828. or at http://solivella.wustl.edu/replication-data-and-code/. 1 for example, carey 2007; carey 2009; crisp et al. 2004; morgenstern 2004; morgenstern and s",10.1017/s0007123412000828
10.1017_s0007123413000045,"Fair's fair? Principles, partisanship, and perceptions of the fairness of campaign rhetoric","elpful comments and advice. online appendices and replication data and syntax ﬁles are available at http://dx.doi.org/doi:10.1017/s0007123413000045. 1 geer 2006; geer 2012. 2 lilleker and lees-marshment 2005. 3 lau, sigelman, and rovner 2007, p 1181. ‘relevance’ in making judgments about political adver",10.1017/s0007123413000045
10.1017_s0007123413000082,Learning democracy: education and the fall of authoritarian regimes,"ul comments on previous versions of this article. replication data and estimation routines are available at http://journals.cambridge.org/ action/displayjournal?jid5jps and http://www.uky.edu/,clthyn2/research.htm 1 florida 2011. 2 dewey 1916. 3 almond and verba 1963; lipset 1959. not all scholars are ready to ",10.1017/s0007123413000082
10.1017_s0007123413000100,Taking the fight to them: neighborhood human rights organizations and domestic protest,ive and helpful comments. an online appendix with supplementary tables and replication data is available at http://dx.doi.org/doi:10.1017/s0007123413000100. all authors contributed equally and are thus listed in alphabetical order. society sectors can still experience popular protests that help spark political ,10.1017/s0007123413000100
10.1017_s000712341300015x,"The origins of patronage politics: state building, centrifugalism, and decolonization","for comments on earlier versions of this article. replication data for the statistical analysis is available at http://dx.doi.org/doi: 10.1017/s000712341300015x. 1 rothstein 2011. 2 the literature on the practice of patronage in the modern state, sometimes called ‘neopatrimonialism’ is too large to cite in full; so",10.1017/s000712341300015x
10.1017_s0007123413000215,The politics of fission: an analysis of faction breakaways among italian parties (1946�2011),"suggestions and comments. an online appendix with supplementary material, tables, proofs and replication data is available at http://dx.doi.org/doi: 10.1017/s0007123413000215. 1 aldrich 1995; cox and mccubbins 1993; kiewiet and mccubbins 1991. 2 budge, ezrow, and mcdonald 2010; ceron 2012; dewan and squintani 2012; harmel and ta",10.1017/s0007123413000215
10.1017_s0007123413000288,Who caucuses? An experimental approach to institutional design and electoral participation,uggestions on earlier versions of the manuscript. replication data are available at http://dx.doi.org/doi: 10.1017/s0007123413000288. 1 the half delegate was acquired in the ‘democrats abroad’ primary. see southwell (2012) on how the so-called ‘superdelegates’ affected the ﬁnal election ,10.1017/s0007123413000288
10.1017_s0007123413000343,An 'a' for effort: experimental evidence on un security council engagement and support for us military action in japan,"4, nomura foundation and suntory foundation. data replication materials and online appendices are available at http://dx.doi.org/doi: 10.1017/s0007123413000343. this study has been screened and approved by the institutional review board of the department of social psychology, graduate school of humanities and soci",10.1017/s0007123413000343
10.1017_s0007123413000483,"The upside of accents: language, inter-group difference, and attitudes toward immigration","te generously provided focus group transcripts. a supplementary online appendix and replication data and code are available at http://dx.doi.org/doi:10.1017/s0007123413000483. 1 card, dustmann and preston 2005; dancygier 2010; sides and citrin 2007; sniderman and hagendoorn 2007; sniderman et al. 2002. 2 brader, valentino and suh",10.1017/s0007123413000483
10.1017_s0007123414000088,Pocketbook vs. Sociotropic corruption voting,"s.nyu.edu/mk3296/public/ﬁles/ publications/pocket_replication.zip. data replication sets and online appendices are available at http:// dx.doi.org/doi: 10.1017/s0007123414000088. follow us on twitter@j_a_tucker and @kdecay. 1 anderson and tverdova 2003; della porta 2000; lavallee, razaﬁndrakoto, and roubaud 2008; seligson 2002. 2 ",10.1017/s0007123414000088
10.1017_s000712341400012x,"Group entitlement, anger and participation in intergroup violence","n university in st louis. an online appendix with supplementary tables and replication data are available at http:// www.chrisclaassen.com. 1 dancygier 2010; olzak 1992; wilkinson 2004. 2 horowitz (1985, p. 185) was perhaps the ﬁrst to make this point. 3 examples include fuji 2009 [2004]; humphreys and weinstein",10.1017/s000712341400012x
10.1017_s0007123414000192,Ideological clarity in multiparty competition: a new measure and test using election manifestos,"ct c4), funded by the german research foundation. replication materials and an online appendix are available at http://dx.doi.org/doi:10.1017/s0007123414000192. contains an ideological position and some latent level of ambiguity around that position. ambiguity, in our model, is closely related to the level of incon",10.1017/s0007123414000192
10.1017_s0007123414000416,Does church attendance cause people to vote? Using blue laws' repeal to estimate the effect of religiosity on voter turnout,"eviously circulated as nber working paper #14303. replication data are available at http://dx.doi.org/doi: 10.1017/s0007123414000416. 1 figures based on calculations of general social survey data from 1973 to 1998. 2 andreoni 2006. 3 iannaccone 1998. 4 e.g., rosenstone and hansen 1993; v",10.1017/s0007123414000416
10.1017_s0007123414000477,The politics of agency death: ministers and the survival of government agencies in a parliamentary system,"ful comments on earlier versions of this article. replication data and code will be available by june 2015 at http://dx.doi.org/doi: 10.1017/ s0007123414000477 and also at http://socialsciences.exeter.ac.uk/politics/research/projects/executiveagencies/ and http://www.petrovsky.ws/. 1 lewis 2002, 102. 2 downs 1967",10.1017/s0007123414000477
10.1017_s0007123418000467,Accounting for pre-treatment exposure in panel data: re-estimating the effect of mass public shootings,data processing strategy (details provided in the replication materials). 7 available from http://www.apa.org/monitor/2011/09/10-years-later.aspx (accessed march 2018). 8 available from https://www.theguardian.com/us-news/2017/oct/02/las-vegas-gun-control-caleb-keeter-josh-abbott-band (accessed,10.1017/s0007123418000467
10.1017_s0020818309990208,Do democracies make inferior counterinsurgents? Reassessing democracy's impact on war outcomes and duration,", war 35+ the dataset, codebook with sources, and replication files are found at ^http:00pantheon+yale+edu0 ;jml270&+ accessed 7 october 2009+ 36+ see fortna 2004, 3–4+ 37+ i thank an anonymous reviewer for this observation+ 38+ i follow hartzell and hoddie’s ~2007! coding of power- an",10.1017/s0020818309990208
10.1017_s002081831100004x,The reductionist gamble: open economy politics in the global economy,"aw heavily on some of their unpublished research+ replication materials are available at my home page: www+unc+edu0;toatley+ 1+ existing work characterizes ~and criticizes! american ipe as liberal, rationalist, and quantitative but focuses less on its orientation toward domestic politics+ see maliniak and",10.1017/s002081831100004x
10.1017_s0020818312000173,The effects of the international security environment on national military expenditures: a multicountry study," center at yale for financial assistance+ all our replication materials can be found at www+journals+cambridge+org0ino2012008+ international organization 66, summer 2012, pp+ 491–513 © 2012 by the io foundation+ doi:10+10170s0020818312000173 https://doi.org/10.1017/s0020818312000173 downloa",10.1017/s0020818312000173
10.1017_s0020818312000252,"The politics of private foreign aid: humanitarian principles, economic development objectives, and organizational interests in ngo private aid allocation","norms among these ngos+ for online appendixes and replication data, see www+journals+cambridge+org0ino2012009 or www- +buthe+info+ for comments and constructive criticisms, we thank deborah avant, sarah blodgett ber- meo, clifford bob, jennifer brass, sarah büthe, cindy chen",10.1017/s0020818312000252
10.1017_s002081831200029x,"Reputation, symmetry, and alliance design","2010, and the reviewers and editors for comments+ replication files and an online appendix for this article are available at www+journals+cambridge+org0ino2012011+ international organization 66, fall 2012, pp+ 679–707 © 2012 by the io foundation+ doi:10+10170s002081831200029x https://doi.org/10.1017/s002081831200029x downloade",10.1017/s002081831200029x
10.1017_s0020818312000343,International law and public attitudes toward torture: an experimental study,"nflict, and violence workshop at yale university+ replication materials are available at ^http:00 dvn+iq+harvard+edu0dvn0dv0gprwallace&+ any errors remain my own+ international organization 67, winter 2013, pp+ 105–40 © 2013 by the io foundation+ doi:10+10170s0020818312000343 https://doi.org/1",10.1017/s0020818312000343
10.1017_s0020818312000409,The logic of child soldiering and coercion,"yan mazurana, unicef uganda and avsi uganda+ full replication data are available at www+journals+cambridge+org0ino2013001 and at http:00chrisblattman+com+ we thank robert blair, mathilde emeriau, sinead hunt, alexandra kendall, and benjamin morse for research assistance+ 1+ machel 1996+",10.1017/s0020818312000409
10.1017_s0020818313000143,Can international nongovernmental organizations boost government services? The case of health,ese additional controls+ they can be found in the replication materials located at www +journals+cambridge+org0ino2013008+ we also ran preliminary models for the haggard and kaufman sample with an additional control for international monetary fund ~imf! program presence+ this con- trol,10.1017/s0020818313000143
10.1017_s0020818313000271,Using field experiments in international relations: a randomized study of anonymous incorporation1,nternational studies at brigham young university+ replication data available at http:00dx+doi+org010+10170s0020818313000271+ 1+ the research design for this experiment was registered on 2 march 2011 with the institute for social and policy studies ~isps! at yale university+ the desig,10.1017/s0020818313000271
10.1017_s0020818313000349,International bureaucrats and the formation of intergovernmental organizations: institutional design discretion sweetens the pot,"mments and advice+ for the appendix that includes replication data and files, see ^http:00www+icpsr+umich+edu0icpsrweb 0icpsr0& and dx+doi+org010+10170s0020818313000349+ international organization 68, winter 2014, pp+ 177–209 © 2014 by the io foundation+ doi:10+10170s0020818313000349 ht",10.1017/s0020818313000349
10.1017_s0020818313000350,"Not by the sword alone: soft power, mass media, and the production of state sovereignty","an online appendix with additional results, and a replication archive with code and data, are avail- able at dx+doi+org010+10170s0020818313000350 and at ^www+camberwarren+net&+ 1+ see hendrix 2010, for a review+ international organization 68, winter 2014, pp+ 111–41 © 2014 by the io foundation+ doi:10+10170s0020818313000350 https://doi.org/10.1017/s002081",10.1017/s0020818313000350
10.1017_s002081831300043x,Exchange rates and industry demands for trade protection,"rong negative impact on industry competitiveness. supplementary material replication data are available at <http://hdl.handle.net/1902.1/19786>. references anderson, kym, and richard e. baldwin. 1987. the political market for protection in industrial countries. in protection, cooperation, integration, and devel",10.1017/s002081831300043x
10.1017_s0020818313000465,Information and self-enforcing democracy: the role of international election observation,"vailable at https://www.cambridge.org/core/terms. supplementary material replication data are available at <http://hdl.handle.net/1902.1/19786>. references alvarez, r. michael, thad e. hall, and susan d. hyde, eds. 2008. election fraud: detecting and deterring electoral manipulation. washington, dc: brookings i",10.1017/s0020818313000465
10.1017_s0020818313000477,Playing favorites: how shared beliefs shape the imf's lending decisions,"nt consequences for the insti- tution’s behavior. supplementary material replication data are available at http://dx.doi.org/10.1017/s0020818313000477. references acemoglu, daron, simon johnson, pablo querubin, and james robinson. 2008. when does policy reform work? the case of central bank independence. brook",10.1017/s0020818313000477
10.1017_s0020818314000022,False commitments: local misrepresentation and the international norms against female genital mutilation and early marriage,"y which international norms exert their inﬂuence. supplementary material replication data and online appendix available at http://dx.doi.org/10.1017/ s0020818314000022. references buss, arnold h., and stephen r. briggs. 1984. drama and the self in social interaction. journal of personality and social psychology 47 (6):1310–24",10.1017/s0020818314000022
10.1017_s0020818314000034,Iceland on the rocks: the mass political economy of sovereign debt resettlement,"vailable at https://www.cambridge.org/core/terms. supplementary material replication data are available at http://dx.doi.org/10.1017/s0020818314000034. references arezki, rabah, bertrand candelon, and amadou n.r. sy. 2011. sovereign rating news and financial markets spillovers: evidence from the european debt ",10.1017/s0020818314000034
10.1017_s0020818314000046,How prior military experience influences the future militarized behavior of leaders," potentially fruitful areas for further research. supplementary material replication data and online appendix are available at http://dx.doi.org/ s0020818314000046. references achen, christopher h. 2005. let’s put garbage-can regressions and garbage-can probits where they belong. conﬂict management and peace science 22 (4):327–39",10.1017/s0020818314000046
10.1017_s0020818314000058,International negotiations in the shadow of national elections,"eforms” • collective bargaining decentralization. supplementary material replication data available at http://dx.doi.org/10.1017/s0020818314000058. references anner, mark, and teri l. caraway. 2010. international institutions and workers’ rights: between labor standards and market flexibility. studies in c",10.1017/s0020818314000058
10.1017_s0020818314000113,From shocks to waves: hegemonic transitions and democratization in the twentieth century,"history were obtained from the gleditsch and ward replication data set. gleditsch and ward 2006. 574 international organization https://doi.org/10.1017/s0020818314000113 downloaded from https://www.cambridge.org/core. australian national university, on 02 aug 2021 at 05:54:37, subject to the cambridge core terms of use, available ",10.1017/s0020818314000113
10.1017_s0020818314000113,From shocks to waves: hegemonic transitions and democratization in the twentieth century,ccess is the ultimate lesson of hegemonic shocks. supplementary material supplementary materials and replication data are available at http://dx.doi.org/ s0020818314000113. 96. see gat 2007; bremmer 2009; and halper 2010. 592 international organization https://doi.org/10.1017/s0020818314000113 downloaded from https://www.cambridge.org/co,10.1017/s0020818314000113
10.1017_s0020818314000149,Explaining the transnational design of international organizations,"lobal governance have improved in recent decades. supplementary material replication data are available at http://dx.doi.org/s0020818314000149. references abbott, kenneth w., and duncan snidal. 2000. hard and soft law in international governance. international organization 54 (3):421–56. alter, karen. 2006. pr",10.1017/s0020818314000149
10.1017_s0020818314000216,The secret success of nonproliferation sanctions,"o threaten in the way of sanctions on its own.134 supplementary material replication data are available at <http://dx.doi.org/10.1017/s0020818314000216>. references albright, david, and corey gay. 1998. taiwan: nuclear nightmare averted. bulletin of atomic scientists 54 (1):54–60. axelrod, robert. 1986. an evol",10.1017/s0020818314000216
10.1017_s002081831400023x,Decision maker preferences for international legal cooperation,"ch that is more likely to have external validity. supplementary material replication data are available at http://dx.doi.org/10.1017/s002081831400023x. references ackerman, phillip l., and walter schneider. 1985. individual differences in automatic and controlled information processing. in individual differenc",10.1017/s002081831400023x
10.1017_s0020818314000241,Who gets to be in the room? Manipulating participation in wto disputes,"vailable at https://www.cambridge.org/core/terms. supplementary material replication data are available at http://dx.doi.org/10.1017/s0020818314000241. references bagwell, kyle, and robert w. staiger. 2004. multilateral trade negotiations, bilateral opportunism and the rules of gatt/wto. journal of internation",10.1017/s0020818314000241
10.1017_s0020818314000277,"Price stability and central bank independence: discipline, credibility, and democratic institutions", with both a discipline and a credibility effect. supplementary material an appendix with replication data is available at http://dx.doi.org/10.1017/ s0020818314000277 and on the authors’ websites: <www.princeton.edu/~rhicks/> and <http://polisci.msu.edu/index.php/people/faculty/item/faculty/cristina-bodea>. table a1. central,10.1017/s0020818314000277
10.1017_s0020818314000290,When are sanctions effective? A bargaining and enforcement framework,"mately has an impact on the success of sanctions. supplementary material replication data and an online appendix are available at http://dx.doi.org/10.1017/ s0020818314000290. references bapat, navin a., and t. clifton morgan. 2009. multilateral versus unilateral sanctions reconsidered: a test using new data. international studies q",10.1017/s0020818314000290
10.1017_s0020818314000307,"Revolution, personalist dictatorships, and international conflict"," and alter its course toward a preferred outcome. supplementary material replication data and an online appendix are available at http://dx.doi.org/10.1017/ s0020818314000307. references barnett, michael, and martha finnemore. 2004. rules for the world: international organizations in global politics. ithaca, ny: cornell university p",10.1017/s0020818314000307
10.1017_s0020818314000356,International systems and domestic politics: linking complex interactions with empirical models in international relations,"vailable at https://www.cambridge.org/core/terms. supplementary material replication files and empirical data for this article can be found at http://dx.doi.org/ s0020818314000356. references adsera, alicia, and carles boix. 2002. trade, democracy, and the size of the public sector: the political underpinnings of openness. international organiza",10.1017/s0020818314000356
10.1017_s002081831400037x,What is litigation in the world trade organization worth?,"utions within and across various policy fields.86 supplementary material replication data and an online appendix are available at https://thedata.harvard.edu/ dvn/dv/bechtelsattler. references abadie, alberto, and javier gardeazabal. 2003. the economic costs of conflict: a case study of the basque country. american economic review 9",10.1017/s002081831400037x
10.1017_s0020818314000381,Compete or coordinate? Aid fragmentation and lead donorship,"ebate about donor fragmentation and coordination. supplementary material replication data and an online appendix are available at http://dx.doi.org/10.1017/ s0020818314000381. references acharya, arnab, ana teresa fuzzo de lima, and mick moore. 2006. proliferation and fragmentation: transaction costs and the value of aid. journal of",10.1017/s0020818314000381
10.1017_s0020818314000423,Is the phone mightier than the sword? Cellphones and insurgent violence in iraq,"the firms managing them interact with the locals. supplementary material replication data and an online appendix are available at http://dx.doi.org/10.1017/ s0020818314000423. references aker, jenny c. 2010. information from markets near and far: mobile phones and agricultural markets in niger. american economic journal: applied eco",10.1017/s0020818314000423
10.1017_s0020818314000484,Human rights prosecutions and autocratic survival,"vailable at https://www.cambridge.org/core/terms. supplementary material replication data and an online appendix are available at http://dx.doi.org/10.1017/ s0020818314000484 and http://sites.psu.edu/wright. references acemoglu, daron, and james a. robinson. 2006. economic origins of dictatorship and democracy. new york: cambridge u",10.1017/s0020818314000484
10.1017_s0022381609990442,Democratic competition and terrorist activity," of my cohort for their constructive suggestions. replication materials and supplementary tables are available at my website: http://echenoweth.faculty.wesleyan.edu. manuscript submitted 27 june 2008 manuscript accepted for publication 8 april 2009 references abadie, alberto. 2006. ‘‘poverty, political freedom, and the roots of ",10.1017/s0022381609990442
10.1017_s0022381610000460,The contribution of veto players to economic reform,"s available at http://journals.cambridge.org/jop. replication data are posted at http://tinyurl.com/gehlbach-malesky-vp-jop. this relationship holds when controlling for the same country characteristics as in the cross-sectional analysis of the second section below, a fact that we doc",10.1017/s0022381610000460
10.1017_s0022381610000915,Linguistic effects of political institutions,"s a medium of instruction across the curriculum). replication data is available at http://spot.colorado.edu/~amyliu/research.htm. 125 chapter 2, 29). language not only glues a community together from the inside, it also marks the identity of the group from the outside. for many ethnic g",10.1017/s0022381610000915
10.1017_s0022381610000927,The persuasive effects of direct mail: a regression discontinuity based approach,"itical science association, 2011 issn 0022-3816 1 supplementary material available at http://journals.cambridge.org/jop. replication data available at http://www.sas.upenn.edu/ ~marcmere/replicationdata/persusasive mail replication data.zip. 140 previous literature a number of empirical st",10.1017/s0022381610000927
10.1017_s0022381610000927,The persuasive effects of direct mail: a regression discontinuity based approach,l available at http://journals.cambridge.org/jop. replication data available at http://www.sas.upenn.edu/ ~marcmere/replicationdata/persusasive mail replication data.zip. 140 previous literature a number of empirical strategies have been used to deal with the problem of endogeneity w,10.1017/s0022381610000927
10.1017_s0022381610000952,Citizens' evaluations of the fulfillment of election pledges: evidence from ireland,"on, 2011 issn 0022-3816 1 an online appendix with supplementary material for this article is available at http://journals.cambridge.org/jop. full details of the ines, the dataset itself, and replication materials are available at: http://www.tcd.ie/ines. 187 electoral system is unbiased, the party that reflec",10.1017/s0022381610000952
10.1017_s0022381610000952,Citizens' evaluations of the fulfillment of election pledges: evidence from ireland,"full details of the ines, the dataset itself, and replication materials are available at: http://www.tcd.ie/ines. 187 electoral system is unbiased, the party that reflects the median voter’s position best will secure a dominant position in government, enabling it to implement the policies it p",10.1017/s0022381610000952
10.1017_s002238161000099x,Preying on the misfortune of others: when do states exploit their opponents' domestic troubles?,"or comments go to jim meernik and jeff pickering. replication materials are available at http://bingweb.binghamton.edu/;dclark. manuscript submitted 15 october 2009 manuscript accepted for publication 11 april 2010 references alvarez, r. michael, and john brehm. 1995. ‘‘american ambiv- alence",10.1017/s002238161000099x
10.1017_s0022381611000107,Does knowledge of constitutional principles increase support for civil liberties? Results from a randomized field experiment,"ittee at yale university. an online appendix with supplementary material is available at http://journals.cambridge.org/jop; replication data may be found at http://isps.research.yale.edu/re- search/data/. references angrist, joshua d., guido w. imbens, and donald b. rubin. 1996. ‘‘identificat",10.1017/s0022381611000107
10.1017_s0022381611000107,Does knowledge of constitutional principles increase support for civil liberties? Results from a randomized field experiment,"s available at http://journals.cambridge.org/jop; replication data may be found at http://isps.research.yale.edu/re- search/data/. references angrist, joshua d., guido w. imbens, and donald b. rubin. 1996. ‘‘identification of causal effects using instrumental variables.’’ journal of the",10.1017/s0022381611000107
10.1017_s0022381611000144,"Bureaucratic representation, distributional equity, and democratic values in the administration of public programs",o replicate the analyses. an online appendix with supplementary materials can be found at http://journals. cambridge.org/jop. equity and bureaucratic representation 583 nonrepresented groups are relevant to ongoing de- bates in a variety of political institutions. minority representation in le,10.1017/s0022381611000144
10.1017_s0022381611000168,Is the government to blame? An experimental test of how partisanship shapes perceptions of performance and responsibility," ful comments and advice. an online appendix with supplementary material is available at www.journals. cambridge.org/jop. data for replication will be made available at http://hobolt.com on publication. 328 james tilley and sara b. hobolt references achen, christopher h. 1992. ‘‘social psych",10.1017/s0022381611000168
10.1017_s0022381611000351,Who matches? Propensity scores and bias in the causal effects of education on participation,"ailable at http://journals.cambridge.org/jop, and replication data and code are available at www.jahenderson.com. 646 observed characteristics that likely influence self- selection into college. however, we maintain that even these results are not free from bias. we demonstrate that selection is",10.1017/s0022381611000351
10.1017_s0022381611000843,"Political disaster: unilateral powers, electoral incentives, and presidential disaster declarations",igning statements 1 an online appendix containing supplemental information and materials for replication are located at www.journals.cambridge.org/jop/ and http://people.bu.edu/areeves. 2 much of the research on the institutional powers of the president is in response to the argument put forth in neustadt (1990) that pres,10.1017/s0022381611000843
10.1017_s0022381611000879,The eyes that bind: junior ministers as oversight mechanisms in coalition governments,"outside of the cabinet. 1 an online appendix with supporting material is available at www.journals.cambridge.org/jop, and replication data for our model can be found at http://www-polisci.tamu.edu/faculty/lipsmeyer/ the journal of politics, vol. 73, no. 4, october 2011, pp. 1152–1164 doi:",10.1017/s0022381611000879
10.1017_s0022381611000879,The eyes that bind: junior ministers as oversight mechanisms in coalition governments," available at www.journals.cambridge.org/jop, and replication data for our model can be found at http://www-polisci.tamu.edu/faculty/lipsmeyer/ the journal of politics, vol. 73, no. 4, october 2011, pp. 1152–1164 doi:10.1017/s0022381611000879 ó southern political science association, 2011 issn 0022-3",10.1017/s0022381611000879
10.1017_s0022381611000892,Citizens' policy confidence and electoral punishment: a neglected dimension of electoral accountability,"on, 2011 issn 0022-3816 1 an online appendix with supplementary material for this article is available at http://journals.cambridge.org/jop. data and statistical code necessary to replicate the analysis in this manuscript will be made available at http://huber.research.yale.edu/ upon publication. 1206 attenti",10.1017/s0022381611000892
10.1017_s0022381611001149,Concentrated powers: unilateral executive authority and fiscal policymaking in the american states,/krause&melusky. onlineappendix.pdf. all data and replication materials are available at http://www.pitt.edu/~gkrause/krause&melusky.zip. 98 other governmental institutions such as legislatures or independent offices. by adopting shared policymaking arrangements that eliminate the exercise of,10.1017/s0022381611001149
10.1017_s0022381611001198,Organizing for success: party organizational strength and electoral performance in postcommunist europe,sociological literature 1 an online appendix with supplementary material for this article is available at http://journals.cambridge.org/jop. data for replication purposes will be posted at tavits.wustl.edu on publication. 2 studies showing significant positive effects of local party activity and membership on,10.1017/s0022381611001198
10.1017_s002238161100123x,"Polarized political communication, oppositional media hostility, and selective exposure","ily show. at a general level, subjects 1 data and supporting materials necessary to reproduce the numer- ical results are available at http://astro.temple.edu/~arceneau/ arceneauxjohnsonmurphyjopreplication. an online appendix for this article is available at http://journals.cambridge.org/jop. polarization, media hostility, and selective",10.1017/s002238161100123x
10.1017_s0022381611001241,The social contagion model: exploring the role of public opinion on the diffusion of antismoking legislation across the american states,"on, 2012 issn 0022-3816 1 an online appendix with supplementary material is available at the online appendix at http://journals.cambridge.org/jop. data for replication will be made available at http://sitemaker.umich.edu/jpacheco/home upon publication. 2 shipan and volden (2008) spell out two additional mechanisms ",10.1017/s0022381611001241
10.1017_s0022381611001368,Deterring or displacing electoral irregularities? Spillover effects of observers in a randomized field experiment in ghana,o information for the control electoral areas. 10 replication data are available at: http://dvn.iq.harvard.edu/dvn/ dv/nichino. 298 nahomi ichino and matthias schündeln balance statistics we check our randomization procedure with differ- ence in means tests for the baseline covariates ac,10.1017/s0022381611001368
10.1017_s002238161100137x,"Multilateral trade and militarized conflict: centrality, openness, and asymmetry in the global trade network","ion, 2012 issn 0022-3816 1 an online appendix and replication materials are available at http://journals.cambridge.org/jop and at http://www.utdallas.edu/ ;bxk09100/research.html. 2 for overviews of this literature, see barbieri and schneider (1999) and mansfield and pollins (2003). notable e",10.1017/s002238161100137x
10.1017_s0022381611001551,Games rivals play: terrorism in international rivalries,"at http://journals.cambridge.org/jop and contains supplemental analyses. all replication materials, including the online appendix, are available at http://michael-findley.com and http://nw08.american.edu/~jyoung/at the time of the article’s publication. 2 sometimes the terms enduring rivalries, strategic rivalry, or interstate rivalry are used as syn",10.1017/s0022381611001551
10.1017_s0022381611001587,Partisan moods: polarization and the dynamics of mass party preferences,"ience association, 2012 issn 0022-3816 1 data for replication and other supplementary materials are available at http://dvn.iq.harvard.edu/dvn/dv/jura. the online appendix referenced in the text is available at http://journals.cambridge.org/jop. 277 survey to generate a time-serial measure of macro policy sentiment ",10.1017/s0022381611001587
10.1017_s0022381611001721,Missing links in party-system polarization: how institutions and voters matter,"on, 2012 issn 0022-3816 1 an online appendix with supplementary material for this article is available at http://journals.cambridge.org/jop. data and statistical code necessary to replicate the analysis in this manuscript will be made available at http://www.socpol.unimi.it/docenti/curini upon publication. 46",10.1017/s0022381611001721
10.1017_s0022381611001745,Trade concentration and interstate conflict,"itical science association, 2012 issn 0022-3816 1 replication data and results for the robustness checks are available at http://katja.kleinberg.net/index_files/research.htm. 529 probability of violent confrontation (barbieri 1996, 2002). finally, some scholars are skeptical of both views and suggest instead that trade has n",10.1017/s0022381611001745
10.1017_s0022381611001952,Private investment and the institutionalization of collective action in autocracies: ruling parties and legislatures,"itical science association, 2012 issn 0022-3816 1 replication data available at http://go.worldbank.org/xu84q9c3l0. 2 we provide data sources in the fourth section below. 621 supporters: the age of the ruling party at the time the ruler takes power; the degree to which rulers enter o",10.1017/s0022381611001952
10.1017_s0022381612000187,Partisan perceptual bias and the information environment,"e is available at www.journals.cambridge.org/jop. replication materials are provided at http:// polisci.fsu.edu/index.htm and http://dvn.iq.harvard.edu/dvn/. 672 price and czilli 1996). in particular, the level of knowledge moves in tandem with the amount of politically relevant information ",10.1017/s0022381612000187
10.1017_s0022381612000308,Reassessing the unequal representation of latinos and african americans,"ience association, 2012 issn 0022-3816 1 data and replication materials will be made available at www.scottaclifford.com upon publication. 903 this work has generated greater insight into, and stronger evidence of, the unequal representation of racial and ethnic groups (flavin 2010; flavin and griffi",10.1017/s0022381612000308
