dataverse_identifier,id,identifier,persistentUrl,authority,publicationDate,storageIdentifier,title,dataset_global_id
lsq,3451047,DVN/OVSONU,https://doi.org/10.7910/DVN/OVSONU,10.7910,2020-11-14,s3://10.7910/DVN/OVSONU,,10.7910/DVN/OVSONU
lsq,3452316,DVN/XHGDPA,https://doi.org/10.7910/DVN/XHGDPA,10.7910,2019-06-18,s3://10.7910/DVN/XHGDPA,,10.7910/DVN/XHGDPA
lsq,3462600,DVN/SGXVVT,https://doi.org/10.7910/DVN/SGXVVT,10.7910,2019-07-03,s3://10.7910/DVN/SGXVVT,,10.7910/DVN/SGXVVT
lsq,3555971,DVN/HVMSDE,https://doi.org/10.7910/DVN/HVMSDE,10.7910,2019-09-04,s3://10.7910/DVN/HVMSDE,,10.7910/DVN/HVMSDE
lsq,3582410,DVN/D6YWGL,https://doi.org/10.7910/DVN/D6YWGL,10.7910,2019-09-18,s3://10.7910/DVN/D6YWGL,,10.7910/DVN/D6YWGL
lsq,3597698,DVN/HVYB4W,https://doi.org/10.7910/DVN/HVYB4W,10.7910,2020-11-14,s3://10.7910/DVN/HVYB4W,,10.7910/DVN/HVYB4W
lsq,3615097,DVN/OSIQ8I,https://doi.org/10.7910/DVN/OSIQ8I,10.7910,2019-11-03,s3://10.7910/DVN/OSIQ8I,,10.7910/DVN/OSIQ8I
lsq,3615140,DVN/FR4HOU,https://doi.org/10.7910/DVN/FR4HOU,10.7910,2019-11-03,s3://10.7910/DVN/FR4HOU,,10.7910/DVN/FR4HOU
lsq,3624096,DVN/QRU9E6,https://doi.org/10.7910/DVN/QRU9E6,10.7910,2020-06-08,s3://10.7910/DVN/QRU9E6,,10.7910/DVN/QRU9E6
lsq,3624913,DVN/90OBWR,https://doi.org/10.7910/DVN/90OBWR,10.7910,2020-11-14,s3://10.7910/DVN/90OBWR,,10.7910/DVN/90OBWR
lsq,3637115,DVN/3GWZ9J,https://doi.org/10.7910/DVN/3GWZ9J,10.7910,2019-11-28,s3://10.7910/DVN/3GWZ9J,,10.7910/DVN/3GWZ9J
lsq,3637293,DVN/CLOTQP,https://doi.org/10.7910/DVN/CLOTQP,10.7910,2019-11-29,s3://10.7910/DVN/CLOTQP,,10.7910/DVN/CLOTQP
lsq,3642530,DVN/QTWTFF,https://doi.org/10.7910/DVN/QTWTFF,10.7910,2019-12-09,s3://10.7910/DVN/QTWTFF,,10.7910/DVN/QTWTFF
lsq,3643809,DVN/G46IQM,https://doi.org/10.7910/DVN/G46IQM,10.7910,2020-11-14,s3://10.7910/DVN/G46IQM,,10.7910/DVN/G46IQM
lsq,3648610,DVN/WVVJFZ,https://doi.org/10.7910/DVN/WVVJFZ,10.7910,2019-12-19,s3://10.7910/DVN/WVVJFZ,,10.7910/DVN/WVVJFZ
lsq,3677005,DVN/YFDC8E,https://doi.org/10.7910/DVN/YFDC8E,10.7910,2020-11-14,s3://10.7910/DVN/YFDC8E,,10.7910/DVN/YFDC8E
lsq,3677406,DVN/DQLTVJ,https://doi.org/10.7910/DVN/DQLTVJ,10.7910,2020-02-05,s3://10.7910/DVN/DQLTVJ,,10.7910/DVN/DQLTVJ
lsq,3742529,DVN/ITEVDB,https://doi.org/10.7910/DVN/ITEVDB,10.7910,2020-11-14,s3://10.7910/DVN/ITEVDB,,10.7910/DVN/ITEVDB
lsq,3754739,DVN/XY51ZF,https://doi.org/10.7910/DVN/XY51ZF,10.7910,2020-11-14,s3://10.7910/DVN/XY51ZF,,10.7910/DVN/XY51ZF
lsq,3768493,DVN/EHAGOF,https://doi.org/10.7910/DVN/EHAGOF,10.7910,2020-07-07,s3://10.7910/DVN/EHAGOF,,10.7910/DVN/EHAGOF
lsq,3792885,DVN/U5B81D,https://doi.org/10.7910/DVN/U5B81D,10.7910,2020-04-06,s3://10.7910/DVN/U5B81D,,10.7910/DVN/U5B81D
lsq,3813381,DVN/R7L9T9,https://doi.org/10.7910/DVN/R7L9T9,10.7910,2020-04-22,s3://10.7910/DVN/R7L9T9,,10.7910/DVN/R7L9T9
lsq,3819596,DVN/ECWIXM,https://doi.org/10.7910/DVN/ECWIXM,10.7910,2020-11-14,s3://10.7910/DVN/ECWIXM,,10.7910/DVN/ECWIXM
lsq,3853191,DVN/UYOSSF,https://doi.org/10.7910/DVN/UYOSSF,10.7910,2020-11-14,s3://10.7910/DVN/UYOSSF,,10.7910/DVN/UYOSSF
lsq,3910646,DVN/NQT3UM,https://doi.org/10.7910/DVN/NQT3UM,10.7910,2020-07-02,s3://10.7910/DVN/NQT3UM,,10.7910/DVN/NQT3UM
lsq,3988304,DVN/HGHKFY,https://doi.org/10.7910/DVN/HGHKFY,10.7910,2020-11-14,s3://10.7910/DVN/HGHKFY,,10.7910/DVN/HGHKFY
lsq,3995728,DVN/JMOXQI,https://doi.org/10.7910/DVN/JMOXQI,10.7910,2020-07-30,s3://10.7910/DVN/JMOXQI,,10.7910/DVN/JMOXQI
lsq,3999358,DVN/ZAQTQO,https://doi.org/10.7910/DVN/ZAQTQO,10.7910,2020-08-01,s3://10.7910/DVN/ZAQTQO,,10.7910/DVN/ZAQTQO
lsq,4011923,DVN/SDMHFG,https://doi.org/10.7910/DVN/SDMHFG,10.7910,2020-11-14,s3://10.7910/DVN/SDMHFG,,10.7910/DVN/SDMHFG
lsq,4022956,DVN/Z9IZYX,https://doi.org/10.7910/DVN/Z9IZYX,10.7910,2020-08-14,s3://10.7910/DVN/Z9IZYX,,10.7910/DVN/Z9IZYX
lsq,4034670,DVN/OI44UU,https://doi.org/10.7910/DVN/OI44UU,10.7910,2020-08-27,s3://10.7910/DVN/OI44UU,,10.7910/DVN/OI44UU
lsq,4054553,DVN/XKO3BN,https://doi.org/10.7910/DVN/XKO3BN,10.7910,2020-09-23,s3://10.7910/DVN/XKO3BN,,10.7910/DVN/XKO3BN
lsq,4061095,DVN/GMFZ4X,https://doi.org/10.7910/DVN/GMFZ4X,10.7910,2020-09-08,s3://10.7910/DVN/GMFZ4X,,10.7910/DVN/GMFZ4X
lsq,4072380,DVN/DBEKLH,https://doi.org/10.7910/DVN/DBEKLH,10.7910,2020-10-01,s3://10.7910/DVN/DBEKLH,,10.7910/DVN/DBEKLH
lsq,4101228,DVN/AWXKA5,https://doi.org/10.7910/DVN/AWXKA5,10.7910,2020-10-04,s3://10.7910/DVN/AWXKA5,,10.7910/DVN/AWXKA5
lsq,4142374,DVN/07XIV0,https://doi.org/10.7910/DVN/07XIV0,10.7910,2020-11-14,s3://10.7910/DVN/07XIV0,,10.7910/DVN/07XIV0
lsq,4142982,DVN/OQQTMB,https://doi.org/10.7910/DVN/OQQTMB,10.7910,2020-10-16,s3://10.7910/DVN/OQQTMB,,10.7910/DVN/OQQTMB
lsq,4158037,DVN/PWWSFP,https://doi.org/10.7910/DVN/PWWSFP,10.7910,2020-10-26,s3://10.7910/DVN/PWWSFP,,10.7910/DVN/PWWSFP
lsq,4172155,DVN/YPON2J,https://doi.org/10.7910/DVN/YPON2J,10.7910,2020-11-14,s3://10.7910/DVN/YPON2J,,10.7910/DVN/YPON2J
lsq,4174344,DVN/PAWMSP,https://doi.org/10.7910/DVN/PAWMSP,10.7910,2021-01-12,s3://10.7910/DVN/PAWMSP,,10.7910/DVN/PAWMSP
lsq,4180316,DVN/RPAPDB,https://doi.org/10.7910/DVN/RPAPDB,10.7910,2020-12-01,s3://10.7910/DVN/RPAPDB,,10.7910/DVN/RPAPDB
lsq,4192501,DVN/KHZQA2,https://doi.org/10.7910/DVN/KHZQA2,10.7910,2020-11-25,s3://10.7910/DVN/KHZQA2,,10.7910/DVN/KHZQA2
lsq,4203072,DVN/YWTALO,https://doi.org/10.7910/DVN/YWTALO,10.7910,2021-01-12,s3://10.7910/DVN/YWTALO,,10.7910/DVN/YWTALO
lsq,4280655,DVN/QYDSAV,https://doi.org/10.7910/DVN/QYDSAV,10.7910,2021-01-12,s3://10.7910/DVN/QYDSAV,,10.7910/DVN/QYDSAV
lsq,4299999,DVN/RLXMKD,https://doi.org/10.7910/DVN/RLXMKD,10.7910,2021-01-14,s3://10.7910/DVN/RLXMKD,,10.7910/DVN/RLXMKD
lsq,4302613,DVN/RAHFNN,https://doi.org/10.7910/DVN/RAHFNN,10.7910,2021-01-16,s3://10.7910/DVN/RAHFNN,,10.7910/DVN/RAHFNN
lsq,4304035,DVN/ADOPTC,https://doi.org/10.7910/DVN/ADOPTC,10.7910,2021-01-18,s3://10.7910/DVN/ADOPTC,,10.7910/DVN/ADOPTC
lsq,4306656,DVN/WR0L30,https://doi.org/10.7910/DVN/WR0L30,10.7910,2021-01-20,s3://10.7910/DVN/WR0L30,,10.7910/DVN/WR0L30
lsq,4443673,DVN/BA8G7H,https://doi.org/10.7910/DVN/BA8G7H,10.7910,2021-03-11,s3://10.7910/DVN/BA8G7H,,10.7910/DVN/BA8G7H
lsq,4498858,DVN/IX2IHN,https://doi.org/10.7910/DVN/IX2IHN,10.7910,2021-04-06,s3://10.7910/DVN/IX2IHN,,10.7910/DVN/IX2IHN
lsq,4639243,DVN/NU6PZZ,https://doi.org/10.7910/DVN/NU6PZZ,10.7910,2021-05-12,s3://10.7910/DVN/NU6PZZ,,10.7910/DVN/NU6PZZ
lsq,4773482,DVN/SJXZIT,https://doi.org/10.7910/DVN/SJXZIT,10.7910,2021-06-03,s3://10.7910/DVN/SJXZIT,,10.7910/DVN/SJXZIT
perspectives,3124089,DVN/LOUVM2,https://doi.org/10.7910/DVN/LOUVM2,10.7910,2018-02-22,file,,10.7910/DVN/LOUVM2
perspectives,3126548,DVN/L2GSK6,https://doi.org/10.7910/DVN/L2GSK6,10.7910,2018-05-16,s3://10.7910/DVN/L2GSK6,,10.7910/DVN/L2GSK6
perspectives,3126566,DVN/TZTW1J,https://doi.org/10.7910/DVN/TZTW1J,10.7910,2018-05-16,s3://10.7910/DVN/TZTW1J,,10.7910/DVN/TZTW1J
perspectives,3126580,DVN/4S83QX,https://doi.org/10.7910/DVN/4S83QX,10.7910,2018-05-16,s3://10.7910/DVN/4S83QX,,10.7910/DVN/4S83QX
perspectives,3126599,DVN/BYC7DS,https://doi.org/10.7910/DVN/BYC7DS,10.7910,2018-02-22,file,,10.7910/DVN/BYC7DS
perspectives,3126638,DVN/PBACES,https://doi.org/10.7910/DVN/PBACES,10.7910,2018-05-16,s3://10.7910/DVN/PBACES,,10.7910/DVN/PBACES
perspectives,3126987,DVN/L1E3F6,https://doi.org/10.7910/DVN/L1E3F6,10.7910,2018-05-16,s3://10.7910/DVN/L1E3F6,,10.7910/DVN/L1E3F6
perspectives,3127903,DVN/WGMX7V,https://doi.org/10.7910/DVN/WGMX7V,10.7910,2018-02-22,file,,10.7910/DVN/WGMX7V
perspectives,3128451,DVN/CC8VFT,https://doi.org/10.7910/DVN/CC8VFT,10.7910,2018-11-26,s3://10.7910/DVN/CC8VFT,,10.7910/DVN/CC8VFT
perspectives,3129662,DVN/SLXBX2,https://doi.org/10.7910/DVN/SLXBX2,10.7910,2018-05-16,s3://10.7910/DVN/SLXBX2,,10.7910/DVN/SLXBX2
perspectives,3137682,DVN/1WDVZB,https://doi.org/10.7910/DVN/1WDVZB,10.7910,2018-08-30,s3://10.7910/DVN/1WDVZB,,10.7910/DVN/1WDVZB
perspectives,3141415,DVN/Z09KDS,https://doi.org/10.7910/DVN/Z09KDS,10.7910,2018-11-26,s3://10.7910/DVN/Z09KDS,,10.7910/DVN/Z09KDS
perspectives,3141774,DVN/MWGOZS,https://doi.org/10.7910/DVN/MWGOZS,10.7910,2018-08-30,s3://10.7910/DVN/MWGOZS,,10.7910/DVN/MWGOZS
perspectives,3143653,DVN/QOOFYS,https://doi.org/10.7910/DVN/QOOFYS,10.7910,2018-11-26,s3://10.7910/DVN/QOOFYS,,10.7910/DVN/QOOFYS
perspectives,3143735,DVN/VZSO5S,https://doi.org/10.7910/DVN/VZSO5S,10.7910,2018-11-26,s3://10.7910/DVN/VZSO5S,,10.7910/DVN/VZSO5S
perspectives,3154029,DVN/1KYJ3N,https://doi.org/10.7910/DVN/1KYJ3N,10.7910,2019-02-15,s3://10.7910/DVN/1KYJ3N,,10.7910/DVN/1KYJ3N
perspectives,3157902,DVN/Q8YTNL,https://doi.org/10.7910/DVN/Q8YTNL,10.7910,2018-08-30,s3://10.7910/DVN/Q8YTNL,,10.7910/DVN/Q8YTNL
perspectives,3180799,DVN/UGKVTJ,https://doi.org/10.7910/DVN/UGKVTJ,10.7910,2018-10-31,s3://10.7910/DVN/UGKVTJ,,10.7910/DVN/UGKVTJ
perspectives,3181239,DVN/RRF7EU,https://doi.org/10.7910/DVN/RRF7EU,10.7910,2019-02-15,s3://10.7910/DVN/RRF7EU,,10.7910/DVN/RRF7EU
perspectives,3182108,DVN/QTWGXI,https://doi.org/10.7910/DVN/QTWGXI,10.7910,2019-02-15,s3://10.7910/DVN/QTWGXI,,10.7910/DVN/QTWGXI
perspectives,3182434,DVN/V1OVVA,https://doi.org/10.7910/DVN/V1OVVA,10.7910,2019-02-15,s3://10.7910/DVN/V1OVVA,,10.7910/DVN/V1OVVA
perspectives,3185124,DVN/HM5XCO,https://doi.org/10.7910/DVN/HM5XCO,10.7910,2018-11-26,s3://10.7910/DVN/HM5XCO,,10.7910/DVN/HM5XCO
perspectives,3205162,DVN/KE2AQU,https://doi.org/10.7910/DVN/KE2AQU,10.7910,2019-02-15,s3://10.7910/DVN/KE2AQU,,10.7910/DVN/KE2AQU
perspectives,3212883,DVN/YFQE9W,https://doi.org/10.7910/DVN/YFQE9W,10.7910,2019-03-26,s3://10.7910/DVN/YFQE9W,,10.7910/DVN/YFQE9W
perspectives,3213871,DVN/IB504I,https://doi.org/10.7910/DVN/IB504I,10.7910,2019-03-27,s3://10.7910/DVN/IB504I,,10.7910/DVN/IB504I
perspectives,3213887,DVN/IEMA1T,https://doi.org/10.7910/DVN/IEMA1T,10.7910,2018-10-31,s3://10.7910/DVN/IEMA1T,,10.7910/DVN/IEMA1T
perspectives,3220732,DVN/CNTPVV,https://doi.org/10.7910/DVN/CNTPVV,10.7910,2019-03-27,s3://10.7910/DVN/CNTPVV,,10.7910/DVN/CNTPVV
perspectives,3226235,DVN/ZELWZ7,https://doi.org/10.7910/DVN/ZELWZ7,10.7910,2019-11-18,s3://10.7910/DVN/ZELWZ7,,10.7910/DVN/ZELWZ7
perspectives,3227733,DVN/I5POAD,https://doi.org/10.7910/DVN/I5POAD,10.7910,2019-06-13,s3://10.7910/DVN/I5POAD,,10.7910/DVN/I5POAD
perspectives,3242092,DVN/TX2UFT,https://doi.org/10.7910/DVN/TX2UFT,10.7910,2019-08-22,s3://10.7910/DVN/TX2UFT,,10.7910/DVN/TX2UFT
perspectives,3248320,DVN/1HCPSG,https://doi.org/10.7910/DVN/1HCPSG,10.7910,2019-06-25,s3://10.7910/DVN/1HCPSG,,10.7910/DVN/1HCPSG
perspectives,3320069,DVN/PFSCIY,https://doi.org/10.7910/DVN/PFSCIY,10.7910,2019-11-18,s3://10.7910/DVN/PFSCIY,,10.7910/DVN/PFSCIY
perspectives,3320114,DVN/FV7UOH,https://doi.org/10.7910/DVN/FV7UOH,10.7910,2019-07-09,s3://10.7910/DVN/FV7UOH,,10.7910/DVN/FV7UOH
perspectives,3323033,DVN/RTJ02G,https://doi.org/10.7910/DVN/RTJ02G,10.7910,2019-06-13,s3://10.7910/DVN/RTJ02G,,10.7910/DVN/RTJ02G
perspectives,3324409,DVN/ZECDW0,https://doi.org/10.7910/DVN/ZECDW0,10.7910,2019-08-22,s3://10.7910/DVN/ZECDW0,,10.7910/DVN/ZECDW0
perspectives,3330508,DVN/4QJW0V,https://doi.org/10.7910/DVN/4QJW0V,10.7910,2019-08-22,s3://10.7910/DVN/4QJW0V,,10.7910/DVN/4QJW0V
perspectives,3337656,DVN/IYWXMF,https://doi.org/10.7910/DVN/IYWXMF,10.7910,2019-03-08,s3://10.7910/DVN/IYWXMF,,10.7910/DVN/IYWXMF
perspectives,3348755,DVN/QJ4MK0,https://doi.org/10.7910/DVN/QJ4MK0,10.7910,2019-08-22,s3://10.7910/DVN/QJ4MK0,,10.7910/DVN/QJ4MK0
perspectives,3354427,DVN/ZGI2GF,https://doi.org/10.7910/DVN/ZGI2GF,10.7910,2019-06-13,s3://10.7910/DVN/ZGI2GF,,10.7910/DVN/ZGI2GF
perspectives,3371137,DVN/GNCDZR,https://doi.org/10.7910/DVN/GNCDZR,10.7910,2019-08-22,s3://10.7910/DVN/GNCDZR,,10.7910/DVN/GNCDZR
perspectives,3372100,DVN/CVCF75,https://doi.org/10.7910/DVN/CVCF75,10.7910,2019-08-22,s3://10.7910/DVN/CVCF75,,10.7910/DVN/CVCF75
perspectives,3372333,DVN/2JT5JK,https://doi.org/10.7910/DVN/2JT5JK,10.7910,2019-08-22,s3://10.7910/DVN/2JT5JK,,10.7910/DVN/2JT5JK
perspectives,3373353,DVN/XSGYWA,https://doi.org/10.7910/DVN/XSGYWA,10.7910,2019-08-22,s3://10.7910/DVN/XSGYWA,,10.7910/DVN/XSGYWA
perspectives,3376334,DVN/3SFGTQ,https://doi.org/10.7910/DVN/3SFGTQ,10.7910,2019-08-22,s3://10.7910/DVN/3SFGTQ,,10.7910/DVN/3SFGTQ
perspectives,3376348,DVN/LGLTN2,https://doi.org/10.7910/DVN/LGLTN2,10.7910,2019-11-18,s3://10.7910/DVN/LGLTN2,,10.7910/DVN/LGLTN2
perspectives,3404597,DVN/RZPNLY,https://doi.org/10.7910/DVN/RZPNLY,10.7910,2019-11-18,s3://10.7910/DVN/RZPNLY,,10.7910/DVN/RZPNLY
perspectives,3407781,DVN/WHLUMW,https://doi.org/10.7910/DVN/WHLUMW,10.7910,2019-08-22,s3://10.7910/DVN/WHLUMW,,10.7910/DVN/WHLUMW
perspectives,3473051,DVN/J6SEGJ,https://doi.org/10.7910/DVN/J6SEGJ,10.7910,2019-11-18,s3://10.7910/DVN/J6SEGJ,,10.7910/DVN/J6SEGJ
perspectives,3477518,DVN/8WLEMA,https://doi.org/10.7910/DVN/8WLEMA,10.7910,2020-01-01,s3://10.7910/DVN/8WLEMA,,10.7910/DVN/8WLEMA
perspectives,3478206,DVN/IH1AJS,https://doi.org/10.7910/DVN/IH1AJS,10.7910,2019-11-18,s3://10.7910/DVN/IH1AJS,,10.7910/DVN/IH1AJS
perspectives,3493449,DVN/HSAXKU,https://doi.org/10.7910/DVN/HSAXKU,10.7910,2020-01-01,s3://10.7910/DVN/HSAXKU,,10.7910/DVN/HSAXKU
perspectives,3536253,DVN/OGQJXI,https://doi.org/10.7910/DVN/OGQJXI,10.7910,2019-11-18,s3://10.7910/DVN/OGQJXI,,10.7910/DVN/OGQJXI
perspectives,3543037,DVN/XQYJKN,https://doi.org/10.7910/DVN/XQYJKN,10.7910,2020-01-01,s3://10.7910/DVN/XQYJKN,,10.7910/DVN/XQYJKN
perspectives,3549893,DVN/EFLNUM,https://doi.org/10.7910/DVN/EFLNUM,10.7910,2020-01-01,s3://10.7910/DVN/EFLNUM,,10.7910/DVN/EFLNUM
perspectives,3550042,DVN/XKOVUN,https://doi.org/10.7910/DVN/XKOVUN,10.7910,2020-01-01,s3://10.7910/DVN/XKOVUN,,10.7910/DVN/XKOVUN
perspectives,3582385,DVN/W1YYEV,https://doi.org/10.7910/DVN/W1YYEV,10.7910,2020-01-01,s3://10.7910/DVN/W1YYEV,,10.7910/DVN/W1YYEV
perspectives,3603268,DVN/0NVQK4,https://doi.org/10.7910/DVN/0NVQK4,10.7910,2020-01-17,s3://10.7910/DVN/0NVQK4,,10.7910/DVN/0NVQK4
perspectives,3611063,DVN/7VW5HS,https://doi.org/10.7910/DVN/7VW5HS,10.7910,2020-02-06,s3://10.7910/DVN/7VW5HS,,10.7910/DVN/7VW5HS
perspectives,3611261,DVN/XTVNXN,https://doi.org/10.7910/DVN/XTVNXN,10.7910,2020-02-06,s3://10.7910/DVN/XTVNXN,,10.7910/DVN/XTVNXN
perspectives,3628500,DVN/FROKE5,https://doi.org/10.7910/DVN/FROKE5,10.7910,2020-03-17,s3://10.7910/DVN/FROKE5,,10.7910/DVN/FROKE5
perspectives,3644794,DVN/MQAWKE,https://doi.org/10.7910/DVN/MQAWKE,10.7910,2020-03-04,s3://10.7910/DVN/MQAWKE,,10.7910/DVN/MQAWKE
perspectives,3654213,DVN/0NDRHU,https://doi.org/10.7910/DVN/0NDRHU,10.7910,2020-03-13,s3://10.7910/DVN/0NDRHU,,10.7910/DVN/0NDRHU
perspectives,3659618,DVN/IUCOEP,https://doi.org/10.7910/DVN/IUCOEP,10.7910,2020-07-17,s3://10.7910/DVN/IUCOEP,,10.7910/DVN/IUCOEP
perspectives,3666186,DVN/YBPZRS,https://doi.org/10.7910/DVN/YBPZRS,10.7910,2020-03-12,s3://10.7910/DVN/YBPZRS,,10.7910/DVN/YBPZRS
perspectives,3674218,DVN/360D4O,https://doi.org/10.7910/DVN/360D4O,10.7910,2020-05-20,s3://10.7910/DVN/360D4O,,10.7910/DVN/360D4O
perspectives,3744357,DVN/VXZZ0J,https://doi.org/10.7910/DVN/VXZZ0J,10.7910,2020-05-25,s3://10.7910/DVN/VXZZ0J,,10.7910/DVN/VXZZ0J
perspectives,3754640,DVN/X0LYXD,https://doi.org/10.7910/DVN/X0LYXD,10.7910,2020-06-23,s3://10.7910/DVN/X0LYXD,,10.7910/DVN/X0LYXD
perspectives,3775313,DVN/N8ELFU,https://doi.org/10.7910/DVN/N8ELFU,10.7910,2020-05-21,s3://10.7910/DVN/N8ELFU,,10.7910/DVN/N8ELFU
perspectives,3786717,DVN/CDA5FN,https://doi.org/10.7910/DVN/CDA5FN,10.7910,2020-06-03,s3://10.7910/DVN/CDA5FN,,10.7910/DVN/CDA5FN
perspectives,3788701,DVN/E7CLML,https://doi.org/10.7910/DVN/E7CLML,10.7910,2020-06-09,s3://10.7910/DVN/E7CLML,,10.7910/DVN/E7CLML
perspectives,3789875,DVN/4A8LOT,https://doi.org/10.7910/DVN/4A8LOT,10.7910,2020-09-11,s3://10.7910/DVN/4A8LOT,,10.7910/DVN/4A8LOT
perspectives,3795047,DVN/VX6UIH,https://doi.org/10.7910/DVN/VX6UIH,10.7910,2020-07-23,s3://10.7910/DVN/VX6UIH,,10.7910/DVN/VX6UIH
perspectives,3802389,DVN/AUTKAV,https://doi.org/10.7910/DVN/AUTKAV,10.7910,2020-06-03,s3://10.7910/DVN/AUTKAV,,10.7910/DVN/AUTKAV
perspectives,3821966,DVN/L6KU0D,https://doi.org/10.7910/DVN/L6KU0D,10.7910,2020-07-21,s3://10.7910/DVN/L6KU0D,,10.7910/DVN/L6KU0D
perspectives,3822739,DVN/IFGSF5,https://doi.org/10.7910/DVN/IFGSF5,10.7910,2020-09-11,s3://10.7910/DVN/IFGSF5,,10.7910/DVN/IFGSF5
perspectives,3823733,DVN/H0TT9U,https://doi.org/10.7910/DVN/H0TT9U,10.7910,2020-09-11,s3://10.7910/DVN/H0TT9U,,10.7910/DVN/H0TT9U
perspectives,3830320,DVN/FXEJWI,https://doi.org/10.7910/DVN/FXEJWI,10.7910,2020-07-17,s3://10.7910/DVN/FXEJWI,,10.7910/DVN/FXEJWI
perspectives,3835348,DVN/QVOPRT,https://doi.org/10.7910/DVN/QVOPRT,10.7910,2020-05-18,s3://10.7910/DVN/QVOPRT,,10.7910/DVN/QVOPRT
perspectives,3841500,DVN/AQJWCG,https://doi.org/10.7910/DVN/AQJWCG,10.7910,2020-09-11,s3://10.7910/DVN/AQJWCG,,10.7910/DVN/AQJWCG
perspectives,3862353,DVN/B6QSZ1,https://doi.org/10.7910/DVN/B6QSZ1,10.7910,2020-11-03,s3://10.7910/DVN/B6QSZ1,,10.7910/DVN/B6QSZ1
perspectives,3867584,DVN/KHZER5,https://doi.org/10.7910/DVN/KHZER5,10.7910,2020-09-11,s3://10.7910/DVN/KHZER5,,10.7910/DVN/KHZER5
perspectives,3869343,DVN/N5PYXZ,https://doi.org/10.7910/DVN/N5PYXZ,10.7910,2020-09-01,s3://10.7910/DVN/N5PYXZ,,10.7910/DVN/N5PYXZ
perspectives,3892188,DVN/6FFKRI,https://doi.org/10.7910/DVN/6FFKRI,10.7910,2020-09-16,s3://10.7910/DVN/6FFKRI,,10.7910/DVN/6FFKRI
perspectives,3908081,DVN/D3OC1H,https://doi.org/10.7910/DVN/D3OC1H,10.7910,2020-09-16,s3://10.7910/DVN/D3OC1H,,10.7910/DVN/D3OC1H
perspectives,3985756,DVN/8BLCWK,https://doi.org/10.7910/DVN/8BLCWK,10.7910,2020-10-14,s3://10.7910/DVN/8BLCWK,,10.7910/DVN/8BLCWK
perspectives,3985848,DVN/SWVFV8,https://doi.org/10.7910/DVN/SWVFV8,10.7910,2021-01-05,s3://10.7910/DVN/SWVFV8,,10.7910/DVN/SWVFV8
perspectives,3992131,DVN/ZVP0TS,https://doi.org/10.7910/DVN/ZVP0TS,10.7910,2020-10-05,s3://10.7910/DVN/ZVP0TS,,10.7910/DVN/ZVP0TS
perspectives,4016144,DVN/WRHPXL,https://doi.org/10.7910/DVN/WRHPXL,10.7910,2020-10-26,s3://10.7910/DVN/WRHPXL,,10.7910/DVN/WRHPXL
perspectives,4017278,DVN/ZU3K7H,https://doi.org/10.7910/DVN/ZU3K7H,10.7910,2020-11-06,s3://10.7910/DVN/ZU3K7H,,10.7910/DVN/ZU3K7H
