file_in,title,journal,%,average marginal component effect,Average treatment effect,carr.{20}experiment,choice experiment,coefficient,condition,"conduct.{1,70}experiment","utili[sz].{1,70}experiment",confidence interval,conjoint experiment,control,control group,difference-in-differences,estimator,experimental design,experimental group,experimental research,field experiment,instrumental variable,interaction,internet experiment,intervention,likelihood estimator,manipulation,lab experiment,maximum likelihood estimator,measure,model,multilevel experiment,natural experiment,null result,online survey experiment,p <,p =,p >,p<,p=,p>,participa,population,posttest,pretest,predict,predicted probab,causal,sample size,quasi-experimental,random,random utility model,randomized control trial,RCT,RDD,regression discontinuity design,statistical significance,statistically significant,survey experiment,treatment effect,treatment group,validity,list survey,vignette,vignette experiment,β,effect,design,results,plot,figure,subject,recruit,random.{10}assign,control condition,mechanical turk,mturk,causal inference,µ,yougov,polimetrix,qualtrics,count_experiment,nchar
10.1002_poi3.148,Nudges that promote channel shift: a randomized evaluation of messages to encourage citizens to renew benefits online,Policy \& Internet,0,0,0,0,0,1,3,0,0,0,0,23,8,0,0,1,0,0,1,0,1,0,4,0,0,0,0,1,5,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,1,0,2,0,1,0,0,0,0,4,0,5,0,0,0,0,0,0,16,5,15,0,5,0,0,0,2,0,0,0,0,0,0,0,12,47796
10.1002_poi3.153,Discriminating tastes: uber's customer ratings as vehicles for workplace discrimination,Policy \& Internet,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,3,0,6,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,0,0,7,3,0,0,0,0,0,0,0,0,0,0,5,67927
10.1002_poi3.155,"How social media construct """"truth"""" around crisis events: weibo's rumor management strategies after the 2015 tianjin blasts",Policy \& Internet,45,0,0,0,0,0,0,1,0,0,0,6,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,8,0,7,5,0,0,0,0,0,0,0,0,0,0,7,66343
10.1002_poi3.158,Detecting platform effects in online discussions,Policy \& Internet,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,12,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,3,0,0,0,0,3,0,0,0,2,0,1,0,0,0,0,14,15,14,4,32,0,0,0,0,0,0,1,0,0,0,0,6,65566
10.1002_poi3.160,Could internet voting halt declining electoral turnout? {New} evidence that e-voting is habit forming,Policy \& Internet,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,5,0,15,0,0,0,0,0,0,0,0,0,0,0,5,46206
10.1002_poi3.170,Does public investment in icts improve learning performance? {Evidence} from italy,Policy \& Internet,0,0,0,0,0,1,0,0,0,0,0,8,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,6,7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,46,2,29,0,0,1,0,0,0,0,0,0,0,0,0,0,6,75129
10.1002_poi3.174,Do americans want a right to be forgotten? {Estimating} public support for digital erasure legislation,Policy \& Internet,8,0,0,0,0,0,7,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,10,3,0,0,0,0,6,0,0,0,0,0,0,5,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,7,0,3,1,0,0,0,7,1,0,0,0,0,0,6,67517
10.1002_poi3.214,Cleaning up social media: the effect of warning labels on likelihood of sharing false news on facebook,Policy \& Internet,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,11,0,0,0,0,0,0,0,3,0,0,0,0,5,12,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,66,6,6,0,11,1,0,0,0,5,6,0,0,0,0,1,22,57371
10.1002_poi3.223,Do machines replicate humans? {Toward} a unified understanding of radicalizing content on the open social web,Policy \& Internet,10,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,1,45,0,9,1,4,0,0,0,0,0,0,0,0,0,6,89056
10.1002_poi3.226,Online social shaming and the moralistic imagination: the emergence of internet‐based performative shaming,Policy \& Internet,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,71143
10.1002_poi3.240,The social network: how friends' online behavior and belongingness needs influence political activity,Policy \& Internet,1,0,0,0,0,0,63,0,0,0,0,36,0,0,0,1,0,0,2,0,7,0,0,0,3,0,0,8,23,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,20,2,18,3,12,1,0,0,26,0,0,0,0,0,0,4,39,68521
10.1002_poi3.248,Democratic innovation in times of crisis: exploring changes in social and political trust,Policy \& Internet,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,2,0,0,0,0,0,0,0,1,6,0,0,2,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,6,3,15,0,8,1,0,0,0,0,0,0,0,0,0,0,7,64089
10.1002_poi3.80,Does crowdsourcing legislation increase political legitimacy? {The} case ofavoin ministeriöin finland,Policy \& Internet,0,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,3,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,4,20,0,4,0,0,0,0,0,0,1,0,0,0,0,11,59138
10.1002_poi3.84,"Crowdsourced corruption reporting: what petrified forests, street music, bath towels, and the taxman can tell us about the prospects for its future",Policy \& Internet,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,2,0,11,0,0,0,0,0,0,0,0,0,0,0,13,70039
10.1002_poi3.85,Cyber hate speech on twitter: an application of machine classification and statistical modeling for policy and decision making,Policy \& Internet,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,33,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,41,0,0,4,1,0,0,1,0,0,0,0,0,0,13,60784
10.1002_poi3.88,Echo chambers and online radicalism: assessing the internet's complicity in violent extremism,Policy \& Internet,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,71392
10.1002_poi3.89,Event prediction with learning algorithms-a study of events surrounding the egyptian revolution of 2011 on the basis of micro blog data,Policy \& Internet,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,34,2,12,3,0,0,0,0,0,0,0,0,0,0,9,70462
10.1002_poi3.90,Crowdsourcing public opinion using urban pervasive technologies: lessons from real-life experiments in oulu,Policy \& Internet,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,12,16,0,12,0,0,0,0,0,0,0,0,0,0,0,7,63418
10.1002_poi3.95,A systematic review of online deliberation research,Policy \& Internet,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,20,0,5,0,0,0,0,0,0,0,0,0,0,0,9,66259
10.1002_poi3.98,"The rise of the mediating citizen: time, space, and citizenship in the crowdsourcing of finnish legislation",Policy \& Internet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,1,1,1,0,0,0,0,0,0,0,0,0,0,10,77263
10.1002_poi3.99,Crowdsourcing ideas as an emerging form of multistakeholder participation in internet governance,Policy \& Internet,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,8,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,5,0,0,0,0,0,0,0,0,0,0,6,71879
10.1002_polq.12140,Philosophical pragmatism and the constitutional watershed of 1912,Political Science Quarterly,0,0,0,0,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27,103220
10.1002_polq.12208,"He runs, she runs: why gender stereotypes do not harm women candidates by deborah jordanbrooks. {Princeton}, nj, princeton university press, 2013. 240 pp. \$26.95.",Political Science Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8494
10.1002_polq.12243,"Changing minds or changing channels? {Partisan} news in an age of choice by kevinarceneaux and martinjohnson. {Chicago}, il, university of chicago press, 2013. 238 pp. {Paper}, \$25.00.",Political Science Quarterly,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,5,8366
10.1002_polq.12349,"God talk: experimenting with the religious causes of public opinion by paul a. {Djupe} and brian r. {Calfano}. {Philadelphia}, pa, temple university press, 2013. 276 pp. {Cloth}, \$84.50; paper, \$34.95.",Political Science Quarterly,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5365
10.1002_polq.12486,"Democracy, elite bias, and redistribution in latin america",Political Science Quarterly,0,0,0,0,0,3,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,4,0,0,0,0,0,0,14,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,5,83882
10.1002_polq.12533,American good fortune and misperception about the outside world,Political Science Quarterly,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,2,6,0,0,0,0,0,0,0,2,0,0,5,90657
10.1002_polq.12735,Compromising positions: why republican partisans are more rigid than democrats,Political Science Quarterly,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,2,0,0,0,0,9,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,4,2,0,0,0,1,0,0,0,0,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,11,72043
10.1002_polq.12740,"The prometheus bomb: the manhattan project and government in the dark by neil j.sullivan. {Lincoln}, ne, potomac books, 2016. 296 pp. \$29.95.",Political Science Quarterly,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8446
10.1002_polq.12803,The puzzle of democratic divergence in the arab world: theory confronts experience in egypt and tunisia,Political Science Quarterly,10,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,7,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,116800
10.1002_polq.12957,Beyond likely voters: an event analysis of conservative political outreach,Political Science Quarterly,24,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,14,0,2,0,0,0,0,0,0,0,0,0,6,89423
10.1002_polq.12958,Hazy accountability in a federal system: the role of air quality in gubernatorial performance evaluation,Political Science Quarterly,0,0,0,0,0,0,10,0,0,0,0,19,5,0,0,0,0,2,0,0,15,0,1,0,0,0,0,22,26,0,0,0,1,8,0,0,0,0,0,0,11,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,12,0,11,0,0,0,0,0,1,1,17,1,8,0,0,0,0,3,6,0,0,2,0,0,23,82104
10.1002_polq.13164,"Economic sectionalism, executive‐centered partisanship, and the politics of the state and local tax deduction",Political Science Quarterly,6,0,0,0,0,0,8,0,0,0,0,6,3,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,6,8,1,9,0,1,0,1,2,5,0,0,0,0,0,9,72584
10.1007_s10290-010-0059-5,"Structural funds, eu enlargement, and the redistribution of fdi in europe",Review of World Economics,33,0,0,0,0,1,0,0,0,2,0,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,0,16,0,0,1,0,0,0,0,0,0,0,0,0,0,9,72575
10.1007_s10290-010-0062-x,Entering new country and product markets: does export promotion help?,Review of World Economics,34,0,0,0,0,15,2,0,0,0,0,8,1,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,9,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,61,2,17,0,0,1,0,0,0,0,0,2,0,0,0,0,5,102658
10.1007_s10290-011-0104-z,"Exports, investment and firm-level sales volatility",Review of World Economics,46,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,10,0,5,0,0,0,0,0,0,0,0,0,0,0,18,56654
10.1007_s10290-015-0236-7,Policies for a better-fed world,Review of World Economics,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,28,7,6,0,1,1,0,0,0,0,0,0,0,0,0,0,16,51404
10.1007_s10290-017-0295-z,Powerless: gains from trade when firm productivity is not pareto distributed,Review of World Economics,88,0,0,0,0,0,7,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,42,0,5,1,0,0,0,0,0,0,0,0,0,0,5,82896
10.1007_s10290-019-00351-4,"Donor motives, public preferences and the allocation of uk foreign aid: a discrete choice experiment approach",Review of World Economics,8,0,0,0,7,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,1,16,0,0,2,0,0,0,0,0,0,0,0,0,0,11,66390
10.1007_s10290-020-00389-9,Trade creation and trade diversion of economic integration agreements revisited: a constrained panel pseudo-maximum likelihood approach,Review of World Economics,51,0,0,0,0,1,2,0,0,3,0,3,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10,28,0,10,0,0,0,0,0,0,0,0,0,0,0,6,99161
10.1007_s10290-020-00402-1,Global migration in the twentieth and twenty-first centuries: the unstoppable force of demography,Review of World Economics,93,0,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,51,0,0,7,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16,0,15,0,0,0,0,0,0,0,0,0,0,0,6,98364
10.1007_s10308-011-0300-4,Open method of coordination and the gloomy future of social europe,Asia Europe Journal,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,7,52667
10.1007_s10308-014-0405-7,"Measuring eco cities, comparing european and asian experiences: rotterdam versus beijing",Asia Europe Journal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,60055
10.1007_s10308-015-0444-8,Learning geoeconomics: china's experimental financial and monetary initiatives,Asia Europe Journal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,63021
10.1007_s10784-012-9174-1,"A model of dynamic climate governance: dream big, win small","International Environmental Agreements: Politics, Law and Economics",0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,1,0,0,2,0,0,0,0,0,0,0,0,0,0,7,72407
10.1007_s10784-012-9182-1,Bounded rationality and social interaction in negotiating a climate agreement,"International Environmental Agreements: Politics, Law and Economics",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,21,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,33,92218
10.1007_s10784-015-9274-9,Managing fragmentation in global environmental governance: the redd+ partnership as bridge organization,"International Environmental Agreements: Politics, Law and Economics",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,4,0,0,0,0,0,0,0,0,0,0,8,71733
10.1007_s10784-015-9280-y,Beyond water security: asecuritisation and identity in cyprus,"International Environmental Agreements: Politics, Law and Economics",1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,6,61155
10.1007_s10784-016-9318-9,Cities to the rescue? {Assessing} the performance of transnational municipal networks in global climate governance,"International Environmental Agreements: Politics, Law and Economics",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,5,57739
