result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff
Replication Data for: Candidate Entry and Political Polarization: An Experimental Study,doi:10.7910/DVN/EDRAIQ,"Grosser, Jens",American Political Science Review Dataverse,Candidate Entry and Political Polarization: An Experimental Study,10.1017/s0003055418000631,0
"Replication Data for: ""The Informational Theory of Legislative Committees: An Experimental Analysis"", Marco Battaglini; Ernest K. Lai; Wooyoung Lim; Joseph Tao-yi Wang",doi:10.7910/DVN/OWQNVF,"Lim, Wooyoung",American Political Science Review Dataverse,The Informational Theory of Legislative Committees: An Experimental Analysis,10.1017/s000305541800059x,0.158620689655172
"Replication Data for: ""The Endurance of Politicians' Values Over Four Decades: A Panel Study""",doi:10.7910/DVN/6A2J2T,"c(""Searing, Donald D."", ""Jacoby, William G. "", ""Tyner, Andrew H."")",American Political Science Review Dataverse,The Endurance of Politicians  Values Over Four Decades: A Panel Study,10.1017/s0003055418000692,0.102248758249983
Replication Data for: The Countervailing Effects of Competition on Public Goods Provision: When Bargaining Inefficiencies Lead to Bad Outcomes,doi:10.7910/DVN/VKOMCK,"c(""Gottlieb, Jessica"", ""Kosec, Katrina"")",American Political Science Review Dataverse,The Countervailing Effects of Competition on Public Goods Provision: When Bargaining Inefficiencies Lead to Bad Outcomes,10.1017/s0003055418000667,0
Primaries and Candidate Polarization: Behavioral Theory and Experimental Evidence,doi:10.7910/DVN/YUNDMQ,"Woon, Jonathan",American Political Science Review Dataverse,Primaries and Candidate Polarization: Behavioral Theory and Experimental Evidence,10.1017/s0003055418000515,0
"Replication Data for Economic Development, Mobility and Political Discontent: An Experimental Test of Tocqueville's Thesis in Pakistan",doi:10.7910/DVN/EY2I6M,"Mo, Cecilia",American Political Science Review Dataverse,"Economic Development, Mobility, and Political Discontent: An Experimental Test of Tocqueville s Thesis in Pakistan",10.1017/s000305541700017x,0.210030039215505
Replication Data for: Family Matters? Voting Behavior in Households with Criminal Justice Contact,doi:10.7910/DVN/5CYWWF,"White, Ariel",American Political Science Review Dataverse,Family Matters? Voting Behavior in Households with Criminal Justice Contact,10.1017/s0003055418000862,0
Replication Data for: Non-Representative Representatives: An Experimental Study of the Decision Making of Elected Politicians,doi:10.7910/DVN/E7OQEY,"c(""Sheffer, Lior"", ""Loewen, Peter"", ""Soroka, Stuart"", ""Walgrave, Stefaan"")",American Political Science Review Dataverse,Nonrepresentative Representatives: An Experimental Study of the Decision Making of Elected Politicians - CORRIGENDUM,10.1017/s0003055418000114,0.0434661310121638
"Replication Data for: Office-Selling, Corruption, and Long-Term Development in Peru",doi:10.7910/DVN/TI5BPV,"Guardado, Jenny",American Political Science Review Dataverse,"Office-Selling, Corruption, and Long-Term Development in Peru",10.1017/s000305541800045x,0
Does international law promote the peaceful settlement of international disputes? Evidence from the study of territorial conflicts since 1945,doi:10.7910/DVN/JLW4TD,"Huth, Paul",Paul Huth Dataverse,Does International Law Promote the Peaceful Settlement of International Disputes? Evidence from the Study of Territorial Conflicts since 1945,10.1017/s0003055411000062,0
Replication Data for: Cabinet Durability and Fiscal Discipline,doi:10.7910/DVN/HHMXU3,"c(""Fortunato, David"", ""Loftis, Matt W."")",American Political Science Review Dataverse,Cabinet Durability and Fiscal Discipline,10.1017/s0003055418000436,0
Replication data for: The Supreme Court's Many Median Justices,doi:10.7910/DVN/QKWOXJ,"c(""Lauderdale, Benjamin"", ""Clark, Tom"")",Tom Clark Dataverse,The Supreme Court's Many Median Justices,10.1017/s0003055412000469,0
Replication Data for: Does Public Opinion Constrain Presidential Unilateralism?,doi:10.7910/DVN/UHUK4P,"c(""Christenson, Dino"", ""Kriner, Douglas"")",American Political Science Review Dataverse,Does Public Opinion Constrain Presidential Unilateralism?,10.1017/s0003055419000327,0
Replication Data for: Ethnic Segregation and Public Goods: Evidence from Indonesia,doi:10.7910/DVN/ZDYXYI,"c(""Tajima, Yuhki"", ""Samphantharak, Krislert"", ""Ostwald, Kai"")",Harvard Dataverse,Ethnic Segregation and Public Goods: Evidence from Indonesia,10.1017/s0003055418000138,0
Replication Data for: Ethnic Heuristics and Candidate Evaluations in Peru: Evidence from a Voting Experiment,doi:10.7910/DVN/0G44DS,"Kelly, Sam G W",Peruvian Voting Experiment (2013) Dataverse,Cross-cutting Cleavages and Ethnic Voting: An Experimental Study of Cousinage in Mali,10.1017/s0003055409990311,0.245848246912655
Replication Data for: Fake It Til You Make It: A Natural Experiment to Identify European Politicians' Benefit from Twitter Bots,doi:10.7910/DVN/PAMABU,"c(""Castanho Silva, Bruno"", ""Proksch, Sven-Oliver"")",American Political Science Review Dataverse,Fake It  Til You Make It: A Natural Experiment to Identify European Politicians  Benefit from Twitter Bots,10.1017/s0003055420000817,0.153694680581473
Replication Data for: Reconciling the Theoretical and Empirical Study of International Norms: A New Approach to Measurement,doi:10.7910/DVN/XS4P50,"Girard, Tyler",American Political Science Review Dataverse,Reconciling the Theoretical and Empirical Study of International Norms: A New Approach to Measurement,10.1017/s0003055420000854,0
Replication Data for: Measuring the Significance of Policy Outputs with Positive Unlabeled Learning,doi:10.7910/DVN/1XXDMW,"c(""Zubek, Radoslaw"", ""Dasgupta, Abhishek"", ""Doyle, David"")",American Political Science Review Dataverse,Measuring the Significance of Policy Outputs with Positive Unlabeled Learning,10.1017/s000305542000091x,0
Replication Data for:  How Internal Constraints Shape Interest Group Activities: Evidence from Access-seeking PACs,doi:10.7910/DVN/T1TELH,"Li, Zhao",American Political Science Review Dataverse,How Internal Constraints Shape Interest Group Activities: Evidence from Access-Seeking PACs,10.1017/s0003055418000382,0
Replication data for: The Influence of Federal Spending on Presidential Elections,doi:10.7910/DVN/CTQKJA,"c(""Kriner, Douglas"", ""Reeves, Andrew"")",American Political Science Review Dataverse,The Influence of Federal Spending on Presidential Elections,10.1017/s0003055412000159,0
Replication Data for: Candidate Sexual Orientation didn't Matter (in the Way You Might Think)  in the 2015 UK General Election,doi:10.7910/DVN/CTZNJV,"c(""Magni, Gabriele"", ""Andrew Reynolds"")",American Political Science Review Dataverse,Candidate Sexual Orientation Didn't Matter (in the Way You Might Think) in the 2015 UK General Election,10.1017/s0003055418000102,0.0404219566840925
Replication Data for: Noisy Retrospection: The Effect of Party Control on Policy Outcomes,doi:10.7910/DVN/VGWNP9,"c(""Dynes, Adam"", ""Holbein, John"")",American Political Science Review Dataverse,Noisy Retrospection: The Effect of Party Control on Policy Outcomes,10.1017/s0003055419000649,0
Can Development Aid Empower Women? Evidence from a Field Experiment in the Congo,doi:10.7910/DVN/ROUWNS,"Van der Windt, Peter",The Journal of Politics Dataverse,Empowering Women through Development Aid: Evidence from a Field Experiment in Afghanistan,10.1017/s0003055413000270,0.243341937443061
Replication Data for: Demand for Law and the Security of Property Rights: The Case of Post-Soviet Russia,doi:10.7910/DVN/T5DKRO,"Gans-Morse, Jordan",American Political Science Review Dataverse,Demand for Law and the Security of Property Rights: The Case of Post-Soviet Russia,10.1017/s0003055416000691,0
"International student evaluations, policy recommendations, and the teaching profession: Does context matter?",,NULL,,International Knowledge and Domestic Evaluations in a Changing Society: The Case of China,10.1017/s000305541500026x,0.247210951588292
Replication Data for:  When Do Citizens Respond Politically to the Local Economy? Evidence from Registry Data on Local Housing Markets,doi:10.7910/DVN/EKZQSZ,"Larsen, Martin Vinæs",American Political Science Review Dataverse,When Do Citizens Respond Politically to the Local Economy? Evidence from Registry Data on Local Housing Markets,10.1017/s0003055419000029,0
Replication Data for: Electoral Reform and Trade-Offs in Representation,doi:10.7910/DVN/H1CCWM,"Becher, Michael",American Political Science Review Dataverse,Electoral Reform and Trade-Offs in Representation,10.1017/s0003055419000145,0
The Geography of Inequality: How Land Use Regulation Produces Segregation,doi:10.7910/DVN/5MAQC2,"Trounstine, Jessica",American Political Science Review Dataverse,The Geography of Inequality: How Land Use Regulation Produces Segregation,10.1017/s0003055419000844,0
Replication Data for: From Islamists to Muslim Democrats: The Case of Tunisia's Ennahda,doi:10.7910/DVN/VWBTL5,"Grewal, Sharan",American Political Science Review Dataverse,From Islamists to Muslim Democrats: The Case of Tunisia s Ennahda,10.1017/s0003055419000819,0.0154647435897436
Replication Data for: Secular Party Rule and Religious Violence in Pakistan ,doi:10.7910/DVN/VHNHHN,"c(""Nellis, Gareth"", ""Siddiqui, Niloufer"")",American Political Science Review Dataverse,Secular Party Rule and Religious Violence in Pakistan,10.1017/s0003055417000491,0
Replication Data for: The Birth of Pork: Local Appropriations in America's First Century,doi:10.7910/DVN/SAPQYS,"c(""Gordon, Sanford"", ""Simpson, Hannah K."")",American Political Science Review Dataverse,The Birth of Pork: Local Appropriations in America s First Century,10.1017/s000305541800014x,0.0306138306138306
Replication Data for: How to Promote Order and Property Rights under Weak Rule of Law? An Experiment in Changing Dispute Resolution Behavior through Community Education,doi:10.7910/DVN/UNO6QU,"c(""Blattman, Chris"", ""Hartman, Alexandra"", ""Blair, Robert"")",The Abdul Latif Jameel Poverty Action Lab Dataverse,How to Promote Order and Property Rights under Weak Rule of Law? An Experiment in Changing Dispute Resolution Behavior through Community Education,10.1017/s0003055413000543,0
Replication Data for: Media Bias against Foreign Firms as a Veiled Trade Barrier: Evidence from Chinese Newspapers,doi:10.7910/DVN/JSR0OE,"Kim, Sung Eun",American Political Science Review Dataverse,Media Bias against Foreign Firms as a Veiled Trade Barrier: Evidence from Chinese Newspapers,10.1017/s0003055418000242,0
"Replication data for: ""I wld like u WMP to extend electricity 2 our village:"" On Information Technology and Interest Articulation",doi:10.7910/DVN/27192,"c(""Grossman, Guy"", ""Humphreys, Macartan"", ""Sacramone-Lutz, Gabriella"")",American Political Science Review Dataverse, I wld like u WMP to extend electricity 2 our village : On Information Technology and Interest Articulation,10.1017/s0003055414000331,0.155318202047174
Replication Data for: Presidential Particularism and Divide-the-Dollar Politics,doi:10.7910/DVN/HQXKJ9,"c(""Kriner, Douglas"", ""Reeves, Andrew"")",Douglas Kriner  Dataverse,Presidential Particularism and Divide-the-Dollar Politics,10.1017/s0003055414000598,0
Replication Data for: Are Human Rights Practices Improving?,doi:10.7910/DVN/KGVBNC,"Cingranelli, David",American Political Science Review Dataverse,Are Human Rights Practices Improving?,10.1017/s0003055418000254,0
"Replication Data for: ""The Index of Emancipative Values: Measurement Model Misspecifications""",doi:10.7910/DVN/TPGPCR,"Sokolov, Boris",American Political Science Review Dataverse,The Index of Emancipative Values: Measurement Model Misspecifications,10.1017/s0003055417000624,0.00938967136150237
Replication Data for: Administrative Records Mask Racially Biased Policing,doi:10.7910/DVN/KFQOCV,"Knox, Dean",Replication Materials for 'Administrative Records Mask Racially Biased Policing',Administrative Records Mask Racially Biased Policing CORRIGENDUM,10.1017/s0003055420000611,0.0625
Is There a Culture War? Conflicting Value Structures in American Public Opinion,doi:10.7910/DVN/26564,"Jacoby, W","William G. Jacoby, Research Data and Replication Materials Dataverse",Is There a Culture War? Conflicting Value Structures in American Public Opinion,10.1017/s0003055414000380,0
Replication Data for: Does Property Ownership Lead to Participation in Local Politics? Evidence from Property Records and Meeting Minutes,doi:10.7910/DVN/RDIJQC,"Yoder, Jesse",American Political Science Review Dataverse,Does Property Ownership Lead to Participation in Local Politics? Evidence from Property Records and Meeting Minutes,10.1017/s0003055420000556,0
Replication Data for: Women's Descriptive Representation and Gendered Import Tax Discrimination,doi:10.7910/DVN/UM0ZOF,"c(""Fortunato, David"", ""Bettz, Timm"", ""O'Brien, Diana Z."")",American Political Science Review Dataverse,Women s Descriptive Representation and Gendered Import Tax Discrimination,10.1017/s0003055420000799,0.131817605276509
Replication Data for: Independent Candidates and Political Representation in India ,doi:10.7910/DVN/AJHFHU,"c(""Kapoor, Sacha"", ""Magesan, Arvind"")",American Political Science Review Dataverse,Independent Candidates and Political Representation in India,10.1017/s0003055418000199,0
Replication Data for: News and Geolocated Social Media Accurately Measure Protest Size Variation,doi:10.7910/DVN/TRLSJA,"c(""STEINERT-THRELKELD, ZACHARY"", ""Joo. Jungseock"", ""Chen, Keith"", ""Sobolev, Anton"")",American Political Science Review Dataverse,News and Geolocated Social Media Accurately Measure Protest Size Variation,10.1017/s0003055420000295,0
"Replication Data for ""Overcoming History through Exit or Integration - Deep-Rooted Sources of Support for the European Union""",doi:10.7910/DVN/NNFDNB,"Gehring, Kai",Harvard Dataverse,Overcoming History Through Exit or Integration: Deep-Rooted Sources of Support for the European Union,10.1017/s0003055420000842,0.216633663366337
Replication Data for Social Network Structures and the Politics of Public Goods Provision,doi:10.7910/DVN/B9U5BH,"Cruz, Cesi",American Political Science Review Dataverse,Social Network Structures and the Politics of Public Goods Provision: Evidence from the Philippines,10.1017/s0003055419000789,0.234978502137024
"Gender, Law Enforcement, and Access to Justice: Evidence from All-Women Police Stations in India",doi:10.7910/DVN/VRH8ND,"Jassal, Nirvikar",American Political Science Review Dataverse,"Gender, Law Enforcement, and Access to Justice: Evidence from All-Women Police Stations in India",10.1017/s0003055420000684,0
Replication Data for: Social and Institutional Origins of Political Islam,doi:10.7910/DVN/UJYEAD,"c(""Ketchley, Neil"", ""Steven Brooke"")",American Political Science Review Dataverse,Social and Institutional Origins of Political Islam,10.1017/s0003055417000636,0
Replication Data for: Endogenous taxation in ongoing internal conflict: The case of Colombia,doi:10.7910/DVN/PCM2O2,"c(""Ch, Rafael"", ""Shapiro, Jacob"", ""Steele, Abbey"", ""Vargas, Juan F."")",American Political Science Review Dataverse,Endogenous Taxation in Ongoing Internal Conflict: The Case of Colombia,10.1017/s0003055418000333,0
Replication Data for: Political Dynasties and the Incumbency Advantage in Party-Centered Environments,doi:10.7910/DVN/TTE3SQ,"c(""Fiva, Jon H."", ""Smith, Daniel M."")",American Political Science Review Dataverse,Political Dynasties and the Incumbency Advantage in Party-Centered Environments,10.1017/s0003055418000047,0
Replication Data for: Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,doi:10.7910/DVN/ZJTLSW,"Zelizer, Adam",American Political Science Review Dataverse,Is Position-Taking Contagious? Evidence of Cue-Taking from Two Field Experiments in a State Legislature,10.1017/s0003055419000078,0
"It's Not Just What You Have, but Who You Know: Networks, Social Proximity to Elites, and Voting in State and Local Elections",doi:10.7910/DVN/UTAP1V,"c(""Pietryka, Matthew"", ""Donald A. DeBats"")",American Political Science Review Dataverse,"It s Not Just What You Have, but Who You Know: Networks, Social Proximity to Elites, and Voting in State and Local Elections",10.1017/s000305541600071x,0.157137861701198
Mass Repression and Political Loyalty: Evidence from Stalin's `Terror by Hunger',doi:10.7910/DVN/XKMNAO,"c(""Rozenas, Arturas"", ""Zhukov, Yuri"")",American Political Science Review Dataverse,Mass Repression and Political Loyalty: Evidence from Stalin s  Terror by Hunger ,10.1017/s0003055419000066,0.0488095238095239
Replication Data for: Targeted for Diffusion? How the Use and Acceptance of Stereotypes Shape the Diffusion of Criminal Justice Policy Innovations in the American States,doi:10.7910/DVN/3HOJZ4,"Boushey, Graeme",Graeme Boushey Dataverse,Targeted for Diffusion? How the Use and Acceptance of Stereotypes Shape the Diffusion of Criminal Justice Policy Innovations in the American States,10.1017/s0003055415000532,0
Process or Candidate: The International Community and the Demand for Electoral Integrity,doi:10.7910/DVN/YFPCBP,"c(""Bubeck, Johannes"", ""Marinov, Nikolay"")",American Political Science Review Dataverse,Process or Candidate: The International Community and the Demand for Electoral Integrity,10.1017/s0003055417000090,0
Replication Data for: Who Defects? Unpacking a Defection Cascade from Russia’s  Dominant Party 2008–12,doi:10.7910/DVN/DTIEPU,"c(""Hale, Henry E. "", ""Colton, Timothy J."")",Russian Election Studies Dataverse,Who Defects? Unpacking a Defection Cascade from Russia's Dominant Party 2008 12,10.1017/s0003055416000642,0.0531510332143244
Replication data for: Making Outsiders' Votes Count: Detecting Electoral Fraud through a Natural Experiment,doi:10.7910/DVN/29575,"c(""Fukumoto, Kentaro"", ""Horiuchi, Yusaku"")",Yusaku Horiuchi Dataverse,Making Outsiders' Votes Count: Detecting Electoral Fraud through a Natural Experiment,10.1017/s0003055411000268,0
"Replication Data for ""What You See Is Not Always What You Get: Bargaining Before an Audience Under Multiparty Government""",doi:10.7910/DVN/2CITBJ,"Martin, Lanny",American Political Science Review Dataverse,What You See Is Not Always What You Get: Bargaining before an Audience under Multiparty Government,10.1017/s0003055420000337,0.214721425760387
"Replication Data for ""Collective Action and Representation in Autocracies: Evidence from Russia's Great Reforms""",doi:10.7910/DVN/X7AMNO,"c(""Casta�eda Dower, Paul"", ""Finkel, Evgeny"", ""Gehlbach, Scott"", ""Nafziger, Steven"")",American Political Science Review Dataverse,Collective Action and Representation in Autocracies: Evidence from Russia s Great Reforms,10.1017/s0003055417000454,0.223883092562868
Replication Data for: Democracy and Depression: A Cross-National Study of Depressive Symptoms and Non-Participation,doi:10.7910/DVN/ZABHCA,"c(""Landwehr, Claudia"", ""Ojeda, Christopher"")",American Political Science Review Dataverse,Democracy and Depression: A Cross-National Study of Depressive Symptoms and Nonparticipation,10.1017/s0003055420000830,0.00358422939068104
Replication Data for Does Regime Matter? The impacts of real exchange rate on employment in China,doi:10.7910/DVN/DHVRZ8,"Song, Ruonan",Does Regime Matter? The impacts of real exchange rate on employment in China Dataverse,"Real Exchange Rates and Competitiveness: The Political Economy of Skill Formation, Wage Compression, and Electoral Systems",10.1017/s0003055410000304,0.248894655639573
Democracy by mistake: How the errors of autocrats  trigger transitions to freer government,doi:10.7910/DVN/PYRVKV,"TREISMAN, DANIEL",American Political Science Review Dataverse,Democracy by Mistake: How the Errors of Autocrats Trigger Transitions to Freer Government,10.1017/s0003055420000180,0.0542655014565128
"Replication Data for: Should I Stay or Should I Go? Leaders, Exile, and the Dilemmas of International Justice",doi:10.7910/DVN/H13U6G,"Krcmaric, Daniel",American Journal of Political Science (AJPS) Dataverse,Should I Stay or Should I Go? Explaining Variation in Western Jihadists' Choice between Domestic and Foreign Fighting,10.1017/s0003055412000615,0.232233028784753
Judicial Diversity and Appellate Decision Making,,NULL,,Judicial Selection and Death Penalty Decisions,10.1017/s0003055413000622,0.228609253065775
"Replication Data for ""Attributing Policy Influence under Coalition Governance""",doi:10.7910/DVN/MOL5B3,"c(""Fortunato, David"", ""Nick C.N. Lin"", ""Randolph T. Stevenson"", ""Mathias Wessel Tromborg"")",American Political Science Review Dataverse,Attributing Policy Influence under Coalition Governance,10.1017/s0003055420000763,0.24980574980575
"Replication Data for: Rigterink, Anouk S. The Wane of Command. Evidence on Drone Strikes and Control within Terrorist Organizations",doi:10.7910/DVN/MNRIEP,"Rigterink, Anouk S.",Harvard Dataverse,The Wane of Command: Evidence on Drone Strikes and Control within Terrorist Organizations,10.1017/s0003055420000908,0.223268532141329
"Replication Data for: Local News, Information, and the Nationalization of U.S. Elections",doi:10.7910/DVN/HDDPTB,"Moskowitz, Daniel J.",American Political Science Review Dataverse,"Local News, Information, and the Nationalization of U.S. Elections",10.1017/s0003055420000829,0
Replication Data for: How Partisan Is Local Law Enforcement? Evidence from Sheriff Cooperation with Immigration Authorities,doi:10.7910/DVN/CFASH6,"Thompson, Daniel M",American Political Science Review Dataverse,How Partisan Is Local Law Enforcement? Evidence from Sheriff Cooperation with Immigration Authorities,10.1017/s0003055419000613,0
Replication Data for Democracy at Work: Moving Beyond Elections to Improve Wellbeing,doi:10.7910/DVN/KDSF60,"Touchton, Michael ",American Political Science Review Dataverse,Democracy at Work: Moving Beyond Elections to Improve Well-Being,10.1017/s000305541600068x,0.24198082010582
"Replication Data for ""The Credibility of Public and Private Signals: A Document-Based Approach""",doi:10.7910/DVN/1ZOEEX,"c(""Min, Eric"", ""Katagiri, Azusa"")",American Political Science Review Dataverse,The Credibility of Public and Private Signals: A Document-Based Approach,10.1017/s0003055418000643,0.235794346978558
Replication Data for: How Do Immigrants Respond to Discrimination? The Case of Germans in the US during World War I,doi:10.7910/DVN/DHZBAB,Vasiliki Fouka,American Political Science Review Dataverse,How Do Immigrants Respond to Discrimination? The Case of Germans in the US During World War I,10.1017/s0003055419000017,0
Replication Data for: BARP: Improving Mister P with Bayesian Additive Regression Trees,doi:10.7910/DVN/LMW871,"Bisbee, James",American Political Science Review Dataverse,BARP: Improving Mister P Using Bayesian Additive Regression Trees,10.1017/s0003055419000480,0.123569514501892
"Replication Data for: A pairwise comparison framework for fast, flexible, and reliable human coding of political texts",doi:10.7910/DVN/0ZRGEE,"c(""Carlson, David"", ""Montgomery, Jacob M."")",American Political Science Review Dataverse,"A Pairwise Comparison Framework for Fast, Flexible, and Reliable Human Coding of Political Texts",10.1017/s0003055417000302,0
Replication Data for: Party Competition and Coalitional Stability: Evidence from American Local Government,doi:10.7910/DVN/8ZT2ID,"Bucchianeri, Peter",American Political Science Review Dataverse,Party Competition and Coalitional Stability: Evidence from American Local Government,10.1017/s0003055420000386,0
Replication Data for: Testing Social Science Network Theories with Online Network Data: An Evaluation of External Validity,doi:10.7910/DVN/K1XN7Q,"c(""Bisbee, James"", ""Larson, Jennifer"")",American Political Science Review Dataverse,Testing Social Science Network Theories with Online Network Data: An Evaluation of External Validity,10.1017/s0003055417000120,0
