name,type,url,identifier,description,published_at,match_candidate,diff
Global Electrification Database,dataverse,https://dataverse.harvard.edu/dataverse/electrification,electrification,"This database contains new electrification data for 124 countries, going back to 1960 for some of them. Data are separately available for rural, urban, and total electrification. The data are presented in (please cite): Aklin, Michaël, S.P. Harish, and Johannes Urpelainen. ""A Global Analysis of Progress in Household Electrification."" Energy Policy. The financial support of the International Growth Centre (IGC) is gratefully acknowledged.",2018-07-25T11:37:12Z,Global Environmental Politics,0.268143054572421
Journal of World-Systems Research Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/jwsr,jwsr,"The Journal of World-Systems Research Dataverse is an archive of published datasets in association with articles published in the Journal of World-Systems Research (JWSR). JWSR, now published at the University of Pittsburgh, is an online, open-access journal, affiliated with the Political Economy of World Systems section of the American Sociological Association. The journal was founded at the Institution of Research in World-Systems (IROWS) at University of California-Riverside, and was long edited by Christopher Chase-Dunn.",2021-07-01T15:42:54Z,Journal Of Peace Research,0.286124031007752
Territorial division,dataverse,https://dataverse.harvard.edu/dataverse/cem-territorial-division,cem-territorial-division,,2020-01-20T00:49:01Z,Territory Politics Governance,0.268175287356322
After Reform: Procedural Justice and the Legitimacy of International Institutions,dataverse,https://dataverse.harvard.edu/dataverse/pj_legitimacy_of_intl_institutions,pj_legitimacy_of_intl_institutions,,2020-09-14T10:15:39Z,Governance-An International Journal Of Policy Administration And Institutions,0.296377339182439
Political Science Research and Methods (PSRM) Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/PSRM,PSRM,"Political Science Research and Methods (PSRM) is the official journal of the European Political Science Association. It publishes original scholarly work of the highest quality from all subfields of political science with particular focus on research applying rigorous methods to empirical and theoretical problems. PSRM is a signatory of the Data Access and Research Transparency (DA-RT) statement, promoting data sharing and research transparency in political science. PSRM requires that authors make materials available to enable others to replicate the results of research. This Dataverse is dedicated to that material. For more information about contributing to the journal, see the instructions for contributors. Authors uploading datasets should see the guide to using PSRM Dataverse.",2013-09-03T16:49:11Z,Political Science Research And Methods,0.11786283891547
Perspectives on Politics,dataverse,https://dataverse.harvard.edu/dataverse/perspectives,perspectives,"Perspectives on Politics seeks to provide a space for broad and synthetic discussion within the political science profession and between the profession and the broader scholarly and reading publics. Such discussion necessarily draws on and contributes to the scholarship published in the more specialized journals that dominate our discipline. At the same time, Perspectives seeks to promote a complementary form of broad public discussion and synergistic understanding within the profession that is essential to advancing research and promoting scholarly community. Perspectives seeks to nurture a political science public sphere, publicizing important scholarly topics, ideas, and innovations, linking scholarly authors and readers, and promoting broad reflexive discussion among political scientists about the work that we do and why this work matters. For more information on the journal’s submission process, please visit Perspectives Submission Guidelines. For authors who are submitting replication files, please see the Perspectives Guide to Dataverse.",2017-12-19T16:22:44Z,Perspectives On Politics,0.0567632850241546
Policy evaluation replication files,dataverse,https://dataverse.harvard.edu/dataverse/evalreplicationfiles,evalreplicationfiles,,2018-04-06T17:34:28Z,Policy And Politics,0.296083959899749
International Postdoctoral Program,dataverse,https://dataverse.harvard.edu/dataverse/cebrap-ipp,cebrap-ipp,,2021-03-22T22:36:58Z,International Political Sociology,0.209043374925728
The Chinese Journal of International Politics Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/cjip,cjip,"The Chinese Journal of International Politics aims to advance the systematic and rigorous study of international relations. Besides the papers based on modern methodology, this journal also publishes research products of historical studies and policy-oriented research. This journal is committed to providing a forum for academic papers and articles on problematic issues. Most of its articles are either related to China or have implication for Chinese foreign policy.",2018-07-06T09:35:48Z,Chinese Journal Of International Politics,0.232372505543237
Security Studies Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/securitystudies,securitystudies,Security Studies is a leading peer-reviewed journal of international security studies.,2020-06-15T16:01:53Z,Security Dialogue,0.260288730876966
World Politics Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/world-politics,world-politics,"World Politics is an internationally renowned quarterly journal of political science. The journal aims to publish outstanding scholarship in the fields of international relations and comparative politics. It showcases two kinds of articles: 1) research articles that pose important substantive, political questions; significantly advance theoretical debates; and present original empirical research to advance knowledge on these issues; and 2) review articles that not only analyze and compare the contributions of a number of thematically related books, but also advance our understanding of how we should analyze and pursue future work on these themes. See the Instructions for Contributors for more detail. This Dataverse is dedicated to data relating to articles published in World Politics. See the World Politics Dataverse Guide for Authors for the journal's data policy and instructions for how to use this site.",2017-02-10T01:21:18Z,World Politics,0.138888888888889
European Union Sectoral Emissions Data (EUSED),dataverse,https://dataverse.harvard.edu/dataverse/eused,eused,European Union Sectoral Emissions Data (EUSED),2019-09-27T14:38:41Z,European Union Politics,0.233860342555995
Government Finance Database Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/Government_Finance_Database,Government_Finance_Database,,2016-07-29T18:53:07Z,Government And Opposition,0.335866454689984
Political Science Registered Studies Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/registration,registration,,2012-01-29T01:14:13Z,Political Studies Review,0.267512077294686
African Spaghetti Bowl Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/african_spaghetti,african_spaghetti,"African Spaghetti Bowl: Assessing State Rationales in African Peacekeeping Operations, 1999-2016. R replication code and datasets for ALM thesis.",2019-01-12T12:59:29Z,African Affairs,0.340277777777778
Research & Politics Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/researchandpolitics,researchandpolitics,Research & Politics is published by Sage. It aims to advance systematic peer-reviewed research in political science and related fields through the open access publication of the very best cutting-edge research and policy analysis.,2014-01-22T20:23:44Z,Research & Politics,0.114942528735632
Politics & Gender,dataverse,https://dataverse.harvard.edu/dataverse/politicsandgender,politicsandgender,Research data for Politics & Gender,2020-05-18T15:31:59Z,Politics & Society,0.209150326797386
International cooperation Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/ic,ic,,2015-11-24T16:52:04Z,International Peacekeeping,0.235697635697636
Post-Soviet Oligarchs Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/oligarchs,oligarchs,"The Post-Soviet Oligarchs (1991-2014) dataset includes information about the wealthiest individuals across the former 15 Soviet republics. In total it contains 218 cases of post-Soviet superrich, their socio-demographic characteristics, their assets, career paths, and other variables. It is used in an article to test the nomenklatura capitalism hypothesis.",2021-01-18T00:57:48Z,Post-Soviet Affairs,0.234755234861347
International Studies Quarterly Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/isq,isq,"We are in the process of switching our data archive from our old site to Dataverse. If you can't find replication materials or supplementary files here, please check our legacy archive. For the present, most of the materials that we possess from around 2010 to 2016 should be available there.",2007-09-21T04:00:00Z,International Studies Quarterly,0.0813008130081302
Party Facts Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/partyfacts,partyfacts,Party Facts links datasets on political parties and provides an online platform about parties and their history as recorded in social science datasets. partyfacts.org,2018-09-04T14:15:56Z,Party Politics,0.346560846560847
Review of Financial Studies Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/rfs,rfs,,2020-07-10T20:59:24Z,Review Of International Studies,0.274657411754186
Political Science,dataverse,https://dataverse.harvard.edu/dataverse/ditellaPolSci,ditellaPolSci,,2018-02-22T17:42:15Z,Political Science Quarterly,0.123456790123457
Mediterranean Coast GIS Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/MedCoastGIS,MedCoastGIS,"A portal for the study of Phoenician Trade & Mediterranean Ports. The Semitic Museum, founded in 1889, houses over 40,000 Near Eastern artifacts, most of which derive from museum-sponsored excavations in Egypt, Iraq, Israel, Jordan, Syria, and Tunisia. The Museum, which shares its building with Harvard’s Department of Near Eastern Languages and Civilizations and Center for Jewish Studies, is dedicated to the use of these collections for the investigation and teaching of Near Eastern archaeology, history, and culture.",2011-05-01T04:08:11Z,Mediterranean Politics,0.256981580510992
Measurements of Governance Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/governance,governance,"This Index of African Governance measures the degree to which five categories of political goods [are] provided within Africa's fifty-three (forty-eight in prior Indexes) countries. By comprehensively measuring the performance of government in this manner, that is, by measuring governance, the Index is able to offer a report card on the accomplishments of each government for the years being investigated-2000 and 2002 (for baseline indications) and 2005, 2006, and 2007 (the last years with reasonably complete available data for nearly all African nation-states). For those analysts who would like separately to explore the performance of countries on various aspects of governance, the Index includes scores in each of the five categories.",2009-05-19T18:55:56Z,Journal Of Chinese Governance,0.369180308835481
Order Memory Studies,dataverse,https://dataverse.harvard.edu/dataverse/order-memory-dataverse-chechile-lab,order-memory-dataverse-chechile-lab,"Dataverse folder containing all data, files, and software belonging to the Chechile Memory Lab's studies on order learning.",2021-02-04T17:07:13Z,Social Movement Studies,0.289958592132505
Journal of Information Technology & Politics Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/jitp,jitp,This is the Journal of Information Technology and Politics Dataverse for posting of replication datasets. Please refer to the standard for replication dataset citation guidance.,2009-02-12T05:00:00Z,Journal Of Information Technology & Politics,0.187880092918853
Center for International Development Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/cid,cid,The mission of the Center for International Development (CID) at Harvard University is to advance human well-being and social progress in the developing world by expanding the understanding of development challenges and offering viable solutions to problems of global poverty. CID’s three goals are: -To build an interdisciplinary network at Harvard to analyze and address the challenges of developing societies. -To improve the effectiveness of international development policies and institutions. -To educate and train the next generation of leaders in development science and practice.,2008-11-13T05:00:00Z,Journal Of International Relations And Development,0.264496670583627
Legislative Studies Quarterly,dataverse,https://dataverse.harvard.edu/dataverse/lsq,lsq,"The Legislative Studies Quarterly is an international journal devoted to the publication of research on representative assemblies. Its purpose is to disseminate scholarly work on parliaments and legislatures, their relations to other political institutions, their functions in the political system, and the activities of their members both within the institution and outside. The Quarterly invites contributions from scholars in all countries. Its pages are open to all research approaches consistent with the normal canons of scholarship, and to work on representative assemblies in all settings and all time periods. The aim of the Quarterly is to contribute to the formulation and verification of general theories about legislative systems, processes, and behavior. The editors encourage contributors to emphasize the cross-national implications of their findings, even if these findings are based on research within a single country. The Legislative Studies Quarterly is the official journal of the Legislative Studies Section of the American Political Science Association.",2018-04-08T19:24:03Z,Legislative Studies Quarterly,0
Three Global Conditions Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/3GC,3GC,"The Three Global Conditions framework was introduced to assist in developing the Convention on Biological Diversity’s (CBD) Post-2020 strategic plan. Defined by integrating nature-centric (what remains of wild nature) and human-centric (human land-use) assessments of drivers and pressures on biodiversity, the three conditions are farms and cities, shared lands, and large wild areas. The original publication: Locke, H., E. C. Ellis, O. Venter, R. Schuster, K. Ma, X. Shen, S. Woodley, N. Kingston, N. Bhola, B. B. N. Strassburg, A. Paulsch, B. Williams, and J. E. M. Watson. 2019. Three global conditions for biodiversity conservation and sustainable use: an implementation framework. National Science Review 6: DOI:10.1093/nsr/nwz1136 . More information is here: https://naturebeyond2020.com/3conditions/",2019-10-21T19:21:48Z,Globalizations,0.315295815295815
Global Food Policy Report,dataverse,https://dataverse.harvard.edu/dataverse/GFPR,GFPR,The GFPR Dataverse includes all the datasets that are included in the Global Food Policy Report.,2018-03-19T20:14:25Z,Global Policy,0.185641025641026
Politics and Government Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/PoliticsGovernment,PoliticsGovernment,,2015-05-12T21:06:47Z,Politics And Governance,0.245435723696593
Brazilian Political Science Review,dataverse,https://dataverse.harvard.edu/dataverse/bpsr,bpsr,"Published by the Brazilian Association of Political Science, BPSR was launched in 2007 with the mission of disseminating high quality scientific papers on topics of political science and international relations, thereby contributing to the exchange of ideas in the international political science community and the internationalization of scientific knowledge produced in Brazil. BPSRs Data Sharing policy https://brazilianpoliticalsciencereview.org/data-sharing-policy/ All BPSR content is freely accessible via the BPSR website (www.brazilianpoliticalsciencereview.org) and on the SciELO publication website (https://www.scielo.br/scielo.php?script=sci_serial&pid=1981-3821&lng=en&nrm=iso/). The BPSR has a data sharing policy whereby databases and metadata are made available on the journal’s website and the Harvard Dataverse. Authors whose articles are approved for publication must make their files available for replication. An important part of our data sharing policy concerns thorough checking of metadata and databases, with the aim of ensuring transparency and the replicability of the results presented in articles. All replication procedures are verified. Data and metadata assessments are sent to authors to request that any appropriate adjustments be made. The material is made available on the BPSR website and the Harvard Dataverse only after it has undergone this evaluation stage and after the article is published.",2018-10-29T14:46:02Z,International Political Science Review,0.187589467026199
Public Spending,dataverse,https://dataverse.harvard.edu/dataverse/public_spending,public_spending,"For more information about the project, see https://github.com/soodoku/public_spending The big thing that is always missing from the repos. is employee salaries, which are a big chunk of state budgets. For employee salary data, see: https://github.com/soodoku/public_salaries",2017-11-11T04:08:38Z,Public Choice,0.272934472934473
Japanese Journal of Political Science,dataverse,https://dataverse.harvard.edu/dataverse/JJPS,JJPS,"This is the Dataverse for replication materials for articles published in the Japanese Journal of Political Science (JJPS), a peer-reviewed journal that publishes original theoretical and empirically tested political science research. See the Instructions for Contributors for more details about submitting to JJPS, including details about the journal's data and replication policy. For help uploading your replication files, see the JJPS Dataverse Guide.",2018-09-17T16:22:05Z,Quarterly Journal Of Political Science,0.199905168326221
Human Rights Scores Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/HumanRightsScores,HumanRightsScores,"",2012-03-16T05:30:52Z,Human Rights Law Review,0.217419068243656
Economic Development and Cultural Change Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/EDCC,EDCC,"Economic Development and Cultural Change encourages authors of empirical papers to provide data and analysis sufficient for replication. Upon acceptance, authors should post the following on EDCC’s Dataverse: code and programs that can be used for replication, dataset(s) used to run the final models, and “readme” files detailing how data and programs are combined to generate the final analysis. Such files should include a description of how intermediate data files were used to create the final dataset. Authors who choose to post replication files for EDCC accepted papers are strongly encouraged to do so prior to submitting final files to the journal office for publication so that the link to the data can be included in the published paper. In that case, the following line (with unique identifier information) should be included at the end of the paper’s acknowledgment note: Data are provided through Dataverse at https://doi.org/XX.XXXX/XXX/XXXXXX",2018-08-22T17:58:55Z,Ocean Development And International Law,0.35633305762338
Review of Economics and Statistics Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/restat,restat,This page contains replication data and code for the articles published in the Review of Economics and Statistics. Please notice that most articles in volumes previous to volume 92 were not subject to the journal's data availability policy.,2010-06-29T16:49:20Z,Review Of World Economics,0.330750360750361
Washington Representatives Study  Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/wrstudy,wrstudy,"Washington Representatives Study (Organized Interests in Washington Politics) - 1981, 1991, 2001, 2006, 2011",2018-07-26T15:53:42Z,Washington Quarterly,0.300569995440037
Weatherhead Center for International Affairs Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/wcfia,wcfia,,2010-10-07T17:09:48Z,Australian Journal Of International Affairs,0.358664160989742
Stanford Political Dictionary Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/spd,spd,This dataverse hosts data and metadata related to the Stanford Political Dictionary.,2016-09-27T00:23:13Z,Stanford Journal Of International Law,0.287133287133287
Journal of Contemporary Administration (RAC) Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/rac,rac,,2019-09-02T20:06:43Z,Journal Of Contemporary European Studies,0.2960058097313
Latin American Politics and Society Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/LAPS,LAPS,"Edited By: Alfred P. Montero (Senior Editor), and Juan Pablo Luna (Associate Editor) Impact Factor (2016): 1.046 (2-year); 1.106 (5-year) ISI Journal Citation Reports © Ranking: 2016: 9/69 (Area Studies); 37/86 (International Relations); 84/165 (Political Science) Online ISSN: 1548-2456",2016-01-28T20:47:09Z,Latin American Politics And Society,0.091005291005291
Revista Brasileira de Política Internacional,dataverse,https://dataverse.harvard.edu/dataverse/rbpi,rbpi,Datasets for articles published b y the Revista Brasileira de Política Internacional - RBPI.,2020-06-17T14:52:49Z,Revista Brasileira De Politica Internacional,0.0858585858585859
Journal of Human Rights (JHR)  Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/jhr,jhr,"The Journal of Human Rights serves as an arena for the public discussion and scholarly analysis of human rights, broadly conceived.",2014-10-16T19:19:54Z,Journal Of Human Rights,0.164492753623188
VA CWM History Dataverse,dataverse,https://dataverse.harvard.edu/dataverse/VACWMHistory,VACWMHistory,VA Central Western Massachusetts Health Care System Dept. of Veterans Affairs Dept of Veterans Affairs Department of Veterans Affairs VA CWM History Centennial Leeds Northampton Massachusetts Veterans Hospital,2018-10-18T13:23:08Z,War In History,0.403499278499279
Uluslararası İlişkiler-International Relations,dataverse,https://dataverse.harvard.edu/dataverse/uidergisi,uidergisi,"Uluslararasi Iliskiler (UI), founded in 2004 and currently run by the International Relations Council of Turkey (IRCT), is an independent, international quarterly journal of international relations. The journal seeks to publish articles that make theoretically and empirically original contributions to the literature on national, regional, or global politics. The journal is particularly interested in articles that combine conceptual and theoretical perspectives with empirical analyses that rely upon qualitative, quantitative, or mixed method approaches. Indexed in top research databases, despite not publishing exclusively in English, the journal prides itself in its double-blind peer-review process. For more information on the journal’s submission process, please visit the journal's website. For authors who are submitting replication files, please see the Guide to Dataverse shared by the Editor. Once an article is accepted for publication by the Editorial Board of Uluslararası İlişkiler, authors are expected to upload replication material to the Dataverse repository, accessible here: https://dataverse.harvard.edu/dataverse/uidergisi Authors using quantitative data are required to deposit the following material on to Uluslararası İlişkiler’s Dataverse: the data, the code book or another appropriate description of the data set, a file containing the exact commands used by the author to generate the output, and the actual output from the statistical software. All online appendices (quantitative or not) are to be deposited on to Uluslararası İlişkiler’s Dataverse. An article will not be forwarded to proof stage until this is completed. While not required, authors that rely upon non-quantitative approaches can submit data onto Uluslararası İlişkiler’s Dataverse that cannot be included within the article. All material published in the Dataverse are the responsibility of the authors alone (Dataverse'te yayınlanan verilerin sorumluluğu makalenin yazarlarına aittir).",2019-10-10T11:42:42Z,Uluslararasi Iliskiler-International Relations,0.152005392652511
Global TIES for Children,dataverse,https://dataverse.harvard.edu/dataverse/global-ties-for-children,global-ties-for-children,,2020-03-31T15:15:38Z,Global Society,0.251984126984127
"Yang, Journal Dataverse",dataverse,https://dataverse.harvard.edu/dataverse/yyang-data,yyang-data,,2016-05-04T16:37:47Z,Ipri Journal,0.474335748792271
Revista DADOS,dataverse,https://dataverse.harvard.edu/dataverse/revistadados,revistadados,Datasets of articles published by Revista DADOS.,2020-11-24T00:06:11Z,Revista Unisci,0.271062271062271
IRRI Market Analysis,dataverse,https://dataverse.harvard.edu/dataverse/irri-market-analysis,irri-market-analysis,,2019-11-13T05:39:00Z,Strategic Analysis,0.260541310541311
