journal_name,issn,e_issn,category,total_citations,x2020_jif,jif_quartile,x2020_jci,percent_of_oa_gold
Asian Perspective,0258-9184,0258-9184,INTERNATIONAL RELATIONS - SSCI,324,0.8,Q4,0.36,0.00%
Cornell International Law Journal,0010-8812,1930-7977,INTERNATIONAL RELATIONS - SSCI,373,0.72,Q4,0.54,0.00%
Journal Of Human Rights,1475-4835,1475-4843,INTERNATIONAL RELATIONS - SSCI,535,0.694,Q4,0.47,4.24%
International Journal Of Conflict And Violence,1864-1385,1864-1385,INTERNATIONAL RELATIONS - SSCI,390,0.643,Q4,0.55,100.00%
Asian Journal Of Wto & International Health Law And Policy,1819-5164,N/A,INTERNATIONAL RELATIONS - SSCI,86,0.611,Q4,0.42,0.00%
War In History,0968-3445,1477-0385,INTERNATIONAL RELATIONS - SSCI,209,0.558,Q4,0.86,11.46%
Pacific Focus,1225-4657,1976-5118,INTERNATIONAL RELATIONS - SSCI,163,0.553,Q4,0.49,0.00%
Columbia Journal Of Transnational Law,0010-1931,2159-1814,INTERNATIONAL RELATIONS - SSCI,331,0.515,Q4,0.35,0.00%
Journal Of Cold War Studies,1520-3972,1531-3298,INTERNATIONAL RELATIONS - SSCI,345,0.48,Q4,0.43,0.00%
Middle East Policy,1061-1924,1475-4967,INTERNATIONAL RELATIONS - SSCI,462,0.475,Q4,0.53,0.85%
Korean Journal Of Defense Analysis,1016-3271,1941-4641,INTERNATIONAL RELATIONS - SSCI,104,0.413,Q4,0.12,0.00%
Current History,0011-3530,1944-785X,INTERNATIONAL RELATIONS - SSCI,357,0.386,Q4,0.17,0.00%
Uluslararasi Iliskiler-International Relations,1304-7310,N/A,INTERNATIONAL RELATIONS - SSCI,132,0.338,Q4,0.15,0.00%
Korea Observer,0023-3919,0023-3919,INTERNATIONAL RELATIONS - SSCI,150,0.286,Q4,0.27,0.00%
Diplomacy & Statecraft,0959-2296,1557-301X,INTERNATIONAL RELATIONS - SSCI,236,0.264,Q4,0.57,8.49%
Internasjonal Politikk,0020-577X,1891-1757,INTERNATIONAL RELATIONS - SSCI,54,0.264,Q4,0.15,100.00%
Asia-Pacific Review,1343-9006,1469-2937,INTERNATIONAL RELATIONS - ESCI,96,n/a,n/a,0.25,0.00%
Foro Internacional,0185-013X,2448-6523,INTERNATIONAL RELATIONS - ESCI,130,n/a,n/a,0.09,100.00%
Global Society,1360-0826,1469-798X,INTERNATIONAL RELATIONS - ESCI,501,n/a,n/a,0.72,3.67%
Ipri Journal,1684-9787,1684-9809,INTERNATIONAL RELATIONS - ESCI,30,n/a,n/a,0.17,0.00%
Revista Unisci,N/A,2386-9453,INTERNATIONAL RELATIONS - ESCI,57,n/a,n/a,0.07,100.00%
Strategic Analysis,0970-0161,1754-0054,INTERNATIONAL RELATIONS - ESCI,265,n/a,n/a,0.31,0.00%
