search_title,title_match,diff,url,orig_title,doi
Interstate War Battle dataset (1823–2003),Interstate War Battle dataset (1823–2003),0,https://www.prio.org/utility/DownloadFile.ashx?id=222&amp;type=replicationfile,Interstate War Battle dataset (1823–2003),10.1177/0022343320913305
Mapping coercive institutions,Mapping coercive institutions,0,https://www.prio.org/utility/DownloadFile.ashx?id=177&amp;type=replicationfile,"Mapping coercive institutions: The State Security Forces dataset, 1960–2010",10.1177/0022343320913089
Food price increase and urban unrest,Food price increase and urban unrest,0,https://www.prio.org/JPR/Datasets/,Food price increase and urban unrest: The role of societal organizations,10.1177/0022343319899705
"The Peaceful Resolution of Territorial Disputes dataset, 1945–2015","The Peaceful Resolution of Territorial Disputes dataset, 1945–2015",0,https://www.prio.org/utility/DownloadFile.ashx?id=169&amp;type=replicationfile,"The Peaceful Resolution of Territorial Disputes dataset, 1945–2015",10.1177/0022343319895560
Talks before the talks,Talks before the talks,0,https://www.prio.org/utility/DownloadFile.ashx?id=220&amp;type=replicationfile,"Talks before the talks: Effects of pre-negotiation on reaching peace agreements in intrastate armed conflicts, 2005–15",10.1177/0022343320961152
A security dividend,A security dividend,0,https://www.prio.org/utility/DownloadFile.ashx?id=221&amp;type=replicationfile,A security dividend: Peacekeeping and maternal health outcomes and access,10.1177/0022343320917198
Climate and cohesion,Climate and cohesion,0,https://www.prio.org/utility/DownloadFile.ashx?id=212&amp;type=replicationfile,Climate and cohesion: The effects of droughts on intra-ethnic and inter-ethnic trust,10.1177/0022343320974096
"Weather, wheat, and war","Weather, wheat, and war",0,https://www.prio.org/utility/DownloadFile.ashx?id=217&amp;type=replicationfile,"Weather, wheat, and war: Security implications of climate variability for conflict in Syria",10.1177/0022343320973070
Climate bones of contention,Climate bones of contention,0,https://www.prio.org/utility/DownloadFile.ashx?id=218&amp;type=replicationfile,"Climate bones of contention: How climate variability influences territorial, maritime, and river interstate conflicts",10.1177/0022343320973738
"Natural hazards, internal migration and protests in Bangladesh","Natural hazards, internal migration and protests in Bangladesh",0,https://www.prio.org/utility/DownloadFile.ashx?id=215&amp;type=replicationfile,"Natural hazards, internal migration and protests in Bangladesh",10.1177/0022343320973741
Food and water insecurity as causes of social unrest,Food and water insecurity as causes of social unrest,0,https://www.prio.org/utility/DownloadFile.ashx?id=210&amp;type=replicationfile,Food and water insecurity as causes of social unrest: Evidence from geolocated Twitter data,10.1177/0022343320975091
"Climate variability, crop and conflict","Climate variability, crop and conflict",0,https://www.prio.org/utility/DownloadFile.ashx?id=214&amp;type=replicationfile,"Climate variability, crop and conflict: Exploring the impacts of spatial concentration in agricultural production",10.1177/0022343320971020
"First comes the river, then comes the conflict","First comes the river, then comes the conflict",0,https://www.prio.org/utility/DownloadFile.ashx?id=211&amp;type=replicationfile,"First comes the river, then comes the conflict? A qualitative comparative analysis of flood-related political unrest",10.1177/0022343320966783
Human security of urban migrant populations affected by length of residence and environmenta,Human security of urban migrant populations affected by length of residence and environmental hazards,0.0297029702970297,https://www.prio.org/utility/DownloadFile.ashx?id=216&amp;type=replicationfile,Human security of urban migrant populations affected by length of residence and environmental hazards,10.1177/0022343320973717
Using practitioner surveys to measure human rights,Using practitioner surveys to measure human rights,0,https://www.prio.org/utility/DownloadFile.ashx?id=188&amp;type=replicationfile,Using practitioner surveys to measure human rights: The Human Rights Measurement Initiative’s civil and political rights metrics,10.1177/0022343320959688
Estimating one-sided-killings from a robust measurement model of human rights,Estimating one-sided-killings from a robust measurement model of human rights,0,https://www.prio.org/utility/DownloadFile.ashx?id=192&amp;type=replicationfile,Estimating one-sided-killings from a robust measurement model of human rights,10.1177/0022343320965670
What states want,What states want,0,https://www.prio.org/utility/DownloadFile.ashx?id=201&amp;type=replicationfile,What states want: Estimating ideal points from international investment treaty content,10.1177/0022343320959130
A latent variable approach to measuring wartime sexual violence,A latent variable approach to measuring wartime sexual violence,0,https://www.prio.org/utility/DownloadFile.ashx?id=191&amp;type=replicationfile,A latent variable approach to measuring wartime sexual violence,10.1177/0022343320961147
How and how much does expert error matter,How and how much does expert error matter,0,https://files.prio.org/journals/JPR/2020/57/6/Kyle%20Marquardt.zip,How and how much does expert error matter? Implications for quantitative peace research,10.1177/0022343320959121
Is the NPT unraveling,Is the NPT unraveling,0,https://www.prio.org/utility/DownloadFile.ashx?id=199&amp;type=replicationfile,Is the NPT unraveling? Evidence from text analysis of review conference statements,10.1177/0022343320960523
Continuous recognition,Continuous recognition,0,https://www.prio.org/utility/DownloadFile.ashx?id=277&amp;type=replicationfile,Continuous recognition: A latent variable approach to measuring international sovereignty of self-determination movements,10.1177/0022343320960208
Measuring institutional variation across American Indian constitutions using automated content analysis,Measuring institutional variation across American Indian constitutions using automated content analysis,0,https://www.prio.org/utility/DownloadFile.ashx?id=190&amp;type=replicationfile,Measuring institutional variation across American Indian constitutions using automated content analysis,10.1177/0022343320959122
Terrorism and internet censorship,Terrorism and internet censorship,0,https://www.prio.org/utility/DownloadFile.ashx?id=189&amp;type=replicationfile,Terrorism and internet censorship,10.1177/0022343320959369
Territorial control in civil wars,Territorial control in civil wars,0,https://github.com/thereseanders/territorialcontrol-jpr,Territorial control in civil wars: Theory and measurement using machine learning,10.1177/0022343320959687
Hot under the collar,Hot under the collar,0,https://www.prio.org/utility/DownloadFile.ashx?id=200&amp;type=replicationfile,Hot under the collar: A latent measure of interstate hostility,10.1177/0022343320962546
International support networks and the calculus of uprising,International support networks and the calculus of uprising,0,https://www.prio.org/utility/DownloadFile.ashx?id=184&amp;type=replicationfile,International support networks and the calculus of uprising,10.1177/0022343319885181
Overlapping international human rights institutions,Overlapping international human rights institutions,0,https://www.prio.org/utility/DownloadFile.ashx?id=185&amp;type=replicationfile,Overlapping international human rights institutions: Introducing the Women’s Rights Recommendations Digital Database (WR2D2),10.1177/0022343319897954
Peace for our time,Peace for our time,0,https://www.prio.org/utility/DownloadFile.ashx?id=183&amp;type=replicationfile,Peace for our time? Examining the effect of power-sharing on postwar rebellions,10.1177/0022343319883676
Action or inaction,Action or inaction,0,https://www.prio.org/utility/DownloadFile.ashx?id=186&amp;type=replicationfile,"Action or inaction: United Nations Security Council activity, 1994–2013",10.1177/0022343319900222
Defending core values,Defending core values,0,https://www.prio.org/utility/DownloadFile.ashx?id=174&amp;type=replicationfile,Defending core values: Human rights and the extradition of fugitives,10.1177/0022343319898231
Trust in the aftermath of genocide,Trust in the aftermath of genocide,0,https://www.prio.org/utility/DownloadFile.ashx?id=172&amp;type=replicationfile,Trust in the aftermath of genocide: Insights from Rwandan life histories,10.1177/0022343319899136
Transnational terrorism and restrictive immigration policies,Transnational terrorism and restrictive immigration policies,0,https://www.prio.org/utility/DownloadFile.ashx?id=175&amp;type=replicationfile,Transnational terrorism and restrictive immigration policies,10.1177/0022343319897105
Wartime ties and the social logic of crime,Wartime ties and the social logic of crime,0,https://www.prio.org/utility/DownloadFile.ashx?id=173&amp;type=replicationfile,Wartime ties and the social logic of crime,10.1177/0022343319897098
"Organized violence, 1989–2019","Organized violence, 1989–2019",0,https://ucdp.uu.se/downloads/replication_data.html,"Organized violence, 1989–2019",10.1177/0022343320934986
"To condone, condemn, or ‘no comment’","To condone, condemn, or ‘no comment’",0,https://www.prio.org/utility/DownloadFile.ashx?id=165&amp;type=replicationfile,"To condone, condemn, or ‘no comment’? Explaining a patron’s reaction to a client’s unilateral provocations",10.1177/0022343319875202
Tracking organizations in the world,Tracking organizations in the world,0,https://www.prio.org/utility/DownloadFile.ashx?id=168&amp;type=replicationfile,Tracking organizations in the world: The Correlates of War IGO Version 3.0 datasets,10.1177/0022343319881175
Negotiating justice,Negotiating justice,0,https://www.prio.org/utility/DownloadFile.ashx?id=166&amp;type=replicationfile,"Negotiating justice: Ceasefires, peace agreements, and post-conflict justice",10.1177/0022343319879485
Introducing the Stretegies of Resistance project,Introducing the Strategies of Resistance Data Project,0.0868995533679702,https://www.prio.org/utility/DownloadFile.ashx?id=128&amp;type=replicationfile,Introducing the Strategies of Resistance Data Project,10.1177/0022343319880246
The conditional effect of audiences on credibility,The conditional effect of audiences on credibility,0,https://www.prio.org/utility/DownloadFile.ashx?id=163&amp;type=replicationfile,The conditional effect of audiences on credibility,10.1177/0022343319871983
The logic of transnational outbidding,The logic of transnational outbidding,0,https://www.prio.org/utility/DownloadFile.ashx?id=164&amp;type=replicationfile,The logic of transnational outbidding: Pledging allegiance and the escalation of violence,10.1177/0022343319880939
Territorial disputes and individual willingness to fight,Territorial disputes and individual willingness to fight,0,https://www.prio.org/utility/DownloadFile.ashx?id=162&amp;type=replicationfile,Territorial disputes and individual willingness to fight,10.1177/0022343319880952
Rainfall shocks and intimate partner violence in sub-Saharan Africa,Rainfall shocks and intimate partner violence in sub-Saharan Africa,0,https://www.prio.org/utility/DownloadFile.ashx?id=160&amp;type=replicationfile,Rainfall shocks and intimate partner violence in sub-Saharan Africa,10.1177/0022343319880252
Mobilizing civilians into high-risk forms of violent collective action,Mobilizing civilians into high-risk forms of violent collective action,0,https://www.prio.org/utility/DownloadFile.ashx?id=161&amp;type=replicationfile,Mobilizing civilians into high-risk forms of violent collective action,10.1177/0022343319856043
"Temperatures, food riots, and adaptation","Temperatures, food riots, and adaptation",0,https://www.prio.org/utility/DownloadFile.ashx?id=146&amp;type=replicationfile,"Temperatures, food riots, and adaptation: A long-term historical analysis of England",10.1177/0022343319863474
Negotiating peacekeeping consent,Negotiating peacekeeping consent,0,https://www.prio.org/utility/DownloadFile.ashx?id=148&amp;type=replicationfile,Negotiating peacekeeping consent: Information and peace outcomes,10.1177/0022343319861424
Buying blue helmets,Buying blue helmets,0,https://www.prio.org/utility/DownloadFile.ashx?id=149&amp;type=replicationfile,Buying blue helmets: The role of foreign aid in the construction of UN peacekeeping missions,10.1177/0022343319865929
Statistical sightings of better angels,Statistical sightings of better angels,0,https://www.prio.org/utility/DownloadFile.ashx?id=153&amp;type=replicationfile,Statistical sightings of better angels: Analysing the distribution of battle-deaths in interstate conflict over time,10.1177/0022343319896843
Mapping blue helmets,Mapping blue helmets,0,https://www.prio.org/utility/DownloadFile.ashx?id=152&amp;type=replicationfile,Mapping blue helmets: Introducing the Geocoded Peacekeeping Operations (Geo-PKO) dataset,10.1177/0022343319871978
The hunger games,The hunger games,0,https://www.prio.org/utility/DownloadFile.ashx?id=147&amp;type=replicationfile,"The hunger games: Food prices, ethnic cleavages and nonviolent unrest in Africa",10.1177/0022343319866487
Police integration and support for anti-government violence in divided societies,Police integration and support for anti-government violence in divided societies,0,https://www.prio.org/utility/DownloadFile.ashx?id=150&amp;type=replicationfile,Police integration and support for anti-government violence in divided societies: Evidence from Iraq,10.1177/0022343319866901
Crimea come what may,Crimea come what may,0,https://www.prio.org/utility/DownloadFile.ashx?id=151&amp;type=replicationfile,Crimea come what may: Do economic sanctions backfire politically?,10.1177/0022343319866879
The quality of terrorist violence,The quality of terrorist violence,0,https://www.prio.org/utility/DownloadFile.ashx?id=144&amp;type=replicationfile,The quality of terrorist violence: Explaining the logic of terrorist target choice,10.1177/0022343319829799
Does cultural proximity contain terrorism diffusion,Does cultural proximity contain terrorism diffusion,0,https://www.prio.org/utility/DownloadFile.ashx?id=145&amp;type=replicationfile,Does cultural proximity contain terrorism diffusion?,10.1177/0022343319864425
Carrots and sticks,Carrots and sticks,0,https://www.prio.org/utility/DownloadFile.ashx?id=134&amp;type=replicationfile,Carrots and sticks: Experimental evidence of vote-buying and voter intimidation in Guatemala,10.1177/0022343319884998
Mitigating election violence locally,Mitigating election violence locally,0,https://www.prio.org/utility/DownloadFile.ashx?id=135&amp;type=replicationfile,Mitigating election violence locally: UN peacekeepers’ election-education campaigns in Côte d’Ivoire,10.1177/0022343319884993
Political party strength and electoral violence,Political party strength and electoral violence,0,https://www.prio.org/utility/DownloadFile.ashx?id=139&amp;type=replicationfile,Political party strength and electoral violence,10.1177/0022343319885177
Dangerously informed,Dangerously informed,0,https://www.prio.org/utility/DownloadFile.ashx?id=133&amp;type=replicationfile,Dangerously informed: Voter information and pre-electoral violence in Africa,10.1177/0022343319885166
Restrained or constrained,Restrained or constrained,0,https://www.prio.org/utility/DownloadFile.ashx?id=140&amp;type=replicationfile,"Restrained or constrained? Elections, communal conflicts, and variation in sexual violence",10.1177/0022343319891763
Electoral violence and the legacy of authoritarian rule in Kenya and Zambia,Electoral violence and the legacy of authoritarian rule in Kenya and Zambia,0,https://www.prio.org/utility/DownloadFile.ashx?id=137&amp;type=replicationfile,Electoral violence and the legacy of authoritarian rule in Kenya and Zambia,10.1177/0022343319884983
Raising the stakes,Raising the stakes,0,https://www.prio.org/utility/DownloadFile.ashx?id=141&amp;type=replicationfile,Raising the stakes: Land titling and electoral stability in Kenya,10.1177/0022343319890383
Who dissents,Who dissents,0,https://www.prio.org/utility/DownloadFile.ashx?id=138&amp;type=replicationfile,Who dissents? Self-efficacy and opposition action after state-sponsored election violence,10.1177/0022343319886000
Pre-election violence and territorial control,Pre-election violence and territorial control,0,https://www.prio.org/utility/DownloadFile.ashx?id=136&amp;type=replicationfile,Pre-election violence and territorial control: Political dominance and subnational election violence in polarized African electoral systems,10.1177/0022343319884990
Does electoral violence affect vote choice and willingness to vote,Does electoral violence affect vote choice and willingness to vote,0,https://www.prio.org/utility/DownloadFile.ashx?id=132&amp;type=replicationfile,Does electoral violence affect vote choice and willingness to vote? Conjoint analysis of a vignette experiment,10.1177/0022343319892677
The effect of alternation in power on electoral intimidation in democratizing regimes,The effect of alternation in power on electoral intimidation in democratizing regimes,0,https://www.prio.org/utility/DownloadFile.ashx?id=129&amp;type=replicationfile,The effect of alternation in power on electoral intimidation in democratizing regimes,10.1177/0022343319885171
"Unequal votes, unequal violence","Unequal votes, unequal violence",0,https://www.prio.org/utility/DownloadFile.ashx?id=130&amp;type=replicationfile,"Unequal votes, unequal violence: Malapportionment and election violence in India",10.1177/0022343319884985
Patterned pogroms,Patterned pogroms,0,https://www.prio.org/utility/DownloadFile.ashx?id=131&amp;type=replicationfile,Patterned pogroms: Patronage networks as infrastructure for electoral violence in India and Indonesia,10.1177/0022343319889678
Time is of the essence,Time is of the essence,0,https://www.prio.org/utility/DownloadFile.ashx?id=116&amp;type=replicationfile,Time is of the essence: The causal effect of duration on support for war,10.1177/0022343319834984
Framing and fighting,Framing and fighting,0,https://www.prio.org/utility/DownloadFile.ashx?id=113&amp;type=replicationfile,Framing and fighting: The impact of conflict frames on political attitudes,10.1177/0022343319826324
Will there be blood,Will there be blood,0,https://www.prio.org/utility/DownloadFile.ashx?id=117&amp;type=replicationfile,Will there be blood? Explaining violence during coups d’état,10.1177/0022343319839449
Peace agreement design and public support for peace,Peace agreement design and public support for peace,0,https://www.prio.org/utility/DownloadFile.ashx?id=119&amp;type=replicationfile,Peace agreement design and public support for peace: Evidence from Colombia,10.1177/0022343319853603
International politics by other means,International politics by other means,0,https://www.prio.org/utility/DownloadFile.ashx?id=118&amp;type=replicationfile,International politics by other means: External sources of civil war,10.1177/0022343319841661
Long-lasting consequences of war on disability,Long-lasting consequences of war on disability,0,https://www.prio.org/utility/DownloadFile.ashx?id=121&amp;type=replicationfile,Long-lasting consequences of war on disability,10.1177/0022343319846545
Moving forward,Moving forward,0,https://www.prio.org/utility/DownloadFile.ashx?id=120&amp;type=replicationfile,"Moving forward? How war experiences, interethnic attitudes, and intergroup forgiveness affect the prospects for political tolerance in postwar Sri Lanka",10.1177/0022343319849274
Who follows whom,Who follows whom,0,https://www.prio.org/utility/DownloadFile.ashx?id=114&amp;type=replicationfile,"Who follows whom? A coincidence analysis of military action, public opinion and threats",10.1177/0022343319854787
Risk tolerance during conflict,Risk tolerance during conflict,0,https://www.prio.org/utility/DownloadFile.ashx?id=115&amp;type=replicationfile,"Risk tolerance during conflict: Evidence from Aleppo, Syria",10.1177/0022343318824632
Reconceptualizing resistance organizations and outcomes,Reconceptualizing resistance organizations and outcomes,0,https://www.prio.org/utility/DownloadFile.ashx?id=198&amp;type=replicationfile,Reconceptualizing resistance organizations and outcomes: Introducing the Revolutionary and Militant Organizations dataset (REVMOD),10.1177/0022343319835888
Accidental rivals,Accidental rivals,0,https://www.prio.org/utility/DownloadFile.ashx?id=107&amp;type=replicationfile,"Accidental rivals? EU fiscal rules, NATO, and transatlantic burden-sharing",10.1177/0022343319829690
Conflict negotiations and rebel leader selection,Conflict negotiations and rebel leader selection,0,https://www.prio.org/utility/DownloadFile.ashx?id=103&amp;type=replicationfile,Conflict negotiations and rebel leader selection,10.1177/0022343319829689
Intimidating voters with violence and mobilizing them with clientelism,Intimidating voters with violence and mobilizing them with clientelism,0,https://www.prio.org/utility/DownloadFile.ashx?id=106&amp;type=replicationfile,Intimidating voters with violence and mobilizing them with clientelism,10.1177/0022343318822709
Conquering and coercing,Conquering and coercing,0,https://www.prio.org/utility/DownloadFile.ashx?id=104&amp;type=replicationfile,Conquering and coercing: Nonviolent anti-regime protests and the pathways to democracy,10.1177/0022343319830267
Do they know something we don’t,Do they know something we don’t,0,https://www.prio.org/utility/DownloadFile.ashx?id=105&amp;type=replicationfile,Do they know something we don’t? Diffusion of repression in authoritarian regimes,10.1177/0022343318822718
Electoral contention and violence (ECAV),Electoral contention and violence (ECAV),0,https://www.prio.org/utility/DownloadFile.ashx?id=108&amp;type=replicationfile,Electoral contention and violence (ECAV): A new dataset,10.1177/0022343318823870
How do civilians attribute blame for state indiscriminate violence,How do civilians attribute blame for state indiscriminate violence,0,https://www.prio.org/utility/DownloadFile.ashx?id=99&amp;type=replicationfile,How do civilians attribute blame for state indiscriminate violence?,10.1177/0022343319829798
"Backing up, not backing down","Backing up, not backing down",0,https://www.prio.org/utility/DownloadFile.ashx?id=100&amp;type=replicationfile,"Backing up, not backing down: Mitigating audience costs through policy substitution",10.1177/0022343319832641
"‘If a fight starts, watch the crowd’","‘If a fight starts, watch the crowd’",0,https://www.prio.org/utility/DownloadFile.ashx?id=95&amp;type=replicationfile,"‘If a fight starts, watch the crowd’: The effect of violence on popular support for social movements",10.1177/0022343318820575
Natural resource wars in the shadow of the future,Natural resource wars in the shadow of the future,0,https://www.prio.org/utility/DownloadFile.ashx?id=96&amp;type=replicationfile,Natural resource wars in the shadow of the future: Explaining spatial dynamics of violence during civil war,10.1177/0022343318821174
How do external territorial threats affect mass killing,How do external territorial threats affect mass killing,0,https://www.prio.org/utility/DownloadFile.ashx?id=98&amp;type=replicationfile,How do external territorial threats affect mass killing?,10.1177/0022343318821707
On climate and conflict,On climate and conflict,0,https://www.prio.org/utility/DownloadFile.ashx?id=97&amp;type=replicationfile,On climate and conflict: Precipitation decline and communal conflict in Ethiopia and Kenya,10.1177/0022343319826409
"Organized violence, 1989–2018 and peace agreements","Organized violence, 1989–2018 and peace agreements",0,https://ucdp.uu.se/?id=1&amp;id=1,"Organized violence, 1989–2018 and peace agreements",10.1177/0022343319856046
What is the mechanism underlying audience costs,What is the mechanism underlying audience costs,0,https://www.prio.org/utility/DownloadFile.ashx?id=101&amp;type=replicationfile,"What is the mechanism underlying audience costs? Incompetence, belligerence, and inconsistency",10.1177/0022343319839456
Introducing xSub,Introducing xSub,0,https://www.prio.org/utility/DownloadFile.ashx?id=94&amp;type=replicationfile,Introducing xSub: A new portal for cross-national data on subnational violence,10.1177/0022343319836697
Introducing the Historical Varieties of Democracy dataset,Introducing the Historical Varieties of Democracy dataset,0,http://ucdp.uu.se/downloads/views/run_10_2018.zip,Introducing the Historical Varieties of Democracy dataset: Political institutions in the long 19th century,10.1177/0022343318823866
Introducing PA-X,Introducing PA-X,0,https://www.prio.org/utility/DownloadFile.ashx?id=91&amp;type=replicationfile,Introducing PA-X: A new peace agreement database and dataset,10.1177/0022343318819123
Fratricide in rebel movements,Fratricide in rebel movements,0,https://www.prio.org/utility/DownloadFile.ashx?id=83&amp;type=replicationfile,Fratricide in rebel movements: A network analysis of Syrian militant infighting,10.1177/0022343318806940
Reputation and the occurrence and success of mediation in civil wars,Reputation and the occurrence and success of mediation in civil wars,0,https://www.prio.org/utility/DownloadFile.ashx?id=89&amp;type=replicationfile,Reputation and the occurrence and success of mediation in civil wars,10.1177/0022343318811430
"Meta-analysis, military expenditures and growth","Meta-analysis, military expenditures and growth",0,https://www.prio.org/utility/DownloadFile.ashx?id=85&amp;type=replicationfile,"Meta-analysis, military expenditures and growth",10.1177/0022343318808841
Negative surprise in UN Security Council authorization,Negative surprise in UN Security Council authorization,0,https://www.prio.org/utility/DownloadFile.ashx?id=88&amp;type=replicationfile,Negative surprise in UN Security Council authorization: Do the UK and French vetoes influence the general public’s support of US military action?,10.1177/0022343318809786
International reputation and alliance portfolios,International reputation and alliance portfolios,0,https://www.prio.org/utility/DownloadFile.ashx?id=87&amp;type=replicationfile,International reputation and alliance portfolios: How unreliability affects the structure and composition of alliance treaties,10.1177/0022343318808844
