file_in,title,journal,context,count_prereg,relevant,validate,validate_link,validate_comments
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,"xchange program issue. given these variables, we test three preregistered hypotheses using ordinary least squares (ols) regressions. below, we introduce two main hypotheses. the third hypothesis and the results of testing it are presented in the supplementary materials. the first hypothesis is based on a simple additive model: hypothesis 1 in an additive model, y = b0 + b1 ⋅ source cue + b2 ⋅ policy content +b3 ⋅ issue salience + 𝜖, the estimated coefficients fo",3,,,,
10.1007_s11109-018-9511-3,Has trump damaged the u.s. {Image} abroad? {Decomposing} the effects of policy messages on foreign public opinion,Political Behavior,"e sali- ence was not our main research interest, we did not preregister a hypothesis on this additional interaction. but the results of running a model with an interaction of policy content and issue salience show that the interaction is in fact insignificant. this result is contrary to the finding in ciuk and yost (2016). one might expect that uncooperative policy on a charged issue like security would motivate people to con- sider policy implications more clos",3,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior," (e.g., zaller 1992; lenz 2012). specifically, study 1 is a preregistered survey experiment that evaluates the effects of a journalistic fact-check of misleading claims about crime made by donald trump at the gop convention. to increase the realism of the study’s evaluation of the effects of journalistic fact-checking in a campaign, study 1 also includes experi- mental conditions in which a political elite attempts to denigrate and undermine the fact-check in qu",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior," 42:939–960 to adjudicate among these claims, we test three preregistered hypotheses based on the empirical literature and theoretical considerations discussed above.2 in each case, we determine whether information is pro- or counter-attitudinal by whether respondents indicate supporting trump or hillary clinton on a pre-treatment vote choice measure. first, we propose to test whether fact-checking is ineffective at increasing the accuracy of factual beliefs amo",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior,"ionally motivated manner (h3; see gaines et al. 2007) 2 our preregistration for study 1 documents our hypotheses and analysis plan (http://www.***egap***.org/regis​ trati​on/2194). unless otherwise noted, all study 1 analyses are consistent with this document. study 2 was conducted too rapidly to be preregistered (it was fielded immediately after the debate) but our analy- sis follows study 1 to the greatest extent possible. 3 as discussed above, previous findings are",9,TRUE,Yes,https://osf.io/fqh39,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior,"with this document. study 2 was conducted too rapidly to be preregistered (it was fielded immediately after the debate) but our analy- sis follows study 1 to the greatest extent possible. 3 as discussed above, previous findings are mixed on both hypotheses. for h1, see nyhan and reifler (2010) (backfire on two of five studies) versus wood and porter (2018) (no cases of backfire). for h2, compare wood and porter (2018), which finds a consistent pattern of ideolog",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior,"king of trump’s convention speech. 4 findings for two other preregistered research questions are described below and in the online appendix. 945 1 3 political behavior (2020) 42:939–960 our fact-check for the same issue in study 1 is very similar: according to fbi’s bureau of justice statistics, the violent crime rate has fallen dramatically and consistently over time. according to their estimates, the homicide rate in the u.s. in 2015 was half that recorded in ",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior,"ge of respondents did not support trump or clinton; per our preregistration, we exclude them from subsequent analyses.12 to evaluate motivated resistance, we test whether the marginal effect of exposure to the fact-check conditions on misperceptions about crime is null or positive for trump supporters and whether the difference in effects is significant compared to clinton supporters. to evaluate differential acceptance, we test whether the marginal effect of ex",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior,"rs (the latter are thus the excluded category for 8 per our preregistration, respondents who indicated crime was up due to inequality or unemployment were coded as -1 (liberal), those who said crime was up due to moral decline or down due to tougher policing were coded as 1 (conservative), and other responses were coded as 0. 9 demographic and balance data for both samples are provided in online appendix c. 10 all analyses in this section are consistent with our",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior," c. 10 all analyses in this section are consistent with our preregistration unless otherwise indicated. ols models are replicated using ordered probit where applicable in online appendix c. 11 mean scores on two attention checks were 1.62 and 1.92 for controls and 1.59 and 1.87 for the treat- ment groups on morning consult and mechanical turk, respectively. (see online appendix a for word- ing.) we therefore deviate slightly from our preregistration to omit cons",9,,,,
10.1007_s11109-019-09528-x,Taking fact-checks literally but not seriously? {The} effects of journalistic fact-checking on factual beliefs and candidate favorability,Political Behavior,ix a for word- ing.) we therefore deviate slightly from our preregistration to omit consideration of response time as a measure of attention. 12 we report equivalent but more complex models estimated on the full sample in online appendix c. 948 political behavior (2020) 42:939–960 1 3 the trump support indicator). the table also reports auxiliary quantities represent- ing differences versus the uncorrected statement condition. our results indicate that journalis,9,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"other social media to counter false stories. results from a pre-registered experiment indi- cate that false headlines are perceived as less accurate when people receive a general warning about misleading information on social media or when specific headlines are accompanied by a “disputed” or “rated false” tag. though the magnitudes of these effects are relatively modest, they generally do not vary by whether headlines were congenial to respondents’ political vie",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"the following hypotheses and research questions, which were pre-registered at ***egap*** prior to the administration of our study (http://www.***egap***. org/regis​trati​on/2516). first, though people’s initial belief in false information can be difficult to change (see flynn et al. 2017 for a review), some evidence suggests that warnings about false information can reduce belief in false claims or prevent the uptake of misin- formation. ecker et al. (2010) find that warning",11,TRUE,Yes,https://osf.io/hnq23,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"eadline with no tag). finally, we also seek to answer three pre-registered research questions about which we had weaker theoretical expectations. drawing on previous research identify- ing the importance of political preferences on belief in misinformation, we inves- tigate whether the effect of warnings on the perceived accuracy of headlines varies between congenial information and uncongenial information (rq1). we also inves- tigate whether specific warnings on",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"ycook and rand (2017), which we had not seen at the time of pre-registration, also considers this question. 1078 political behavior (2020) 42:1073–1095 1 3 about misleading articles will reduce the perceived accuracy of true information (rq3). practically, it would be difficult for social media platforms to fact-check and add a “disputed” or “rated false” tag to every false news headline. because some false news headlines could inevitably fall through the cracks,",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior," to our main analysis, and are available upon request. 3 we pre-registered an additional research question about the effects of exposure to a general warning and/or to a “disputed” or “rated false” tag on respondents’ self-reported likelihood of “liking” and shar- ing the headlines on facebook. the results of this analysis are presented in online appendix b. 1079 1 3 political behavior (2020) 42:1073–1095 experimental design and procedure we focus on beliefs in h",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"g., pennycook et al. 2017; pennycook and rand 2017). 12 our preregistration did not offer hypotheses about the correlates of false news belief, but see penny- cook and rand (2018b), which finds that individuals who have a tendency to ascribe profundity to ran- domly generated sentences and who overstate their level of knowledge are more likely to perceive false news as accurate. those who engage in analytic thinking are less susceptible. 1083 1 3 political behav",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior," using ols with robust standard errors.13 all analyses were pre-registered in advance on ***egap*** unless otherwise specified. replication data and code are available on the political behavior dataverse (https​:// datav​erse.harva​rd.edu/datav​erse/polbe​havio​r). our primary outcome measure is the perceived accuracy of false headlines, which we pooled across the false news headlines that respondents evaluated. the statis- tical analyses below include standard errors ",11,TRUE,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"lse” tag under the head- line in question. importantly, our pre-registered specifications exclude responses to untagged headlines by respondents in the disputed or false conditions. we thus com- pare responses to tagged headlines in the disputed and false conditions to responses to headlines in the condition in which no tags were shown. all experimental treat- ment effects were estimated as intent to treat effects.14 since we could not estimate respondents’ likel",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"endix b) in our pure control condition, we deviate from our pre-registration for expositional reasons to present estimates below that exclude the pure control group. as a result, we focus on the sample of 2561 respondents assigned to our experimental conditions. accordingly, the baseline in our statisti- cal models is the group that did not receive a general warning about false news or any “disputed” or “rated false” tags on headlines. our estimates are substanti",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,"dent fixed effects, which were incorrectly specified in the pre-registration (they cannot be estimated due to multicollinearity). however, we show in online appendix c that our primary results are consistent when estimated in a model that includes random effects by respondent. 15 the estimates reported here refer to the effects of each treatment alone independent of any modera- tors, with all other manipulations set at 0. we estimate models that include interacti",11,,,,
10.1007_s11109-019-09533-0,Real solutions for fake news? {Measuring} the effectiveness of general warnings and fact-check tags in reducing belief in false stories on social media,Political Behavior,responses) 5972 5972 respondents 2550 2548 17 a typo in the pre-registration statement to this effect instead mistakenly stated we would exclude “pure independents.” the results below again exclude pure controls but equivalent results including those respondents are provided in online appendix c. we do not include respondents with no opinion of trump in that model because there were so few (n = 4). 1087 1 3 political behavior (2020) 42:1073–1095 resist warnings a,11,,,,
10.1007_s11109-019-09534-z,Do means of program delivery and distributional consequences affect policy support? {Experimental} evidence about the sources of citizens' policy opinions,Political Behavior,"ted on mturk was intended as a pilot study, thus we did not pre-register a plan for analysis. 1114 political behavior (2020) 42:1097–1118 1 3 p < 0.05). this effect in the mturk sample is approximately 15% of the standard deviation of responses in the direct treatment. while the respondents in both sam- ples appear to prefer the indirect framing of the hmid, the difference in the mag- nitude of results leads us to be cautious in characterizing citizens preference",1,,,,
10.1007_s11109-019-09550-z,Exposure to immigration and admission preferences: evidence from france,Political Behavior,"mmigrants with particular characteris- tics. we conducted a pre-registered conjoint experiment in france in the aftermath of the 2017 french presidential election, and asked respondents to choose between hypothetical immigrants for admission. given the prominence of immigration rheto- ric in the campaign (kettley 2017; nossiter 2017), france’s historically unitarist, universalist, and secular understanding of nationhood and citizenship (brubaker 1992), the presen",1,,,,
10.1007_s11109-019-09573-6,Cultivating youth engagement: race \& the behavioral effects of critical pedagogy,Political Behavior,ed to traditional content. 9 hypotheses for this study were pre-registered at *********aspredicted*********.org (#11310). 761 1 3 political behavior (2021) 43:751–784 latinx youth and cognitive engagement youth from immigrant families with lower educational attainment and english language skills should experience a greater increase in cognitive engagement even when enrolled in a traditional civic education course. since latinx youth are more likely to exhibit this combination of f,1,TRUE,Yes,https://osf.io/hnq23,
10.1007_s11558-017-9281-4,Who matters for memory: sources of institutional memory in international organization crisis management,The Review of International Organizations," subject ethics committee. the irb registration constitutes pre-registration of the experiment. 458 h. hardt military staff. (for this study, i did not receive funding or privileged access, and i was not employed by nato.) first, this study demonstrated that the us has an unexpected way of influencing io elite behavior. nato elites were found to be less likely to pass on knowledge when the us government reported the error. i argue that this effect is due to elite",1,,,,
10.1007_s11558-017-9293-0,The first image reversed: igo signals and mass political attitudes,The Review of International Organizations,"university of colorado at boulder on february 25, 2016. our pre-registration for this study can be found at https://***osf***.io/ek4zx/. the first image reversed: igo signals and mass political attitudes 601 the experimental treatment in each scenario is the randomized exposure to an igo signal. in the economic scenario, the signal concerns a report from the world trade organization (wto) about the government’s (non)compliance with its free trade rules. in the conflict",1,TRUE,No,https://osf.io/ek4zx,Empty link
10.1007_s11558-018-9305-8,Opening hours of polling stations and voter turnout: evidence from a natural experiment,The Review of International Organizations,"; hoffman et al. 2017). easy voter registration procedures, pre-registration laws, day-of-polling registration, postal voting, prepaid postage, and increasing the number of polling stations have also been shown to increase voter turnout (highton 1997, besley and case 2003, luechinger et al. 2007, funk 2010, brady and mcnulty 2011, bhatti 2012, gibson et al. 2013, burden et al. 2014, hodler et al. 2015, holbein and hillygus 2016, schelker and schneiter 2017).1 ano",2,,,,
10.1007_s11558-018-9305-8,Opening hours of polling stations and voter turnout: evidence from a natural experiment,The Review of International Organizations," hillygus, d. s. (2016). making young voters: the impact of preregistration on youth turnout. american journal of political science, 60, 364–382. huber, p. j. (1967). the behavior of maximum likelihood estimates under nonstandard conditions. proceedings of the fifth berkeley symposium on mathematical statistics and probability, p 221–233. hsiang, s. m. (2010). temperatures and cyclones strongly associated with economic production in the caribbean and central ame",2,,,,
10.1007_s11558-018-9325-4,How can international organizations shape public opinion? {Analysis} of a pair of survey-based experiments,The Review of International Organizations,"14, 2018). 7the survey designs for the two experiments were pre-registered at the ***egap***.org archive (ids: 20170302aa and 20170609ac) shortly before data collection began. in combining the results of these two experiments for the purpose of writing this paper, i framed the theoretical section of the paper in a way that focuses more on the question of the legitimacy of international organizations. for a discussion of how the hypotheses presented in this article diff",3,TRUE,Yes,"https://osf.io/by794, https://osf.io/scqh4",
10.1007_s11558-018-9325-4,How can international organizations shape public opinion? {Analysis} of a pair of survey-based experiments,The Review of International Organizations,"ow the hypotheses presented in this article differ from the pre-registered hypotheses, please see section 9 of the supplementary appendix. 167 b. greenhill matter in the international system.8 it does so by asking whether igo endorsements make a difference simply because they signal the preferences of their more significant member states, or whether they can also have effects that are independent of their member states. in other words, it asks whether igos can ha",3,,,,
10.1007_s11558-018-9325-4,How can international organizations shape public opinion? {Analysis} of a pair of survey-based experiments,The Review of International Organizations," the hypotheses recorded when each of these experiments was pre-registered, please see section 9 of the supplementary information. 171 b. greenhill to summarize, hypothesis 1 suggests that ios (broadly defined) can have an effect on public opinion, but that their effect will depend upon the organizations’ percep- tions of legitimacy. hypothesis 2 suggests that the influence of igos can be enhanced by the reputations of their more powerful member states. meanwhile",3,,,,
10.1007_s11558-018-9331-6,The elusive sources of legitimacy beliefs: civil society views of international election observers,The Review of International Organizations,"nd zürn 2019). to test our ideas, we used a series of three pre-registered survey experiments involving real and hypothetical international election monitoring organizations.4 we invited hundreds of ngos based all over the world, in their roles as representatives of civil society, to share their evaluations of international election observation groups that could be invited to future elections in their country. we randomly varied informational treatments about cha",1,,,,
10.1007_s11558-020-09401-1,"Foreign aid, oil revenues, and political accountability: evidence from six experiments in ghana and uganda",The Review of International Organizations,"iled prior to researcher access to the 2014 survey data, we pre-registered the following hypothesis: hypothesis 1 compared to oil funds, revenue from foreign aid will produce greater demands for accountability from citizens on government leaders. 3heinrich and loftis (2019) remain a rare exception by focusing on anti-incumbency economic voting. 4see martin (2014). “taxation, loss aversion, and accountability: theory and experimental evidence for taxation’s effect",2,,,,
10.1007_s11558-020-09401-1,"Foreign aid, oil revenues, and political accountability: evidence from six experiments in ghana and uganda",The Review of International Organizations,"ioral and attitudinal outcome measures. for analysis and as pre-registered, we combined these into an action index. appendix a provides the wording for the individual items used to construct the index. action focuses on the actions citizens might take to moni- tor and sanction the government for its use of the revenues, and it allows us to test our hypothesis. the index includes items that ask citizens whether they would support an independent agency to track the",2,,,,
10.1007_s12116-020-09302-9,Rethinking foreign aid and legitimacy: views from aid recipients in kenya,Studies in Comparative International Development,"review appears in the appendix. 4 blair and roessler (2018) preregistered their hypothesis that attributing aid projects to a foreign donor would reduce tax compliance, their measure of government legitimacy. this is further evidence that most scholars have, in their applications of existing theories, predicted a negative relationship between foreign aid and government legitimacy. see http://***egap***.org/ registration-details/1285. 5 while there is also surprising n",1,TRUE,No,,Links to another paper that preregged
10.1007_s12116-020-09303-8,How do different forms of foreign aid affect government legitimacy? {Evidence} from an informational experiment in uganda,Studies in Comparative International Development,"ns 6 we collected data in two rounds. our initial round was pre-registered with evidence in governance and politics (***egap***) as id #20160113ab (http://***egap***.org/registration/1673), and our second round was pre- registered as id #20170505ab (http://***egap***.org/registration/2507). in the first pre-analysis plan, we described a set of government legitimacy outcomes that correspond to those we analyze below; we did not, however, make a directional prediction about the effe",1,TRUE,Yes,"https://osf.io/darp4, https://osf.io/ekbdu",
10.1016_j.ejpoleco.2021.102064,Making and breaking coalitions: strategic sophistication and prosociality in majority decisions,European Journal of Political Economy," work presented in the present manuscript. this project was pre-registered under: kittel, b., j. sauermann and m. schwaninger. 2018. “making and breaking coalitions: the influence of prosociality and rationality.” aea rct registry. april 06. https://www.socialscienceregistry.org/trials/2859/history/ 27723. appendix a. supplementary data supplementary data to this article can be found online at https://doi.org/10.1016/j.ejpoleco.2021.102064. j. sauermann et al. eu",1,,,,
10.1016_j.electstud.2017.10.005,Timing the habit: voter registration and turnout,Electoral Studies,"ears old, 45–60 years old, and 61 and older; we exclude all pre-registered voters (16- and 17-year olds) from our models.9 fig. 2. propensity score distribution. table 1 propensity score weights. min. 1st qu. median mean 3rd qu. max. early registrant 0.57 0.69 0.73 0.75 0.79 1.26 late registrant 0.83 1.20 1.46 1.50 1.70 3.97 note: one common problem with iptw is the occurrence of extreme weights. however, based on the summary shown in table 1, no extreme weights ",3,,,,
10.1016_j.electstud.2017.10.005,Timing the habit: voter registration and turnout,Electoral Studies,"me weights achieved. 9 florida permits eligible citizens to pre-register to vote when they turn 16. although other scholars have leveraged the possibility of registering to vote in florida before turning 18 to assess its impact on turnout (holbein and hillygus, 2016), we intentionally drop pre-registered voters if they were younger than 18 at the time of the november 4, 2008 presidential election. we also drop 2170 registrants who did not have a birthdate recorde",3,,,,
10.1016_j.electstud.2017.10.005,Timing the habit: voter registration and turnout,Electoral Studies,"turnout (holbein and hillygus, 2016), we intentionally drop pre-registered voters if they were younger than 18 at the time of the november 4, 2008 presidential election. we also drop 2170 registrants who did not have a birthdate recorded in the january 2015 statewide voter ﬁle because their information was redacted from the public record due to privacy concerns. in alternative models (not shown), we limited our analysis to the 119,748 18–19 year olds who register",3,,,,
10.1016_j.electstud.2018.09.006,Escaping collective responsibility in fluid party systems: evidence from south korea,Electoral Studies,"otheses, as well as the study design and analysis, were all pre-registered on evidence in governance and politics (https://***egap***.org/registration/2480) prior to data collection. 6 given the existence of pro-park and non-pro-park factions within the former sp, it is possible that the respondents' reactions to the strategies can reﬂect their assessments of the pro-park and non-park factions of the former sp. in the aftermath of the scandal, there were more pro-park ",1,TRUE,Yes,https://osf.io/d78jt,
10.1016_j.electstud.2018.10.005,Do citizens make inferences from political candidate characteristics when aiming for substantive representation?,Electoral Studies,"three policy issues (shown in random order).12 9 we did not pre-register our two experiments. all results reported are on the full set of observations, and no additional treatments were conducted. the codebook and data are fully available by contacting the norwegian centre for research data at http://www.nsd.uib.no/. 10 the data in our analysis come from the “norwegian citizen panel wave 6, 2016” and “norwegian citizen panel wave 7, 2016.” the survey was ﬁnanced ",1,,,,
10.1016_j.electstud.2019.02.013,Can parties recruit postal voters? {Experimental} evidence from britain,Electoral Studies,"ruit supporters on to postal votes? we present an original, pre-registered postal voter recruitment experiment – the ﬁrst conducted outside the us – completed during the may 2018 uk elections. we test the eﬀect of a common recruitment tactic – letters and application forms sent to supporters. despite being widely used by parties, we ﬁnd that these eﬀorts are ineﬀective at both recruiting and mobilising supporters. while the rewards of successfully signing support",4,,,,
10.1016_j.electstud.2019.02.013,Can parties recruit postal voters? {Experimental} evidence from britain,Electoral Studies,"l voter regis- tration. 3. research design we carried out a pre-registered2 ﬁeld experiment with the liberal democrats in southwark, london during the united kingdom local elections in may 2018. as our experiment represents the ﬁrst of its kind in the uk, we replicate the letter-based approach that has been suc- cessful in us studies (e.g. mann and mayhew, 2015; hassell, 2017). letters, with enclosed postal vote application forms represent a common tactic with wh",4,,,,
10.1016_j.electstud.2019.02.013,Can parties recruit postal voters? {Experimental} evidence from britain,Electoral Studies,"er, 2015; electoral commission, 2017). 2 the experiment was pre-registered at ***egap*** (evidence in government and politics). pre-registration details and pre-analysis plan can be found here: http://***egap***.org/registration-details/4404. j. townsley and s.j. turnbull-dugarte electoral studies xxx (xxxx) xxx–xxx 3 not voted regularly at previous local elections. given that this was the target group of voters that the party was actively involved in recruiting as a means o",4,TRUE,Yes,https://osf.io/rnjhz,
10.1016_j.electstud.2019.02.013,Can parties recruit postal voters? {Experimental} evidence from britain,Electoral Studies,"e-registered at ***egap*** (evidence in government and politics). pre-registration details and pre-analysis plan can be found here: http://***egap***.org/registration-details/4404. j. townsley and s.j. turnbull-dugarte electoral studies xxx (xxxx) xxx–xxx 3 not voted regularly at previous local elections. given that this was the target group of voters that the party was actively involved in recruiting as a means of providing them with a marginal electoral advantage, we sough",4,TRUE,,,
10.1016_j.electstud.2019.102066,Voter reactions to candidate background characteristics depend on candidate policy positions,Electoral Studies,"f- fects of providing voters with policy information in our pre-registration. however, the analysis explores in detail the degree to which the crowing-out effects of policy information differs between different background characteristics and between the different dimension on which voters evaluate candidates. 4. experiment to test our hypotheses, we conducted a survey experiment. the study was pre-registered on open science framework prior to any data collection.",4,,,,
10.1016_j.electstud.2019.102066,Voter reactions to candidate background characteristics depend on candidate policy positions,Electoral Studies,"hypotheses, we conducted a survey experiment. the study was pre-registered on open science framework prior to any data collection.5 the experiment was conducted in a commercial web panel (voxmeter). it is not possible to self-select into the panel, and the company continuously recruit new members from random samples of the danish population. for their participation, panel members receive points redeemable for lotteries, charitable donations etc. for our study, 7,",4,,,,
10.1016_j.electstud.2019.102066,Voter reactions to candidate background characteristics depend on candidate policy positions,Electoral Studies,"tes share party affiliation (kirkland and coppock, 2017). 5 preregistration available at: https://***osf***.io/6dzmx. we deviate from our pre- analysis plan on two counts. first, the preregistration erroneously included the word “parents” in two hypotheses regarding candidate occupation (making hypotheses 3c and 3d identical to 2b and 2c). as is clear from the context, these hypotheses should be about the occupation of the candidates not their parents, and we have the",4,TRUE,Yes,https://osf.io/6dzmx,
10.1016_j.electstud.2019.102066,Voter reactions to candidate background characteristics depend on candidate policy positions,Electoral Studies,"viate from our pre- analysis plan on two counts. first, the preregistration erroneously included the word “parents” in two hypotheses regarding candidate occupation (making hypotheses 3c and 3d identical to 2b and 2c). as is clear from the context, these hypotheses should be about the occupation of the candidates not their parents, and we have therefore corrected the wording. second, we originally planned to test the hypotheses regarding the effects of gender, p",4,,,,
10.1016_j.electstud.2020.102132,"What is the impact of bilingual communication to mobilize latinos? {Exploratory} evidence from experiments in new jersey, north carolina, and virginia",Electoral Studies,"nd hyde, 2015). 3 these three experiments were not formally pre-registered. the analyses in the paper and supplemental online materials are each based on the randomi­ zation process (e.g. blocked assignment, spillover in new jersey). the down­ stream analysis of the 2015 experiments was not part of their original analysis plan, but was added to the analysis plan when the 2016 replication was planned. 4 increasing participation in low salience elections is relativ",1,,,,
10.1016_j.electstud.2020.102250,Making them pay: using the norm of honesty to generate costs for political lies,Electoral Studies,"ound in the appendix. the studies we discuss below were not preregistered, though the findings from study 3 formed the basis of a grant proposal for the funding that was used to carry out studies 1 and 2. this proposal laid out the hypotheses of these studies prior to gathering the data. 6 to assess effect of the manipulation, respondents in the 2019 qualtrics survey were asked to rank the importance of honesty, trustworthiness, intelli­ gence, and work ethic. d",1,,,,
