file_in,title,journal,count_prereg,prereg_context,prereg_term_context,prereg_website_context
,,,,,"s. details regarding the procedure we use were decided and documented prior to data collection in a pre-analysis plan 1112 political behavior (2020) 42:1097–1118 1 3 after learning about the distributional consequences of both policies, respondents may want to modify how much different income-groups benefit. we find sugges- tive evidence of this in the case of the hmid. respondents assigned to the regres- sive treatment are slightly less likely to favor keeping the policy as is (see row 2 of fig. 2c, p = 0.",
10.1007_s11109-019-09550-z,Exposure to immigration and admission preferences: evidence from france,Political Behavior,1,"mmigrants with particular characteris- tics. we conducted a pre-registered conjoint experiment in france in the aftermath of the 2017 french presidential election, and asked respondents to choose between hypothetical immigrants for admission. given the prominence of immigration rheto- ric in the campaign (kettley 2017; nossiter 2017), france’s historically unitarist, universalist, and secular understanding of nationhood and citizenship (brubaker 1992), the presen",,
10.1007_s11558-017-9281-4,Who matters for memory: sources of institutional memory in international organization crisis management,The Review of International Organizations,1," subject ethics committee. the irb registration constitutes pre-registration of the experiment. 458 h. hardt military staff. (for this study, i did not receive funding or privileged access, and i was not employed by nato.) first, this study demonstrated that the us has an unexpected way of influencing io elite behavior. nato elites were found to be less likely to pass on knowledge when the us government reported the error. i argue that this effect is due to elite",,
10.1007_s11558-018-9305-8,Opening hours of polling stations and voter turnout: evidence from a natural experiment,The Review of International Organizations,2,"; hoffman et al. 2017). easy voter registration procedures, pre-registration laws, day-of-polling registration, postal voting, prepaid postage, and increasing the number of polling stations have also been shown to increase voter turnout (highton 1997, besley and case 2003, luechinger et al. 2007, funk 2010, brady and mcnulty 2011, bhatti 2012, gibson et al. 2013, burden et al. 2014, hodler et al. 2015, holbein and hillygus 2016, schelker and schneiter 2017).1 ano",,
,,,," hillygus, d. s. (2016). making young voters: the impact of preregistration on youth turnout. american journal of political science, 60, 364–382. huber, p. j. (1967). the behavior of maximum likelihood estimates under nonstandard conditions. proceedings of the fifth berkeley symposium on mathematical statistics and probability, p 221–233. hsiang, s. m. (2010). temperatures and cyclones strongly associated with economic production in the caribbean and central ame",,
10.1007_s11558-020-09401-1,"Foreign aid, oil revenues, and political accountability: evidence from six experiments in ghana and uganda",The Review of International Organizations,2,"iled prior to researcher access to the 2014 survey data, we pre-registered the following hypothesis: hypothesis 1 compared to oil funds, revenue from foreign aid will produce greater demands for accountability from citizens on government leaders. 3heinrich and loftis (2019) remain a rare exception by focusing on anti-incumbency economic voting. 4see martin (2014). “taxation, loss aversion, and accountability: theory and experimental evidence for taxation’s effect","citizens might expect greater benefits from aid due to its perceived lower corruption, in the first pre-analysis plan filed prior to researcher access to the 2014 survey data, we pre-registered the following hypothesis: hypothesis 1 compared to oil funds, revenue from foreign aid will produce greater demands for accountability from citizens on government leaders. 3heinrich and loftis (2019) remain a rare exception by focusing on anti-incumbency economic voting. 4see martin (2014). “taxation, loss aversion, ",
,,,,"ioral and attitudinal outcome measures. for analysis and as pre-registered, we combined these into an action index. appendix a provides the wording for the individual items used to construct the index. action focuses on the actions citizens might take to moni- tor and sanction the government for its use of the revenues, and it allows us to test our hypothesis. the index includes items that ask citizens whether they would support an independent agency to track the","shua kertzer, randall stone, laura paler, dillon laaker, xiaojun li, and christopher kilby, and the egap and peio audiences for helpful comments. we thank fmms co. (gh.) ltd and ignosi research for their survey help. we especially owe many thanks to the late stephen knack, who launched the research agenda, inspired the research question, and collaborated with us on two of the key experiments. open access this article is licensed under a creative commons attribution 4.0 international license, which p",
10.1016_j.ejpoleco.2021.102056,Bias and careers: evidence from the aid effectiveness literature,European Journal of Political Economy,2,"ics, especially with regard to sharing of data and code and preregistration (christensen and miguel, 2018), and development of codes of ethics (levy and peart, 2008). analysis of the impact of changing standards is beyond the scope of our analysis. however, the scant available evidence suggests that not all changes improve science. for example, brodeur et al. (2016) found that specification searching coexists with a data and code sharing policy. 7 in contrast, h",,
,,,,"and, e., johannesson, m., 2020. comparing meta-analyses and preregistered multiple-laboratory replication projects. nature human behavior 4 (4), 423–434. levy, d.m., peart, s.j., 2008. inducing greater transparency: towards the establishment of ethical rules for econometrics. e. econ. j. 34 (1), 103–114. levy, d.m., peart, s.j., 2016. gordon tullock’s ill-fated appendix. ‘‘flatland revisited’’ constitutional political economy 28 (1), 18–34. liner, g.h., sewell, ",,
10.1016_j.ejpoleco.2021.102064,Making and breaking coalitions: strategic sophistication and prosociality in majority decisions,European Journal of Political Economy,1," work presented in the present manuscript. this project was pre-registered under: kittel, b., j. sauermann and m. schwaninger. 2018. “making and breaking coalitions: the influence of prosociality and rationality.” aea rct registry. april 06. https://www.socialscienceregistry.org/trials/2859/history/ 27723. appendix a. supplementary data supplementary data to this article can be found online at https://doi.org/10.1016/j.ejpoleco.2021.102064. j. sauermann et al. eu",,
10.1016_j.electstud.2017.10.005,Timing the habit: voter registration and turnout,Electoral Studies,3,"ears old, 45–60 years old, and 61 and older; we exclude all pre-registered voters (16- and 17-year olds) from our models.9 fig. 2. propensity score distribution. table 1 propensity score weights. min. 1st qu. median mean 3rd qu. max. early registrant 0.57 0.69 0.73 0.75 0.79 1.26 late registrant 0.83 1.20 1.46 1.50 1.70 3.97 note: one common problem with iptw is the occurrence of extreme weights. however, based on the summary shown in table 1, no extreme weights ",,
,,,,"me weights achieved. 9 florida permits eligible citizens to pre-register to vote when they turn 16. although other scholars have leveraged the possibility of registering to vote in florida before turning 18 to assess its impact on turnout (holbein and hillygus, 2016), we intentionally drop pre-registered voters if they were younger than 18 at the time of the november 4, 2008 presidential election. we also drop 2170 registrants who did not have a birthdate recorde",,
,,,,"turnout (holbein and hillygus, 2016), we intentionally drop pre-registered voters if they were younger than 18 at the time of the november 4, 2008 presidential election. we also drop 2170 registrants who did not have a birthdate recorded in the january 2015 statewide voter ﬁle because their information was redacted from the public record due to privacy concerns. in alternative models (not shown), we limited our analysis to the 119,748 18–19 year olds who register",,
10.1016_j.electstud.2018.10.005,Do citizens make inferences from political candidate characteristics when aiming for substantive representation?,Electoral Studies,1,"three policy issues (shown in random order).12 9 we did not pre-register our two experiments. all results reported are on the full set of observations, and no additional treatments were conducted. the codebook and data are fully available by contacting the norwegian centre for research data at http://www.nsd.uib.no/. 10 the data in our analysis come from the “norwegian citizen panel wave 6, 2016” and “norwegian citizen panel wave 7, 2016.” the survey was ﬁnanced ",,
10.1016_j.electstud.2019.02.011,What is the cost of voting?,Electoral Studies,1," it easier to vote by means of election day registration or preregistration have been found to slightly increase turnout (braconnier et al., 2017; holbein and hillygus, 2016; neiheisel and burden, 2012). reducing the costs of voting by allowing internet voting as well has been found to moderately increase turnout (goodman and stokes, forthcoming). reforms or voting rules that are intended to increase the cost of voting such as strict voter identification require",,
10.1016_j.electstud.2019.102086,Measuring youth and college student voter turnout,Electoral Studies,1,"hine hillygus, d., 2016. making young voters: the impact of preregistration on youth turnout. am. j. pol. sci. 60 (2), 364–382. hur, aram, achen, christopher h., 2013. coding voter turnout responses in the current population survey. public opin. q. 77 (4), 985–993. kam, cindy d., palmer, carl l., 2008. reconsidering the effects of education on political participation. j. politics 70 (3), 612–631. keele, luke, minozzi, william, 2013. how much is minnesota like wi",,
10.1016_j.electstud.2020.102132,"What is the impact of bilingual communication to mobilize latinos? {Exploratory} evidence from experiments in new jersey, north carolina, and virginia",Electoral Studies,1,"nd hyde, 2015). 3 these three experiments were not formally pre-registered. the analyses in the paper and supplemental online materials are each based on the randomi­ zation process (e.g. blocked assignment, spillover in new jersey). the down­ stream analysis of the 2015 experiments was not part of their original analysis plan, but was added to the analysis plan when the 2016 replication was planned. 4 increasing participation in low salience elections is relativ",,
10.1016_j.electstud.2020.102250,Making them pay: using the norm of honesty to generate costs for political lies,Electoral Studies,1,"ound in the appendix. the studies we discuss below were not preregistered, though the findings from study 3 formed the basis of a grant proposal for the funding that was used to carry out studies 1 and 2. this proposal laid out the hypotheses of these studies prior to gathering the data. 6 to assess effect of the manipulation, respondents in the 2019 qualtrics survey were asked to rank the importance of honesty, trustworthiness, intelli­ gence, and work ethic. d",,
10.1016_j.polgeo.2020.102312,Where the violence happened matters. {Geopolitical} framing and assessments of collective responsibility for historical violence.,Political Geography,1,"sed crowdsourcing platform amazon me­ chanical turk wherein preregistered individuals choose to take part in the given survey (on the use of this platform, see hauser & schwarz, 2016; paolacci & chandler, 2014). the mean age was 40.79 (sd = 13.46, range 19–75). participants were randomly assigned to one of two conditions. one condition presented the massacre as having taken place in poland (n = 52), while the other presented it as having taken place in ukraine (",,
10.1017_gov.2018.7,The twilight of the polls? {A} review of trends in polling accuracy and the causes of polling misses,Government and Opposition,1,"dy happened (gayo-avello 2012). when forecasts are actually preregistered, the performance has been poor (burnap et al. 2015). summarizing the existing research, mellon (2018) concludes that without validation against representative data, there is little hope that social media data will consistently outperform traditional data sources. review article 779 © the authors 2018. published by government and opposition limited and cambridge university press https://doi",,
10.1017_pan.2017.22,Using split samples to improve inference on causal effects,Political Analysis,4,"the results, this would allow authors to have a record of a preregistered design when they submit the papertoanotherjournal.thatpapwouldlikelybesuperiortotheonethatresearcherswouldhave prepared on their own. marcel fafchamps and julien labonne  political analysis 479 downloaded from https://www.cambridge.org/core. australian national university, on 11 aug 2021 at 21:45:32, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/t","discuss a statistical procedure to carry out empirical research that combines recent insights about preanalysis plans (paps) and replication. researchers send their datasets to an independent third party who randomly generates training and testing samples. researchers perform their analysis on the training sample and are able to incorporate feedback from both colleagues, editors, and referees. once the paper is acceptedforpublicationthemethodisappliedtothetestingsampleanditisthoseresultsthatarepublished. s","th experimental and observational studies (http://egap.org/content/registration). similarly, the american economic association and the center for open science have recently set up similar registries. 465 downloaded from https://www.cambridge.org/core. austra"
,,,," drawer. science 345(6203):1502–1505. gelman, andrew. 2014. preregistration: what’s in it for you? http://andrewgelman.com/2014/03/10/ preregistration-whats/. gelman, andrew. 2015. the connection between varying treatment effects and the crisis of unreplicable research. journal of management 41(2):632–643. gelman, andrew, john carlin, hal stern, david dunson, aki vehtari, and donald rubin. 2013. bayesian data analysis. 3rd edn. london: chapman and hall/crc. gerb","ent before accessing the data on which they will be run. a prominent example is the introduction of preanalysis plans (paps).3 such plans are written—and possibly shared with the research community—before any analysis is carried out. this reduces the risk that researchers select hypotheses that can be rejected with the available data (humphreys, sanchez de la sierra, and van der windt 2013; olken 2015; monogan 2015; blair et al. 2016; dunning 2016; lin and green 2016). author’snote:wethankmichaelalvarez(co",
,,,,": what’s in it for you? http://andrewgelman.com/2014/03/10/ preregistration-whats/. gelman, andrew. 2015. the connection between varying treatment effects and the crisis of unreplicable research. journal of management 41(2):632–643. gelman, andrew, john carlin, hal stern, david dunson, aki vehtari, and donald rubin. 2013. bayesian data analysis. 3rd edn. london: chapman and hall/crc. gerber, alan, and neil malhotra. 2008. do statistical reporting standards affec","politics network allows researchers to register both experimental and observational studies (http://egap.org/content/registration). similarly, the american economic association and the center for open science have recently set up similar registries. 465 downloaded from https://www.cambridge.org/core. australian national university, on 11 aug 2021 at 21:45:32, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/pan.2017.22 paps have t",
,,,,". science 343(6166):30–31. monogan, james e. 2015. research preregistration in political science: the case, counterarguments, and a response to critiques. ps: political science & politics 48(3):425–429. nyhan, brendan. 2015. increasing the credibility of political science research: a proposal for journal reforms. ps: political science & politics 48(s1):78–83. olken, benjamin. 2015. pre-analysis plans in economics. journal of economic perspectives 29(3):61–80. pe"," out that the researcher can implement the bonferroni adjustments without a pap. 2.1.1 procedure 1: preanalysis plan with bonferroni corrections before having access to the data, the researcher can prepare and register a pap (humphreys, sanchez de la sierra, and van der windt 2013; olken 2015; dunning 2016). such a plan lists the hypotheses to be tested and describes how they will be tested, including which variables to include, how they will be included, and how researchers intend to deal with the multipl",
,,,,,"erican economic journal: applied economics 8(1):1–32. coffman, lucas c., and muriel niederle. 2015. pre-analysis plans are not the solution replications might be. journal of economic perspectives 29(3):81–98. dunning, thad. 2016. transparency, replication, and cumulative learning: what experiments alone cannot achieve. annual review of political science 19(1):s1–s23. einav, liran, and jonathan levin. 2014. economics in the age of big data. science 346(6210):715. fachamps, marcel, and julien labonne. 2017. r",
,,,,,"an.2017.22 lin, winston, and donald p. green. 2016. standard operating procedures: a safety net for pre-analysis plans. ps: political science & politics 49(3):495–500. lovell, m. 1983. data mining. review of economic and statistics 65(1):1–12. miguel, e., c. camerer, k. casey, j. cohen, k. m. esterling, a. gerber, r. glennerster, d. p. green, m. humphreys, g. imbens, d. laitin, t. madon, l. nelson, b. a. nosek, m. petersen, r. sedlmayr, j. p. simmons, u. simonsohn, and m. van der laan. 2014. promoting trans",
,,,,,"proposal for journal reforms. ps: political science & politics 48(s1):78–83. olken, benjamin. 2015. pre-analysis plans in economics. journal of economic perspectives 29(3):61–80. pepinsky, tom. 2013. the perilous peer review process. http://tompepinsky.com/2013/09/16/the-perilous- peer-review-process/. rauchhaus, robert. 2009. evaluating the nuclear peace hypothesis a quantitative approach. journal of conflict resolution 53(2):258–277. sankoh, a. j., m. f. huque, and s. d. dubey. 1997. some comments on freq",
10.1017_pan.2017.27,"The design of field experiments with survey outcomes: a framework for selecting more efficient, robust, and ethical designs",Political Analysis,1,"endix d.3 gives more detail. these analysis procedures were pre-registered. results indicate the treatment effect as a precisely estimated zero on all outcomes: the confidence intervals rule out positive effects of approximately 0.05 standard deviations, which is half the size conventionally considered “small.” figure 10 shows these results. online appendix d reports balance checks and representativeness assessments. in addition to demonstrating that these four p",,
10.1017_pan.2017.44,"Text preprocessing for unsupervised learning: why it matters, when it misleads, and what to do about it",Political Analysis,2,"ce of findings elsewhere in the discipline gelman (2013, on preregistration). nonetheless, we make no claims that our method is the last word: we have not been encyclopedic in checking all possible text datasets, or in deriving formal properties of our approach, or in exploring the multiple other steps scholars might take in preparing their data. we leave such efforts for future work. supplementary material for supplementary material accompanying this paper, ple",,
,,,,"es. political analysis 22(2):224–242. gelman, andrew. 2013. preregistration of studies and mock reports. political analysis 21(1):40–41. gelman, andrew, and eric loken. 2014. the statistical crisis in science. american scientist 102(6):460–465. grimmer, j. 2010. a bayesian hierarchical topic model for political texts: measuring expressed agendas in senate press releases. political analysis 18(1):1–35. grimmer, justin, and brandon m. stewart. 2013. text as data: ",,
10.1017_pan.2018.44,Adventures in replication: an introduction to the forum,Political Analysis,1,"lop a framework for improving replication and apply it to a preregistered replication study. our hope is that readers will not only enjoy reading about the issues, and chronology in these works, but will also fully appreciate some challenges we face in evaluating the work of our peers in political methodology. in my view the most important takeaway from the process that created this forum is the value of the political analysis replication process put in place by",,
10.1017_pan.2020.14,Shadowing as a tool for studying political elites,Political Analysis,2,"). 24 mcdonald and simpson (2014). 25 see monogan (2015) on preregistration in political science research. jennifer bussell ` political analysis 472 downloaded from https://www.cambridge.org/core. australian national university, on 07 aug 2021 at 08:46:43, subject to the cambridge core terms of use, available at https://www.cambridge.org/core/terms. https://doi.org/10.1017/pan.2020.14 drawsondatafromtheshadowingoffourteenvillagecouncilpresidents(vcps)inthestateo","ubjects, sampling plan, implementation strategy, and data analysis plan. this design can serve as a pre-analysis plan and be registered in advance of implementation.25 while previous work has discussed some of these elements, none has described how they should be prepared and connected in a study design prior to initiating research. i conclude the section with a discussion on drawing inferences and writing up a shadowing study. the example study design provided in the supplementary materials introduces a st",
,,,,"k. new york: harper and row. monogan, j. e. 2015. “research preregistration in political science: the case, the counterarguments, and a response to critiques.” ps: political science and politics 48(3):425–429. muralidharan, k., and v. sundararaman. 2011. “teacher performance pay: experimental evidence from india.” journal of political economy 119(1):39–77. noël, a. 1989. “strategic cores and magnificent obsessions: discovering strategy formation through daily ac",,
10.1017_pan.2020.31,Achieving statistical significance with control variables and without transparency,Political Analysis,1,"nd imai 2020; athey, imbens, and wager 2018). they can also preregister control variables before data collection as part of a preanalysis plan (casey, glennerster, and miguel 2012; humphreys, de la sierra, and van der windt 2013). most simply, researchers could disclose the bivariate specification to allow reviewers and readers to assess the eﬀects of adding control variables.6 if the bivariate specification departs noticeably from other specifications, authors ","ng the posting of replication data and code for articles published beginning in 2013. following our preanalysis plan,3 we analyze articles from ajps 2013–2015 that focus mainly on establishing a single causal claim and have a standard statistical model with at least one control variable (see table s1 in the supporting information for exclusion reasons). sixty- four of 163 articles in these years met these criteria. forty-nine of these are observational and 15 are experimental. the topics of these studies r",
,,,,,"s, and wager 2018). they can also preregister control variables before data collection as part of a preanalysis plan (casey, glennerster, and miguel 2012; humphreys, de la sierra, and van der windt 2013). most simply, researchers could disclose the bivariate specification to allow reviewers and readers to assess the eﬀects of adding control variables.6 if the bivariate specification departs noticeably from other specifications, authors need to explain why. this is diﬀicult in cases with more than a handful",
,,,,,", k., r. glennerster, and e. miguel. 2012. “reshaping institutions: evidence on aid impacts using a preanalysis plan.” the quarterly journal of economics 127(4):1755–1812. clarke, k. a. 2005. “the phantom menace: omitted variable bias in econometric research.” conflict management and peace science 22(4):341–352. cole, s. r. et al. 2010. “illustrating bias due to conditioning on a collider.” international journal of epidemiology 39(2):417–420. conger, a. j. 1974. “a revised definition for suppressor variabl",
10.1017_psrm.2014.10,Assessing the correspondence between experimental results obtained in the lab and field: a review of recent social science research,Political Science Research and Methods,1,"he threat of publication bias also underscores the need for preregistration of experiments and institutional arrangements facilitating the reporting of results even in the absence of publication (humphreys, de la sierra and van der windt 2013). a second concern relates to the way in which lab-ﬁeld comparisons are chosen. in most of the studies considered here, a ﬁeld experiment was conducted to conﬁrm, validate or challenge a laboratory result. if the lab is to ",,
10.1017_psrm.2015.51,Partisan disagreements arising from rationalization of common information,Political Science Research and Methods,1," initial proposal in the supplementary appendix to serve as pre-registration of intent to assess the differences between democrats and republicans speciﬁed above. the survey was available to 5313 potential respondents from june 23 until july 7, 2011, from whom 3600 responses were received (67.8 percent). because the respondents were part of an existing kn panel, their (seven category) party identiﬁcation was measured in previous surveys, rather than having been a",,
10.1017_psrm.2016.53,Assessing the impact of non-random measurement error on inference: a sensitivity analysis approach,Political Science Research and Methods,1,"ctions as well as the plausible magnitude of the error in a pre-registration plan. finally, the boundary can be set arbitrarily high so the researcher can determine the value of η at which the substantive ﬁndings no longer hold. the functional form of the transition function can be more complex than simply multiplying xi with a constant η. it might be useful to specify a step function where there is no measurement error for some values of x, but above a certain t",,
10.1017_psrm.2018.50,Information credibility and responses to corruption: a replication and extension in argentina,Political Science Research and Methods,2,"ugh h3a was implicit in our thinking, we did not explicitly pre-register that hypothesis. the pap also developed a hypothesis about the interaction between sophistication and partisanship; due to the small number of partisans in the sample, we are not able to test it. 7 similar ideas about political sophistication are developed in alt et al. (2016). political science research and methods 171 https://doi.org/10.1017/psrm.2018.50 downloaded from https://www.cambrid","ion information comes from the more, as opposed to less, credible source. as described in h1 in the pre-analysis plan for this replication,6 we expect to find the same result in argentina: citizens should react more strongly to more credible information. second, we expect that some respondents will be more sensitive to the credibility of source information. wsw argue that political sophisticates are more likely to have the political knowledge and cognitive capacity necessary to understand actors’ incentives","registration id (20150603aa), available at http://egap.org/registration/927. h1, h2, and h3b and h3c in this article follow directly from the pap. although h3a was implicit in our thinking, we did not explicitly pre-register that hypothesis. the pap also dev"
,,,,"quality of information sources in the same way. against our pre-registered expectations, we find that copartisans, opposition partisans, and other/non-partisans demonstrate very similar patterns of discernment of more versus less credible information. in general, these results suggest that a wide variety of voters in argentina—as in brazil—can distinguish between different types of political information and make informed voting decisions as a result. supplementar","despread name recognition and is readily identified as being in opposition to the peronist party. 6 egap registration id (20150603aa), available at http://egap.org/registration/927. h1, h2, and h3b and h3c in this article follow directly from the pap. although h3a was implicit in our thinking, we did not explicitly pre-register that hypothesis. the pap also developed a hypothesis about the interaction between sophistication and partisanship; due to the small number of partisans in the sample, we are",
,,,,,"being in opposition to the peronist party. 6 egap registration id (20150603aa), available at http://egap.org/registration/927. h1, h2, and h3b and h3c in this article follow directly from the pap. although h3a was implicit in our thinking, we did not explicitly pre-register that hypothesis. the pap also developed a hypothesis about the interaction between sophistication and partisanship; due to the small number of partisans in the sample, we are not able to test it. 7 similar ideas about political s",
10.1017_psrm.2019.13,Beyond the breaking point? {Survey} satisficing in conjoint experiments,Political Science Research and Methods,5," response quality. this paper addresses that question using pre-registered, two-stage experiments examining choices among hypothetical candidates for us senate or hotel rooms. in each experiment, we use the first stage to identify attributes which are perceived to be uncorrelated with the attribute of interest, so that their effects are not masked by those of the core attributes. in the second stage, we randomly assign respondents to conjoint designs with varying"," of the effect sizes. we initially set the threshold at 5 percentage points (as docu- mented in our pre-analysis plans) but changed it to 7 percentage points after collecting data from the first stage experiments, but before any portion of the second stage experiments was conducted. 6 it should also be noted that our procedure does not take into account statistical uncertainty in the estimates, implying that some fillers’ effects might be incorrectly classified as above or below the 7-percentage-point thres",
,,,,"effect of survey satisficing empirically, and we deploy our pre-registered design in two substantive domains. specifically, we consider how american survey respondents—recruited via amazon’s mechanical turk (mt) or survey sampling international (ssi)—choose between hypothetical candidates for the us senate (study 1) and hotel stay packages (study 2). in the studies’ first stages, we identify attributes which are unassociated with the core attributes of interest b","of filler attributes employed. the first stage-two survey was conducted exactly as specified in our pre-analysis study plan: we randomly assigned respondents to 0, 1, 2, 3, 4, or 5 previously validated filler attributes. after completing the first wave and observing the results, which indicated surprising robustness even for 5 filler attributes, we decided to administer additional waves with even larger numbers of fillers. the second mt wave thus included treatment arms with 0, 1, 2, 3, 4, 5, 6, 8, 10, 12, ",
,,,,"tudies, as well as plans for our statistical analysis, were pre-registered at the political science registered studies dataverse prior to launching the study.9 4.1. study 1: political candidates in study 1, we investigate how the proliferation of irrelevant attributes affects the predictive power of candidates’ core attributes. the core attributes for this study are candidates’ party affiliation (republican or democratic), position on same-sex marriage (favor or ","d throughout the survey. we pre-registered this portion of the study as an addendum to the original pre-analysis plan before conducting any analyses.11 figure 6 and table a.4 in online appendix a.3 present the amces for our core attributes. the results are generally quite similar. we see detectable but typically modest declines for core attributes. the effect of sharing the candidate’s party is 0.197 (se = 0.015), a figure which drops to a low of 0.146 (se = 0.017) with 25 filler attributes. sharing the can",
,,,," waves. the results that only use responses from the first, pre-registered wave are in online appendix a.3. to quantify the extent of satisficing, we estimate the amces corresponding to our four core attributes for each treatment condition for the pooled mt experiments, as illustrated in figure 4 and table a.3 in the online appendix. we limit the sample to those respondents who expressed an identification with or leaning toward the major parties, and we transform",,
,,,,"ributes which then remained fixed throughout the survey. we pre-registered this portion of the study as an addendum to the original pre-analysis plan before conducting any analyses.11 figure 6 and table a.4 in online appendix a.3 present the amces for our core attributes. the results are generally quite similar. we see detectable but typically modest declines for core attributes. the effect of sharing the candidate’s party is 0.197 (se = 0.015), a figure which dr",,
10.1017_psrm.2019.48,All keynesians now? {Public} support for countercyclical government borrowing,Political Science Research and Methods,1,"/terms. the design and analysis for the experiments was not pre-registered, and we are happy to make clear that we anticipated finding procyclical policy preferences. indeed, the reason we conducted two identical experiments was because we were surprised enough at the results from the first experiment that we feared there had either been some idiosyncratic mistake in its implementa- tion. experiment 1 (fielded on march 8, 2016) had a sample of 1720 and experiment",,
10.1017_psrm.2020.6,The shape of and solutions to the mturk quality crisis,Political Science Research and Methods,1,"rd larger surveys, many use mturk to pilot studies prior to pre-registration and fielding. as reviewed above, mturk samples have long provided high-quality data that replicate many experimental and observational results, illustrating the value of the platform. as we have seen, however, there are a few bad actors that are jeopardizing both the quality of data collected through mturk and the future viability of the platform. across 38 studies spanning 2013–2018, we",,
