name,type,url,file_id,description,published_at,file_type,file_content_type,size_in_bytes,md5,checksum.type,checksum.value,unf,file_persistent_id,dataset_name,dataset_id,dataset_persistent_id,dataset_citation,dataverse_identifier,file_name,dataset_global_id,i.name,i.published_at
Bakke_Sitter_2020_Democratic_backsliding_DATA.xlsx,file,https://dataverse.harvard.edu/api/access/datafile/3790211,3790211,"Data for the figures in Bakke and Sitter, 2020, The EU’s Enfants Terribles:  Democratic backsliding in Central Europe since 2010",2020-09-11,MS Excel Spreadsheet,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,16078,08a951c3178860e6e3d3850da4f6bd95,MD5,08a951c3178860e6e3d3850da4f6bd95,"",doi:10.7910/DVN/4A8LOT/TWV0BU, the eu’s enfants terribles democratic backsliding in central europe since 2010,3789875,10.7910/DVN/4A8LOT,"Sitter, Nick; Bakke, Elisabeth, 2020, """"Replication Data for: The EU’s Enfants Terribles: Democratic backsliding in Central Europe since 2010"""", https://doi.org/10.7910/DVN/4A8LOT, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
read.me.rtf,file,https://dataverse.harvard.edu/api/access/datafile/3822742,3822742,"",2020-09-11,Rich Text Format,text/rtf,1988,9f35c88345e3cc3ca1352fa65268e34d,MD5,9f35c88345e3cc3ca1352fa65268e34d,"",doi:10.7910/DVN/IFGSF5/O16UYL, who is open to authoritarian governance within western democracies?,3822739,10.7910/DVN/IFGSF5,"Malka, Ariel; Lelkes, Yphtach; Bakker, Bert; Spivack, Eliyahu, 2020, """"Replication Data for: Who is Open to Authoritarian Governance within Western Democracies?"""", https://doi.org/10.7910/DVN/IFGSF5, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
Dominican_alt_final.tab,file,https://dataverse.harvard.edu/api/access/datafile/3823735,3823735,Alternative dataset (1),2020-09-11,Tab-Delimited,text/tab-separated-values,16085577,5e8c96142aea7fed6f1b6fc28e76af99,MD5,5e8c96142aea7fed6f1b6fc28e76af99,UNF:6:6yfsyDjWdo4Rc71r9WpIsA==,doi:10.7910/DVN/H0TT9U/NGXFZG, the diffusion of urban medieval representation the dominican order as an engine of regime change,3823733,10.7910/DVN/H0TT9U,"Doucette, Jonathan, 2020, """"Replication Data for: The Diffusion of Urban Medieval Representation: The Dominican Order as an Engine of Regime Change"""", https://doi.org/10.7910/DVN/H0TT9U, Harvard Dataverse, V1, UNF:6:fcoCSVuuJsQhUTvAHasEcg== [fileUNF]",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
anes_timeseries_2016.tab,file,https://dataverse.harvard.edu/api/access/datafile/3830321,3830321,Dataset used for the Analysis- 2016 American National Election Study Time Series.,2020-07-17,Tab-Delimited,text/tab-separated-values,21292299,d26a75e2bc62b5cacfa20dbba73054aa,MD5,d26a75e2bc62b5cacfa20dbba73054aa,UNF:6:YRRD7zWS7nA8qmsFl/DcJQ==,doi:10.7910/DVN/FXEJWI/YSBQDR," submerged for some? government visibility, race, and american political trust",3830320,10.7910/DVN/FXEJWI,"Rosenthal, Aaron, 2020, """"Replication Data for: Submerged for Some? Government Visibility, Race, and American Political Trust"""", https://doi.org/10.7910/DVN/FXEJWI, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
Samuels_Thomson_PoP_Data.tab,file,https://dataverse.harvard.edu/api/access/datafile/3841502,3841502,"",2020-09-11,Tab-Delimited,text/tab-separated-values,1775485,2ec59e562854b88da1ec6e24b755e1ab,MD5,2ec59e562854b88da1ec6e24b755e1ab,UNF:6:7QCNnSyvm8yjUmfO9XauUw==,doi:10.7910/DVN/AQJWCG/PPAJFH," lord, peasant... and tractor? agricultural mechanization, moore's thesis and the emergence of democracy",3841500,10.7910/DVN/AQJWCG,"Thomson, Henry; Samuels, David J., 2020, """"Replication Data for: Lord, Peasant... and Tractor? Agricultural Mechanization, Moore's Thesis and the Emergence of Democracy"""", https://doi.org/10.7910/DVN/AQJWCG, Harvard Dataverse, V1, UNF:6:7QCNnSyvm8yjUmfO9XauUw== [fileUNF]",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
Analysis explanation - McDonnell & Ondelli.docx,file,https://dataverse.harvard.edu/api/access/datafile/3869346,3869346,This file describes the analyses conducted and software used.,2020-09-01,MS Word,application/vnd.openxmlformats-officedocument.wordprocessingml.document,17889,5f314344e2305b3ece6c6de4b03b95d2,MD5,5f314344e2305b3ece6c6de4b03b95d2,"",doi:10.7910/DVN/N5PYXZ/HC29ND, the language of right-wing populist leaders not so simple,3869343,10.7910/DVN/N5PYXZ,"McDonnell, Duncan; Ondelli, Stefano, 2020, """"Replication Data for: The Language of Right-wing Populist Leaders: Not So Simple"""", https://doi.org/10.7910/DVN/N5PYXZ, Harvard Dataverse, V1",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
Case_selection.tab,file,https://dataverse.harvard.edu/api/access/datafile/3908084,3908084,For figure A2,2020-09-17,Tab-Delimited,text/tab-separated-values,907,4ce8c05958b09fc01e7a4e51a92ab9e8,MD5,4ce8c05958b09fc01e7a4e51a92ab9e8,UNF:6:SLRJkFKUDlHAHJE5HxFDOw==,doi:10.7910/DVN/D3OC1H/JRSUI0, when does diffusing protest lead to local organization building? evidence from a comparative subnational study of russia’s for fair elections” movement,3908081,10.7910/DVN/D3OC1H,"Dollbaum, Jan Matti, 2020, """"Replication Data for: When does diffusing protest lead to local organization building? Evidence from a comparative subnational study of Russia’s “For fair Elections” movement"""", https://doi.org/10.7910/DVN/D3OC1H, Harvard Dataverse, V1, UNF:6:kvel/zBS5uHxgRdEnhI7Bw== [fileUNF]",perspectives,,"",Perspectives on Politics,2017-12-19T16:22:44Z
Replication data - long.tab,file,https://dataverse.harvard.edu/api/access/datafile/1545210,1545210,Pooled time-series cross-sectional data for all states between 1960 and 2002 for first-differences model with country fixed-effects.,2010-02-23,Tab-Delimited,text/tab-separated-values,2282020,df87d03a887900c7f33e77c9364b70d6,MD5,df87d03a887900c7f33e77c9364b70d6,UNF:5:B/G3VZ8enFVHYXA1xQ/uqQ==,doi:10.7910/DVN/BHU6SP/6U5UCJ," oil, islam, and women",48923,10.7910/DVN/BHU6SP,"Michael L. Ross, 2010, """"Replication data for: Oil, Islam, and Women"""", https://doi.org/10.7910/DVN/BHU6SP, Harvard Dataverse, V1, UNF:5:fsZ56s2dvxP26at+iCdOhg== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
Articles.doc,file,https://dataverse.harvard.edu/api/access/datafile/2441890,2441890,Treatment and Search Environment Articles,2013-07-27,MS Word,application/msword,581120,90d2b980fbb82fea5aaa730b81a6aa74,MD5,90d2b980fbb82fea5aaa730b81a6aa74,"",doi:10.7910/DVN/EGM43G/N2UBBE,reproduction files for a source of bias in public opinion stability,55492,10.7910/DVN/EGM43G,"Druckman, James N.; Jordan Fein; Leeper, Thomas J., 2012, """"Reproduction files for: A Source of Bias in Public Opinion Stability"""", https://doi.org/10.7910/DVN/EGM43G, Harvard Dataverse, V3, UNF:5:esVZKwuUnh5kkpDhxXKLxA== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
Candidate Web Coding Sheet,file,https://dataverse.harvard.edu/api/access/datafile/2327553,2327553,"",2011-12-06,MS Word,application/msword,168960,acde16234aebe7f993452419111b2b0c,MD5,acde16234aebe7f993452419111b2b0c,"",doi:10.7910/DVN/F4NUMR/QZICVL, campaign communications in u.s. congressional elections.,58375,10.7910/DVN/F4NUMR,"James Druckman; Martin Kifer; Michael Parkin, 2011, """"Replication data for: Campaign Communications in U.S. Congressional Elections."""", https://doi.org/10.7910/DVN/F4NUMR, Harvard Dataverse, V2, UNF:5:43CXbcVjigjY6oAz9jLDCg== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
1st stage Final APSR.do,file,https://dataverse.harvard.edu/api/access/datafile/2730701,2730701,1st-stage (firm-level) regression syntax. Produces *matrix files included here.,2015-11-23,Stata Syntax,application/x-stata-syntax,5530,30e6793c0d12a79fd2604284ca34310f,MD5,30e6793c0d12a79fd2604284ca34310f,"",doi:10.7910/DVN/K7292I/VWQUE6,brown earle gehlbach helping hand or grabbing hand? state bureaucracy and privatization effectiveness,2730700,10.7910/DVN/K7292I,"Gehlbach, Scott; Earle, John S.; Brown, J. David, 2015, """"Brown Earle Gehlbach """"Helping Hand or Grabbing Hand? State Bureaucracy and Privatization Effectiveness"""""""", https://doi.org/10.7910/DVN/K7292I, Harvard Dataverse, V1, UNF:6:XWzuHtIjNzfBdsCiQz+P0g== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
bailey_senators_updated.tab,file,https://dataverse.harvard.edu/api/access/datafile/2776501,2776501,"",2016-01-28,Tab-Delimited,text/tab-separated-values,160004,000a7c2994d037aa103fcf1d46e3e7ac,MD5,000a7c2994d037aa103fcf1d46e3e7ac,UNF:6:aCH9BgDxkYRXPKASkPoJCQ==,doi:10.7910/DVN/YMMSIC/Z6QAQL, charles cameron and jonathan p. kastellec. are supreme court nominations a move-the-median game?,2776497,10.7910/DVN/YMMSIC,"Kastellec, Jonathan, 2016, """"Replication Data for: Charles Cameron and Jonathan P. Kastellec. """"Are Supreme Court Nominations a Move-the-Median Game?"""""""", https://doi.org/10.7910/DVN/YMMSIC, Harvard Dataverse, V1, UNF:6:+4cK+Hztio05pXI0cK1zcA== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
competitiveness_analysis.tab,file,https://dataverse.harvard.edu/api/access/datafile/3106900,3106900,"",2018-03-12,Tab-Delimited,text/tab-separated-values,1223983,0e8d4f822764bfd7f00ea6fd6815a231,MD5,0e8d4f822764bfd7f00ea6fd6815a231,UNF:6:FiUNcHedVDsyjZEVRvNsZw==,doi:10.7910/DVN/9ZYFBX/ILMV2B, who punishes extremist nominees?,3106899,10.7910/DVN/9ZYFBX,"Thompson, Daniel M; Hall, Andrew B, 2018, """"Replication Data for: Who Punishes Extremist Nominees?"""", https://doi.org/10.7910/DVN/9ZYFBX, Harvard Dataverse, DRAFT VERSION, UNF:6:YFF3u6+LIQnqyTO7Q5OoDw== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
00_HHK_Documentation.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3345664,3345664,"Description of scripts, datasets, and variables in the dataset.",2019-06-25,Adobe PDF,application/pdf,189010,bb3792f17c21b3243c300665a0f37bec,MD5,bb3792f17c21b3243c300665a0f37bec,"",doi:10.7910/DVN/RRBPUD/IGN49M," wealth, slave ownership, and fighting for the confederacy",3344689,10.7910/DVN/RRBPUD,"Hall, Andrew B.; Huff, Connor; Kuriwaki, Shiro, 2019, """"Replication Data for: Wealth, Slave Ownership, and Fighting for the Confederacy"""", https://doi.org/10.7910/DVN/RRBPUD, Harvard Dataverse, V1, UNF:6:ZNSnDRXjHiU22eOyLa5tzg== [fileUNF]",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
database.do,file,https://dataverse.harvard.edu/api/access/datafile/3835305,3835305,Stata code that processes raw data files and creates a master dataset.,2020-07-24,Stata Syntax,application/x-stata-syntax,61157,e871d8704eee9d65e28ba3a75a81e287,MD5,e871d8704eee9d65e28ba3a75a81e287,"",doi:10.7910/DVN/4M0HEN/CMGOVJ,replication code for the quality of vote tallies causes and consequences,3835302,10.7910/DVN/4M0HEN,"Challú, Cristian; Seira, Enrique; Simpser, Alberto, 2020, """"Replication Code for: """"The Quality of Vote Tallies: Causes and Consequences"""""""", https://doi.org/10.7910/DVN/4M0HEN, Harvard Dataverse, V1",the_review,,"",American Political Science Review Dataverse,2016-09-01T15:58:58Z
DeterminantsofArabOpiniononForeignRelations.spo,file,https://dataverse.harvard.edu/api/access/datafile/2454087,2454087,SPSS Statistical Data Output File,2014-01-08,Unknown,application/octet-stream,206336,a54fff736be52756ba00fccc3ee4c993,MD5,a54fff736be52756ba00fccc3ee4c993,"",doi:10.7910/DVN/2KI03M/RGRPU0,determinants of arab public opinion on foreign relations,55858,10.7910/DVN/2KI03M,"Peter A. Furia; Russell E. Lucas, 2007, """"Determinants of Arab Public Opinion on Foreign Relations"""", https://doi.org/10.7910/DVN/2KI03M, Harvard Dataverse, V2, UNF:5:Ezrq0pk9OUCkrz5lXEXOlg== [fileUNF]",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Weisiger.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3030250,3030250,"",2017-06-20,Adobe PDF,application/pdf,230586,080ec2a86a0aeedcb52f520eb150cb7a,MD5,080ec2a86a0aeedcb52f520eb150cb7a,"",doi:10.7910/DVN/XLVZOI/Q0V8QS,symposium military coalitions and the problem of wartime cooperation,3030249,10.7910/DVN/XLVZOI,"Wolford, Scott, 2017, """"Symposium: Military Coalitions and the Problem of Wartime Cooperation"""", https://doi.org/10.7910/DVN/XLVZOI, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium McCourt.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3030253,3030253,"",2017-06-20,Adobe PDF,application/pdf,499137,a5014dd418be066f2d6aa44f87399706,MD5,a5014dd418be066f2d6aa44f87399706,"",doi:10.7910/DVN/7HQWDJ/RHN4RW,symposium seizing constructivist ground? practice and relational theories,3030251,10.7910/DVN/7HQWDJ,"Nexon, Daniel, 2017, """"Symposium: Seizing Constructivist Ground? Practice and Relational Theories"""", https://doi.org/10.7910/DVN/7HQWDJ, Harvard Dataverse, V2",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Mattes and Rodriguez.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3030313,3030313,"",2017-06-21,Adobe PDF,application/pdf,505800,2a530fb973c6e5024b723b221edc5dde,MD5,2a530fb973c6e5024b723b221edc5dde,"",doi:10.7910/DVN/HGREW1/Y48USY,symposium even dictators have friends autocratic cooperation in the international system,3030312,10.7910/DVN/HGREW1,"Young, Joseph, 2017, """"Symposium: Even Dictators have Friends: Autocratic Cooperation in the International System"""", https://doi.org/10.7910/DVN/HGREW1, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Third Debate.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3031269,3031269,ISQ Symposium Third Debate,2017-06-23,Adobe PDF,application/pdf,321546,f537dcedd494400822b85378fdc4977e,MD5,f537dcedd494400822b85378fdc4977e,"",doi:10.7910/DVN/P1IBFS/04XHLQ,symposium the third debate 25 years later,3031268,10.7910/DVN/P1IBFS,"Jackson, Patrick Thaddeus, 2017, """"Symposium: The """"Third Debate"""" 25 years later"""", https://doi.org/10.7910/DVN/P1IBFS, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
Bush Replication Files.zip,file,https://dataverse.harvard.edu/api/access/datafile/3031758,3031758,"",2017-06-28,ZIP Archive,application/zip,939797,1a31cdb89604f960f21d51cc82be5559,MD5,1a31cdb89604f960f21d51cc82be5559,"",doi:10.7910/DVN/RFB60P/9WYOV9,"symposium providing foreign aid need, self-interest, or something else?",3031756,10.7910/DVN/RFB60P,"Young, Joseph, 2017, """"Symposium: Providing Foreign Aid: Need, Self-Interest, or Something Else?"""", https://doi.org/10.7910/DVN/RFB60P, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Desch and Avey.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3032199,3032199,"",2017-06-29,Adobe PDF,application/pdf,340118,ed8352111d581d255422a787d7efd054,MD5,ed8352111d581d255422a787d7efd054,"",doi:10.7910/DVN/GSFGIV/AGXTSB,symposium the academic and policy worlds reflections on a divide,3032198,10.7910/DVN/GSFGIV,"Jackson, Patrick Thaddeus, 2017, """"Symposium: The Academic and Policy Worlds: Reflections On A Divide"""", https://doi.org/10.7910/DVN/GSFGIV, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Kerner.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3035229,3035229,"",2017-07-08,Adobe PDF,application/pdf,569982,49b0bcf48b1f100f7179b6b67e625337,MD5,49b0bcf48b1f100f7179b6b67e625337,"",doi:10.7910/DVN/9PWWSE/LXHEAG,symposium what do we mean by fdi?,3035228,10.7910/DVN/9PWWSE,"Young, Joseph, 2017, """"Symposium: What Do We Mean by FDI?"""", https://doi.org/10.7910/DVN/9PWWSE, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Reducing Uncertainty.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3035476,3035476,"",2017-07-11,Adobe PDF,application/pdf,186435,0f1bab11c8c5a125bc7b26268df7fd25,MD5,0f1bab11c8c5a125bc7b26268df7fd25,"",doi:10.7910/DVN/OLKEQL/QGL84N,symposium reducing uncertainty in small-n analysis a conversation,3035475,10.7910/DVN/OLKEQL,"ISQ Online Editor, 2017, """"Symposium: Reducing Uncertainty in Small-n Analysis: A Conversation"""", https://doi.org/10.7910/DVN/OLKEQL, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Brigden.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3036082,3036082,"",2017-07-13,Adobe PDF,application/pdf,310854,77d85ccb68f2b08afaf42db76c947892,MD5,77d85ccb68f2b08afaf42db76c947892,"",doi:10.7910/DVN/WUK8AN/7AKEPX,symposium walking with migrants ethnography as method in international relations,3036081,10.7910/DVN/WUK8AN,"Sabaratnam, Meera, 2017, """"Symposium: Walking with Migrants: Ethnography as Method in International Relations"""", https://doi.org/10.7910/DVN/WUK8AN, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Democratic Peace.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3036815,3036815,"",2017-07-18,Adobe PDF,application/pdf,211564,01c99ead0c120ef2ee26da9bb3b5a191,MD5,01c99ead0c120ef2ee26da9bb3b5a191,"",doi:10.7910/DVN/HZMT2S/PH2ARU,symposium an extended debate on the utility of the democratic peace thesis,3036814,10.7910/DVN/HZMT2S,"Combes, M. L. DeRaismes, 2017, """"Symposium: An Extended Debate on the Utility of the Democratic Peace Thesis"""", https://doi.org/10.7910/DVN/HZMT2S, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
BellWolford_Replication_Florea.do,file,https://dataverse.harvard.edu/api/access/datafile/3036900,3036900,"",2017-07-18,Stata Syntax,text/x-stata-syntax,7463,7d6ef7fea98b45f797e3df6c281655a1,MD5,7d6ef7fea98b45f797e3df6c281655a1,"",doi:10.7910/DVN/WY9SUD/UKAQD4,"symposium oil discoveries, shifting power, and civil conflict” a formal and quantitative replication",3036897,10.7910/DVN/WY9SUD,"Young, Joseph, 2017, """"Symposium: “Oil Discoveries, Shifting Power, and Civil Conflict:” A formal and quantitative replication"""", https://doi.org/10.7910/DVN/WY9SUD, Harvard Dataverse, V1, UNF:6:sK/cU7J62o7jtHCFWlaJ8w== [fileUNF]",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
ISQ Symposium Haynes.pdf,file,https://dataverse.harvard.edu/api/access/datafile/3037555,3037555,"",2017-07-21,Adobe PDF,application/pdf,341963,1a167b697e44162f73ec7367dc36843c,MD5,1a167b697e44162f73ec7367dc36843c,"",doi:10.7910/DVN/NQDLRO/GASMBS,symposium the politics of great power retrenchment,3037554,10.7910/DVN/NQDLRO,"Nexon, Daniel, 2017, """"Symposium: The Politics of Great Power Retrenchment"""", https://doi.org/10.7910/DVN/NQDLRO, Harvard Dataverse, V1",isq,,"",International Studies Quarterly Dataverse,2007-09-21T04:00:00Z
