file_in	title	journal	data_count	stat_count	data_bool	stat_bool
10.1086_703419	New takes on who gets what recent research on the politics of social policy provision in latin america	The Journal of Politics	1	4		
10.1093_ia_iix149	Desert kingdoms to global powers the rise of the arab gulf	International Affairs	0	0		
10.1080_13563467.2017.1286639	Putting the 'amsterdam school' in its rightful place a reply to juan ignacio staricco's critique of cultural political economy	New Political Economy	0	3		
10.1057_ap.2014.26	Electoral participation and intergenerational transmission among turkish migrants in western europe	Acta Politica	52	133		1
10.1080_1060586x.2016.1251024	New shop owners in old buildings spatial politics of the apparel industry in kyrgyzstan	Post-Soviet Affairs	8	0		
10.1111_ajps.12521	Policy diffusion the issue-definition stage	American Journal of Political Science	42	14		1
10.1017_s1049096514000092	Forecasting us presidential elections using economic and noneconomic fundamentals	PS: Political Science & Politics	10	11	1	
10.1111_j.1540-5907.2010.00489.x	Is anybody listening Evidence that voters do not respond to european parties' policy statements during elections	American Journal of Political Science	53	54		1
10.1093_poq_nfq073	Global warming"" or ""climate change"" whether the planet is warming depends on question wording	Public Opinion Quarterly	186	18		1
10.1080_10758216.2017.1351304	Police reform in ukraine as institutional bricolage	Problems of Post-Communism	5	2		
10.1016_j.marpol.2013.01.011	Public preferences regarding use and condition of the baltic sea�an international comparison informing marine policy	Marine Policy	67	44	1	
10.1017_lap.2017.2	Lap volume 60 issue 1 cover and back matter	Latin American Politics and Society	0	0		
10.1111_ropr.12191	Blm, the administrative presidency, and policy shifts policy tools affecting oil and gas operations	Review of Policy Research	5	8	1	
10.1111_j.1467-9299.2012.02094.x	America's debt safety-net	Public Administration	14	6	1	
10.1111_mepo.12199	Erdogan's ""new turkey"" slides into turmoil	Middle East Policy	2	0		
10.1017_s1537592713001977	Sinicization and the rise of china civilizational processes beyond east and west. Edited by peter j. Katzenstein. New york routledge, 2012. 296p. $145.00 cloth, $29.95 paper.	Perspectives on Politics	2	3		
10.1017_s0007123412000282	Electoral institutions and the emergence of terrorist groups	British Journal of Political Science	124	164		1
10.1111_twec.12426	Local content requirements versus tariff equivalents how we measure matters	The World Economy	36	13		1
10.1017_s1537592717003541	Agenda crossover the influence of state delegations in congress. By sarah a. Treul. New york cambridge university press, 2017. 170p. $99.99 cloth.	Perspectives on Politics	6	2		
10.1093_ejil_chz071	Human rights in global health rights-based governance for a globalizing world	European Journal of International Law	0	1		
10.1080_09644008.2012.679659	Age, period and cohort effects in the decline of party identification in germany an analysis of a two decade panel study in germany (1992�2009)	German Politics	36	19		1
10.1111_j.1478-9302.2011.00235.x	Is consociational theory the answer to global conflict From the netherlands to northern ireland and iraq	Political Studies Review	0	0		
10.1017_s1537592718001378	Women as wartime rapists beyond sensation and stereotyping. By laura sjoberg. New york new york university press, 2016. 320p. $89.00 cloth, $30.00 paper.	Perspectives on Politics	1	1		
10.1002_j.1538-165x.2011.tb02156.x	Capital ideas the imf and the rise of financial liberalizationby jeffrey m. Chwieroth	Political Science Quarterly	0	0		
10.1080_09668136.2014.990714	List of contributors of regular articles and reviews	Europe-Asia Studies	0	0		
10.1017_s1755773920000302	Epr volume 12 issue 3 cover and back matter	European Political Science Review	0	0		
10.1080_13523260.2015.1061751	Escaping the false dilemma of strategic nuclear and biological deterrence	Contemporary Security Policy	0	1		
10.1177_0305829818808385	Narrating trauma individuals, communities, storytelling	Millennium: Journal of International Studies	0	3		
10.1177_002070201206700306	Canada and the inter-american human rights system	International Journal: Canada's Journal of Global Policy Analysis	0	2		
10.1080_1540496x.2018.1441021	The forward premium in the nord pool power market	Emerging Markets Finance and Trade	125	629		1
10.1111_twec.12409	Public opinion distribution and party competition in us trade policy	The World Economy	0	2		
10.1093_publius_pjy038	Crossing boundaries for intergovernmental management, by robert agranoff	Publius: The Journal of Federalism	0	0		
10.1177_1478929916649613	Radical nostalgia, progressive patriotism and labour's 'english problem'	Political Studies Review	0	0		
10.1093_ia_iiab028	Barriers down how american power and free-flow policies shaped global media	International Affairs	0	0		
10.1080_13629395.2014.966962	Exploiting anarchy violent entrepreneurs and the collapse of libya's post-qadhafi settlement	Mediterranean Politics	0	1		
10.1111_ropr.12295	Scientific advice and administrative traditions the role of chief scientists in climate change adaptation	Review of Policy Research	9	3		
10.1080_09668136.2019.1633132	Fortress russia. Conspiracy theories in post-soviet russia	Europe-Asia Studies	0	0		
10.1017_s1537592715000316	A discussion of melissa schwartzberg's counting the many the origins and limits of supermajority rule	Perspectives on Politics	0	3		
10.1086_692740	The role of the information environment in partisan voting	The Journal of Politics	53	84		1
10.1016_j.jjie.2017.02.004	International financial integration of east asia and pacific	Journal of the Japanese and International Economies	115	31		1
10.1007_s11127-010-9604-y	Local government structure and the quality of minority neighborhoods	Public Choice	178	81		1
10.1162_isec_a_00390			9	2		
10.1332_030557317x14895966143481	Local governance under austerity hybrid organisations and hybrid officers	Policy & Politics	0	1		
10.1086_704700	Governing coalition partners' images shift in parallel but do not converge	The Journal of Politics	58	48		1
10.1016_j.ejpoleco.2015.03.004	Media freedom and democracy in the fight against corruption	European Journal of Political Economy	81	212		1
10.1017_s1743923x17000599	Exploring gender differences in support for rightist parties the role of party and gender ideology	Politics & Gender	55	163		1
10.1057_s41269-018-0082-4	Impeding constitutional amendments why are entrenchment clauses codified in contemporary constitutions	Acta Politica	113	766		1
10.1017_s104909651100076x	Challenging the constitution convening a mock constitutional convention for american government students	PS: Political Science & Politics	0	24		
10.1111_jcms.12014	Does the 'european grouping of territorial co-operation' promote multi-level governance within the european union	JCMS: Journal of Common Market Studies	2	3		
10.1017_s0007123418000376	Development or rent seeking How political influence shapes public works provision in india	British Journal of Political Science	67	246		1
10.1111_ajps.12380	Narcissism and political orientations	American Journal of Political Science	26	53		1
10.1080_14742831003603349	Local to global activism the movement to protect the rights of refugees and asylum seekers	Social Movement Studies	0	2		
10.2753_ree1540-496x480300	Introduction	Emerging Markets Finance and Trade	0	1		
10.1080_13510347.2012.668438	Explaining (and re-explaining) political change in the middle east during the arab spring trajectories of democratization and of authoritarianism in the maghreb	Democratization	0	0		
10.1080_13533312.2014.995904	The regional dimension of statebuilding interventions	International Peacekeeping	6	1	1	
10.1093_ia_iiz222	Central asia in the era of sovereignty the return of tamerlane	International Affairs	0	0		
10.1080_1540496x.2015.1039864	Loan portfolio loss models with more flexible asymmetry and tails for korean banks and a comparison of their regional concentrations	Emerging Markets Finance and Trade	32	178		1
10.1080_03003930.2012.755462	Why does citizens' knowledge of new policy vary between municipalities The case of the social support act	Local Government Studies	30	16		1
10.1177_0010414019843548	Democracy and the entanglement of political parties and the state party�state relations in 20th-century france, italy, and germany	Comparative Political Studies	1	5		
10.1111_ips.12005	Toward trans-gendering international relations	International Political Sociology	0	4		
10.1111_j.1541-0072.2009.00340.x	Editors' introductionpolicy studies journalfebruary 2010	Policy Studies Journal	1	0		
10.1016_j.ejpoleco.2018.01.001	Us aid, us educated leaders and economic ideology	European Journal of Political Economy	114	514		1
10.1111_jcms.13059	Negotiating brexit the cultural sources of british hard bargaining	JCMS: Journal of Common Market Studies	1	1		
10.1017_s0022381610000836	When candidates value good character a spatial model with applications to congressional elections	The Journal of Politics	64	112		1
10.1177_1465116514553487	Austerity and credibility in the eurozone	European Union Politics	37	258		1
10.1016_j.marpol.2015.07.008	Review of shark legislation in canada as a conservation tool	Marine Policy	17	0		
10.1177_0738894215614504	What explains ethnic organizational violence Evidence from eastern europe and russia	Conflict Management and Peace Science	86	153		1
10.1080_13608746.2011.598363	Turkish accession and defining the boundaries of nationalism and supranationalism discourses in the european commission	South European Society and Politics	1	2		
10.1080_07036337.2018.1487961	Wipeout Entrepreneurship, policy interaction and the eu's 2030 renewable energy target	Journal of European Integration	12	2		
10.1017_s1537592720001425	Empire's labor the global army that supports u.s. Wars. By adam moore. Ithaca, ny cornell university press, 2019. 264p. $19.95 paper.	Perspectives on Politics	0	1		
10.1016_j.ejpoleco.2018.04.002	Resource rents and populism in resource-dependent economies	European Journal of Political Economy	31	192		1
10.1080_14754835.2019.1629889	Political functions of impunity in the war on terror evidence from afghanistan	Journal of Human Rights	0	7		
10.1111_pops.12071	Narratives and social identity formation among somalis and post-enlargement poles	Political Psychology	5	0		
10.1177_1465116512465133	Challenges to liberal intergovernmentalism	European Union Politics	15	43		1
10.1080_14782804.2014.884809	Nostradamus how an obscure renaissance astrologer became the modern prophet of doom	Journal of Contemporary European Studies	3	0		
10.1016_j.marpol.2014.01.021	Can management effort be predicted for marine protected areas New considerations for network design	Marine Policy	40	24		1
10.1111_psj.12226	Does policy diffusion need space Spatializing the dynamics of policy diffusion	Policy Studies Journal	51	31		1
10.1162_glep_x_00248			0	4		
10.1111_jcms.12635	The religious foundations of the european crisis	JCMS: Journal of Common Market Studies	3	4		
10.1080_09668131003737043	Books received	Europe-Asia Studies	0	0		
10.1080_03003930.2018.1429071	Local government in england centralisation, autonomy and control, by colin copus, mark roberts and rachel wall, london, palgrave macmillan, 2017, 206 pp., �59.99 (hardback), �47.99 (ebook), isbn 978-1-137-26417-6 (hardback); 978-1-137-26418-3 (ebook)	Local Government Studies	0	0		
10.1080_09592296.2013.817936	Lighting the fire brazil's energy diplomacy, 2003�2010	Diplomacy & Statecraft	3	0		
10.1080_13523260.2014.928088	Notes on contributors	Contemporary Security Policy	0	0		
10.1017_s1049096518000598	Introduction to gender in the journals, continued evidence from five political science journals	PS: Political Science & Politics	0	0		
10.1017_s1049096519002178	Law and public policy a gap between theory and teaching	PS: Political Science & Politics	8	5	1	
10.1111_twec.12381	Cross-border travellers and parallel trade implications for asian economies	The World Economy	4	19		
10.1080_09644016.2018.1471192	Democracy in the woods environmental conservation and social justice in india, tanzania and mexico, by prakash kashwan, new york, oxford university press, 2017, xx + 311 pp., index, $78 (hardback), isbn 9780190637385	Environmental Politics	4	0		
10.1016_j.spacepol.2018.06.001	Climbing the space technology ladder in the south the case of argentina	Space Policy	12	8	1	
10.1017_s1537592719003529	Conservative innovators how states are challenging federal power. By ben merriman. Chicago university of chicago press, 2019. 232p. $105.00 cloth, $32.50 paper.	Perspectives on Politics	0	0		
10.1177_0968344511425719	Notes on contributors	War in History	0	0		
10.1111_ropr.12087	Introduction	Review of Policy Research	0	2		
10.1017_s0260210515000340	Governing the world at a distance the practice of global benchmarking	Review of International Studies	7	17	1	
10.1017_s0022381611000466	Providential partners Tocqueville's take on equality and centralization	The Journal of Politics	4	1		
10.1177_1354066109346891	Bilateralism or multilateralism The political economy of avoiding international double taxation	European Journal of International Relations	23	89		1
10.1016_j.electstud.2016.03.001	Forecasting proportional representation elections from non-representative expectation surveys	Electoral Studies	47	13	1	
10.1093_ijpor_edy032	How cross-cutting news exposure relates to candidate issue stance knowledge, political polarization, and participation the moderating role of political sophistication	International Journal of Public Opinion Research	52	47		1
10.1017_s1537592711003525	Democracy against the state marx and the machiavellian moment. By miguel abensour. Translated by max blechman and martin breaugh. Malden, ma polity, 2011. 200p. $64.95 cloth, $22.95 paper.	Perspectives on Politics	2	0		
10.1111_twec.12791	Foreign competition and quality sorting overlaps in us and chinese exports	The World Economy	110	323		1
10.1525_curh.2012.111.747.264	Inequality the russian experience	Current History	4	0		
10.1080_10584609.2019.1687626	All the news that's fit to click the economics of clickbait media	Political Communication	19	1		
10.1093_hrlr_ngr018	Catherine dauvergne, making people illegal what globalization means for migration and law	Human Rights Law Review	0	1		
10.1093_ia_iix134	Crisis and institutional change in regional integration	International Affairs	0	2		
10.1093_publius_pjz025	Courts in federal countries federalists or unitarists Edited by nicholas aroney and john kincaid	Publius: The Journal of Federalism	1	0		
10.1111_j.1541-0072.2011.00406.x	Capturing curiosity using internet search trends to measure public attentiveness	Policy Studies Journal	45	35		1
10.1017_s0022381609990685	Citizens, courts, and confirmations positivity theory and the judgments of the american people. By james l. Gibson and gregory a. Caldeira. (Princeton princeton university press, 2009.)	The Journal of Politics	2	0		
10.1016_j.electstud.2012.09.004	Questioning generational replacement. An age, period and cohort analysis of electoral volatility in the netherlands, 1971�2010	Electoral Studies	52	115		1
10.1080_19460171.2010.545516	Editorial board	Critical Policy Studies	0	0		
10.1177_0032321716684356	Advocacy strategies in global governance inside versus outside lobbying	Political Studies	82	118		1
10.1080_13523260.2015.1061768	Altering the playing field the u.s. Redefinition of the use-of-force	Contemporary Security Policy	0	3		
10.1017_s0003055420000581	Psr volume 114 issue 3 cover and front matter	American Political Science Review	0	0		
10.1111_padm.12362	Rethinking scale in public administration scalecraft and frontline work in england's localism agenda	Public Administration	1	0		
10.1111_rego.12038	Courage, regulatory responsibility, and the challenge of higher-order reflexivity	Regulation & Governance	2	9		
10.1111_1758-5899.12157	Possible 'contributions' of european energy intensive industries to the global climate agreement	Global Policy	7	1		
10.1016_j.marpol.2017.04.017	Global seafood trade flows and developing economies insights from linking trade and production	Marine Policy	32	2	1	
10.1162_glep_a_00186			0	0		
10.1017_lap.2020.18	Conditional accountability for the economy, insecurity, and corruption across latin american party systems	Latin American Politics and Society	60	395		1
10.1080_1060586x.2014.886359	Legality and violence in russia an introduction	Post-Soviet Affairs	0	0		
10.1016_j.marpol.2017.11.019	Implications of the convention on the conservation and management of pollock resources in the central bering sea for the management of fisheries in the central arctic ocean	Marine Policy	10	0		
10.1007_s11558-014-9193-5	Multilateral determinants of regionalism revisited	The Review of International Organizations	151	2652		1
10.1086_682389	Legislative bargaining with endogenous rules	The Journal of Politics	22	74		1
10.1016_j.polgeo.2017.03.004	Gaps in chinese geopolitical research	Political Geography	0	2		
10.1080_09644008.2011.606314	Contesting europe, or germany's place in europe European integration and the eu policies of the grand coalition government in the mirror of parliamentary debates in the bundestag	German Politics	45	3		1
10.1016_j.marpol.2021.104434	Transboundary cooperation and mechanisms for maritime spatial planning implementation. Simnorat project	Marine Policy	33	8	1	
10.1177_0032321719854303	Associations in social contract theory toward a pluralist contractarianism	Political Studies	0	9		
10.1080_09700161.2014.980546	Forged in crisis india and the united states since 1947 by rudra chaudhuri	Strategic Analysis	0	2		
10.1162_jcws_r_00290			3	2		
10.1016_j.ejpoleco.2017.11.004	Give a fish or teach fishing Partisan affiliation of u.s. governors and the poverty status of immigrants	European Journal of Political Economy	323	854		1
10.1111_pops.12464	In politics we trust�or not Trusting and distrusting demonstrators compared	Political Psychology	118	362		1
10.1093_pan_mpr031	Statistical analysis of endorsement experiments measuring support for militant groups in pakistan	Political Analysis	48	198		1
10.1111_j.1541-1338.2010.00473_1.x			0	0		
10.1093_ia_iiy134	Abstracts	International Affairs	0	0		
10.1016_j.marpol.2020.104101	Working time limits at sea, a hundred-year construction	Marine Policy	5	2		
10.1177_0010414013509573	Global private regimes, domestic public law	Comparative Political Studies	75	94		1
10.1016_j.electstud.2014.03.003	From voter id to party id how political parties affect perceptions of election fraud in the u.s.	Electoral Studies	43	114		1
10.1017_s1743923x10000541	Women who win social backgrounds, paths to power, and political ambition in latin american legislatures	Politics & Gender	83	44		1
10.1177_1354068816688362	Ruling divided	Party Politics	104	405		1
10.1016_j.ejpoleco.2020.101894	On the political economy of minority rights. Three ways to manipulate a minority goals, rules, and border poles	European Journal of Political Economy	96	23		1
10.1007_s11127-019-00696-2	Applying regression discontinuity designs to american political development	Public Choice	48	91		
10.1017_s1537592710001325	Democracy and distrust	Perspectives on Politics	0	0		
10.1093_irap_lcx016	Contested american hegemony and regional order in postwar asia the case of southeast asia treaty organization	International Relations of the Asia-Pacific	3	6		
10.5305_amerjintelaw.107.2.0410	Pringle v. Ireland. Case c-370/12	American Journal of International Law	0	6		
10.1080_1540496x.2015.1103120	Corporate governance and mergers and acquisitions performance in banks evidence under the special regulatory environment in taiwan	Emerging Markets Finance and Trade	23	58		1
10.1111_1758-5899.12067	Democracy or stability European approaches to justice in peace and transitional processes	Global Policy	0	0		
10.1007_s11127-015-0280-9	Strategic behavior by federal agencies in the allocation of public resources	Public Choice	48	149		1
10.1016_j.postcomstud.2014.04.010	Inflation targeting at the crossroads evidence from post-communist economies during the crisis	Communist and Post-Communist Studies	91	812		1
10.1093_ia_iiz107	Globalists the end of empire and the birth of neoliberalism	International Affairs	0	0		
10.1017_s1049096511000734	Of publishable quality ideas for political science seminar papers	PS: Political Science & Politics	39	20		
10.1017_s0260210511000027	From rivalry to partnership Critical reflections on anglo-french cooperation in africa	Review of International Studies	11	4		
10.1162_jcws_r_00116			1	5		
10.1162_isec_a_00099			4	2		
10.1017_s0022381610000769	Building party systems in developing democracies. By allen hicken. (Cambridge university press, 2009.)	The Journal of Politics	2	3		
10.1017_s0022381612000734	Becoming a candidate political ambition and the decision to run for office. By jennifer l. Lawless. (Cambridge university press, 2012.)	The Journal of Politics	3	2		
10.1080_09668136.2015.1076114	International organizations and internal conditionality. Making norms matter	Europe-Asia Studies	0	2		
10.1017_s0260210513000399	Domestic legitimacy politics and varieties of regionalism in east asia	Review of International Studies	4	3		
10.1017_s1537592713002739	Wars of plunder conflicts, profits and the politics of resources. By philippe le billon. New york columbia university press, 2012. 288p. $30.00. - petro-aggression when oil causes war. By jeff d. Colgan. New york cambridge university press, 2013. 324p. $34.99. - the race for what's left the global scramble for the world's last resources. By michael t. Klare. New york picador, 2013. 320p. $27.00 cloth, $17.00 paper.	Perspectives on Politics	7	5		
10.1093_publius_pjt009	Shared rule in federal political systems conceptual lessons from subnational switzerland	Publius: The Journal of Federalism	59	5	1	
10.1007_s11109-011-9166-9	When do the ends justify the means Evaluating procedural fairness	Political Behavior	35	74		1
10.1111_twec.12910	Reassessing the foreign ownership wage premium in germany	The World Economy	104	823		1
10.1016_j.ejpoleco.2011.06.006	Do term limits affect fiscal policy choices	European Journal of Political Economy	94	494		1
10.1111_twec.12026	Mind the gender wage gap - the impact of trade and competition on sectoral wage differences	The World Economy	64	2449		1
10.1017_s104909651400064x	Washington insider	PS: Political Science & Politics	2	0		
10.1017_s1531426x00002661	Ksenija bilbija and leigh a. Payne, eds., accounting for violence marketing memory in latin america. Durham duke university press, 2011. Photographs, bibliography, index, 424 pp.; hardcover $89.95, paperback $24.95.	Latin American Politics and Society	0	0		
10.1016_j.polgeo.2019.102059	Rebel resource strategies in civil war revisiting diamonds in sierra leone	Political Geography	7	0	1	
10.1017_s1537592720002716	Dangerous counsel accountability and advice in ancient greece. By matthew landauer. Chicago chicago university press, 2019. 256p. $90.00 cloth, $30.00 paper.	Perspectives on Politics	0	1		
10.1016_j.electstud.2017.05.001	Masters of their fate Explaining mps' re-candidacy in the long run the case of italy (1987�2013)	Electoral Studies	55	151		1
10.1080_13523260.2019.1698182	Under the guise of resilience the eu approach to migration and forced displacement in jordan and lebanon	Contemporary Security Policy	9	2		
10.1177_0002716213500454	Evaluating the effects of the great recession	The ANNALS of the American Academy of Political and Social Science	20	2		
10.1017_s1537592710001696	Choosing to lead understanding congressional foreign policy entrepreneurs. By ralph g. Carter and james m. Scott. Durham, nc duke university press, 2009. 312p. $84.95 cloth, $23.95 paper.	Perspectives on Politics	0	0		
10.2753_ppc1075-8216570505	News and notes	Problems of Post-Communism	0	1		
10.1093_ia_iiy027	Leaving (north-east) asia Japan's southern strategy	International Affairs	16	2	1	
10.1093_isp_ekx014	Beyond the lecture hall skills building for political science students from a rural south african university	International Studies Perspectives	3	2		
10.1080_09557571.2020.1838197	Letter from the editors	Cambridge Review of International Affairs	0	0		
10.1080_09644016.2019.1625144	Climate politics in small european states	Environmental Politics	13	2		
10.1007_s11109-016-9366-4	Explaining public support for counterproductive homelessness policy the role of disgust	Political Behavior	32	29		1
10.1017_s1474745618000058	The treatment of regulatory convergence in preferential trade agreements	World Trade Review	0	0		
10.1017_s1049096514001978	Request for proposals for editor, american political science review	PS: Political Science & Politics	0	0		
10.1017_s1537592719002731	Sentientist politics a theory of global inter-species justice. By alasdair cochrane. New york oxford university press, 2018. 176p. $80.00 cloth.	Perspectives on Politics	0	0		
10.1080_00908320.2015.1054746	Legal status of the northern sea route and legislation of the russian federation a note	Ocean Development & International Law	0	0		
10.1017_s1537592714002102	Pps volume 12 issue 4 cover and back matter	Perspectives on Politics	0	2		
10.1007_s11109-010-9124-y	Is there backlash to social pressure A large-scale field experiment on voter mobilization	Political Behavior	98	146		1
10.1017_s0007123415000356	Political orientation, information and perceptions of election fraud evidence from russia	British Journal of Political Science	61	29		1
10.1162_jcws_a_00137			4	8		
10.1017_lap.2019.52	Paula mu�oz, buying audiences clientelism and electoral campaigns when parties are weak. New york cambridge university press, 2019. Figures, tables, appendixes, bibliography, index, 314 pp.; hardcover $105, ebook $84.	Latin American Politics and Society	1	0		
10.1111_twec.12609	Measuring the role of the 1959 revolution on cuba's economic performance	The World Economy	86	829		1
10.1177_0020702018794199	Dominion of race rethinking canada's international history by laura madokoro, francine mckenzie, and david meren, eds.	International Journal: Canada's Journal of Global Policy Analysis	0	0		
10.1162_jcws_a_00473			0	1		
10.1080_14650045.2019.1544396	Introduction the rise of geopolitics in the eu's approach in its eastern neighbourhood	Geopolitics	2	1		
10.1017_s0260210517000407	African resistance to the international criminal court halting the advance of the anti-impunity norm	Review of International Studies	5	9		
10.1016_j.marpol.2015.09.025	An ecosystem approach to small-scale co-managed fisheries the yellow clam fishery in uruguay	Marine Policy	39	11		1
10.1093_publius_pjs039	In memoriam	Publius: The Journal of Federalism	0	0		
10.1080_13608746.2014.984384	Campaign individualisation before and after the bailout a comparison between greece and portugal	South European Society and Politics	27	173		1
10.1017_s0003055419000509	Representative democracy as defensible epistocracy	American Political Science Review	0	4		
10.1017_s1537592712001247	Congress in black and white race and representation in washington and at home. By christian r. Grose. New york cambridge university press, 2011. 256p. $24.99.	Perspectives on Politics	3	0		
10.1111_gove.12042	The security governance of regional organizations edited by emil josephkirchner and robertodom�nguez, eds. London routledge, 2011. 368 pp. $49.95 (paper).	Governance	0	2		
10.1093_jopart_mut028	Sorting through the role of representation in bureaucracy	Journal of Public Administration Research and Theory	43	52		1
10.1016_j.marpol.2014.08.011	Japan<U+05F3>s whaling following the international court of justice ruling brave new world � or business as usual	Marine Policy	1	1		
10.1111_ajps.12468	Cultivating clients reputation, responsiveness, and ethnic indifference in india's slums	American Journal of Political Science	93	47		1
10.1080_09700161.2010.501588	Internal security the indian way	Strategic Analysis	0	0		
10.1111_pafo.12146	A role for india in the korean peace process contemplating non-realist approaches to broaden relations with the korean peninsula	Pacific Focus	2	6		
10.1016_j.marpol.2011.10.016	Management of the precious coral fishery in taiwan progress and perspectives	Marine Policy	61	3	1	
10.1177_0967010614557884	Constructing resilience through security and surveillance the politics, practices and tensions of security-driven resilience	Security Dialogue	8	7		
10.1017_s1537592710002884	Dominion from sea to sea pacific ascendancy and american power. By bruce cumings. New haven yale university press, 2009. 672p. $38.00.	Perspectives on Politics	0	1		
10.1111_1475-6765.12123	Coupling citizens and elites in deliberative systems the role of institutional design	European Journal of Political Research	1	2		
10.1177_0738894215616408	Grasping the scientific evidence the contractualist peace supersedes the democratic peace	Conflict Management and Peace Science	87	132		1
10.1177_0967010614552548	From 'fearing' to 'empowering' climate refugees governing climate-induced migration in the name of resilience	Security Dialogue	0	3		
10.1111_jcms.13031	Europeanization as the reterritorialization of the state towards conceptual clarification	JCMS: Journal of Common Market Studies	5	2		
10.1111_j.1467-9299.2012.02055.x	How information matters networks and public policy innovation - by kathleen hale	Public Administration	0	0		
10.1086_704787	Income inequality and congressional republican position taking, 1913�2013	The Journal of Politics	37	6		1
10.1111_twec.12607	Macroeconomic policy cooperation and the g20	The World Economy	128	10	1	
