file_in,title,context
10.1007_s10290-019-00365-y,"Machine imports, technology adoption, and local spillovers","ion jel classification r12 · f14 · d22 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00365​-y) contains supplementary material, which is available to authorized users. * péter harasztosi harasztosi@gmail.com 1 central european university, hungarian ac"
10.1007_s10290-019-00371-0,Export and productivity in global value chains: comparative evidence from latvia and estonia,"uggests that lbe is far from a general electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-019-00371​-0) contains supplementary material, which is available to authorized users. * olegs tkacevs olegs.tkacevs@bank.lv extended author information available on the "
10.1007_s10290-020-00374-2,"Globalization, the skill premium, and income distribution: the role of selection into entrepreneurship","ip council is gratefully acknowledged. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00374​-2) contains supplementary material, which is available to authorized users. extended author information available on the last page of the article 634 m. xu 1 3"
10.1007_s10290-020-00380-4,Wage response to global production links: evidence for workers from 28 european countries (2005�2014),"emarks helped us to improve the paper. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00380​-4) contains supplementary material, which is available to authorized users. * aleksandra parteka aparteka@zie.pg.gda.pl extended author information available o"
10.1007_s10290-020-00381-3,The financial costs of the united states-china trade tensions: evidence from east asian stock markets,"ntricacy of value chains in east asia. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00381​-3) contains supplementary material, which is available to authorized users. * francesca de nicola fdenicola@worldbank.org 1 world bank, 1818 h street nw, washi"
10.1007_s10290-020-00382-2,Exchange rate pass-through to import prices: accounting for changes in the eurozone trade structure,"n for helpful remarks and suggestions. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00382​-2) contains supplementary material, which is available to authorized users. * valérie mignon valerie.mignon@parisnanterre.fr antonia lópez‑villavicencio alopez"
10.1007_s10290-020-00383-1,Do links between banks matter for bilateral trade? Evidence from financial crises,"sification g21 · f14 · f30 · g30 · l20 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00383​-1) contains supplementary material, which is available to authorized users. * stefano federico stefano.federico@bancaditalia.it silvia del prete silvia.delpret"
10.1007_s10290-020-00386-y,Learning by supplying and competition threat," royalty payment · knowledge intensity electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00386​-y) contains supplementary material, which is available to authorized users. * alireza naghavi alireza.naghavi@unibo.it yi‑fan chen yfchen@smu.edu.sg shin‑kun p"
10.1007_s10290-020-00388-w,Sectoral allocation and macroeconomic imbalances in emu,"l classification f32 · f34 · f36 · f45 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00388​-w) contains supplementary material, which is available to authorized users. * niels gilbert n.d.gilbert@dnb.nl sebastiaan pool s.pool@dnb.nl 1 de nederlandsche"
10.1007_s10290-020-00390-2,Does backward participation in global value chains affect countries' current account position?,"i for helpful remarks and suggestions. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00390​-2) contains supplementary material, which is available to authorized users. * valérie mignon valerie.mignon@parisnanterre.fr antonia lópez‑villavicencio alopez"
10.1007_s10290-020-00391-1,Understanding economic openness: a review of existing measures,"terms like ‘trade openness’, ‘economic electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00391​-1) contains supplementary material, which is available to authorized users. * claudius gräbner claudius@claudius‑graebner.com 1 institute for the comprehensive"
10.1007_s10290-020-00393-z,Brexit referendum's impact on the financial markets in the uk,"ess of the outcome and the duration of electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00393​-z) contains supplementary material, which is available to authorized users. * nikolaos stoupos nikostoupos@gmail.com apostolos kiohos akiohos@uom.gr; akiohos@o"
10.1007_s10290-020-00397-9,Tariff scheme choice,"h01518. all remaining errors are ours. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00397​-9) contains supplementary material, which is available to authorized users. * taiyo yoshimi yoshimi@tamacc.chuo‑u.ac.jp kazunobu hayakawa kazunobu_hayakawa@ide"
10.1007_s10290-020-00400-3,The employment and wage effects of export vat rebates: evidence from china,"l classification f14 · f16 · h32 · j23 electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00400​-3) contains supplementary material, which is available to authorized users. * bo gao b.gao@lboro.ac.uk 1 school of business and economics, loughborough univers"
10.1007_s10290-020-00402-1,Global migration in the twentieth and twenty-first centuries: the unstoppable force of demography,"ration trends” (convention 18/23-091). electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1029​ 0-020-00402​-1) contains supplementary material, which is available to authorized users. extended author information available on the last page of the article 418 t. h. dao"
10.1007_s10308-018-00532-0,What are the factors behind the successful eu-china cooperation on the subnational level? Case study of the lodzkie region in poland,"s://doi.org/10.1007/s10308-018-00532-0 electronic supplementary material the online version of this article (https://doi.org/10.1007/s10308-018- 00532-0) contains supplementary material, which is available to authorized users. * tomasz kamiński tkaminski@uni.lodz.pl 1 faculty of international and political studi"
10.1007_s10308-019-00534-6,Transfer of japanese-style management to the czech republic: the case of japanese manufacturing firms,"s://doi.org/10.1007/s10308-019-00534-6 electronic supplementary material the online version of this article (https://doi.org/10.1007/s10308-019- 00534-6) contains supplementary material, which is available to authorized users. * kaoru natsuda natsuda@apu.ac.jp jan sýkora sykoraj@gmail.com jiří blažek jiri.blazek"
10.1007_s10308-020-00590-3,European union and the fight against terrorism: a differentiated integration theory perspective,"s://doi.org/10.1007/s10308-020-00590-3 electronic supplementary material the online version of this article (https://doi.org/10.1007/s10308-020- 00590-3) contains supplementary material, which is available to authorized users. * oldrich bures obures@alumni.nd.edu; oldrich.bures@mup.cz sebastian bätz baetz.sebast"
10.1007_s10784-017-9381-x,Countries start to explain how their climate contributions are fair: more rigour needed,"etermined contributions (ndcs). absent electronic supplementary material the online version of this article (https://doi.org/10.1007/s10784-017- 9381-x) contains supplementary material, which is available to authorized users. & harald winkler harald.winkler@uct.ac.za 1 energy research centre, university of cape "
10.1007_s10784-018-09428-1,Sustainability labelling as a tool for reporting the sustainable development impacts of climate actions relevant to article 6 of the paris agreement,"operative approaches · paris agreement electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-018-09428​-1) contains supplementary material, which is available to authorized users. * fatemeh bakhtiari fatebak@dtu.dk extended author information available on the las"
10.1007_s10784-018-9391-3,The self-selection of democracies into treaty design: insights from international environmental agreements,"l. those environmental matters require electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-018-9391-3) contains supplementary material, which is available to authorized users. * tobias böhmelt tbohmelt@essex.ac.uk edita butkutė edi.btk@gmail.com 1 department of"
10.1007_s10784-018-9405-1,"The mismatch between the in-country determinants of technology transfer, and the scope of technology transfer initiatives under the united nations framework convention on climate change","m · development aid for climate change electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-018-9405-1) contains supplementary material, which is available to authorized users. * daniel puig dapu@dtu.dk james arthur haselip jhas@dtu.dk fatemeh bakhtiari fatebak@"
10.1007_s10784-018-9410-4,Deliberative multi-actor dialogues as opportunities for transformative social learning and conflict resolution in international environmental negotiations," · transformative governance · swedbio electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-018-9410-4) contains supplementary material, which is available to authorized users. * thomas hahn thomas.hahn@su.se extended author information available on the last pag"
10.1007_s10784-018-9425-x,The global stocktake: design lessons for a new review and ambition mechanism in the international climate regime,"tes’ motivators for treaty compliance. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-018-9425-x) contains supplementary material, which is available to authorized users. * manjana milkoreit mmilkore@purdue.edu 1 department of political science, purdue uni"
10.1007_s10784-019-09456-5,Identity and equal treatment in negative externality agreements,"reement wto	 world trade organization electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-019-09456​-5) contains supplementary material, which is available to authorized users. * anna a. klis aklis@niu.edu 1 department of economics, northern illinois universit"
10.1007_s10784-020-09476-6,Access and allocation in global biodiversity governance: a review,"nservation · benefit-sharing · justice electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-020-09476​-6) contains supplementary material, which is available to authorized users. * brendan coolsaet brendan.coolsaet@univ‑catholille.fr 1 european school of politic"
10.1007_s10784-020-09482-8,Determinants of successful delivery by non-state actors: an exploratory study,"e actors, roger and dauvergne refer to electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-020-09482​-8) contains supplementary material, which is available to authorized users. * daniel puig dapu@dtu.dk fatemeh bakhtiari fatebak@dtu.dk 1 technical university o"
10.1007_s10784-020-09490-8,The effectiveness of soft law in international environmental regimes: participation and compliance in the hyogo framework for action,"ster governance · institutional design electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-020-09490​-8) contains supplementary material, which is available to authorized users. * maximilian s. t. wanner maximilian.wanner@statsvet.uu.se 1 department of governme"
10.1007_s10784-020-09491-7,Explicit targets and cooperation: regional fisheries management organizations and the sustainable development goals,"egional organizations · united nations electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-020-09491​-7) contains supplementary material, which is available to authorized users. * bianca haas bianca.haas@utas.edu.au 1 institute for marine and antarctic studies,"
10.1007_s10784-020-09507-2,The risk of carbon leakage in global climate agreements,"g · climate policy · carbon monitoring electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-020-09507​-2) contains supplementary material, which is available to authorized users. * nicolai baumert nicolai.baumert@ekh.lu.se 1 department of political science, lund"
10.1007_s10784-020-09512-5,"Assessment framework of actor strategies in international river basin management, the case of deltarhine","ns economic commission for europe) and electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1078​ 4-020-09512​-5) contains supplementary material, which is available to authorized users. * tobias renner trenner@brabant.nl extended author information available on the las"
10.1007_s11109-009-9094-0,"Clearer cues, more consistent voters: a benefit of elite polarization","ctual prompts seen by survey respondents, see the supplemental materials available at the author’s website [www.sas. upenn.edu/*mleven]. 116 polit behav (2010) 32:111–131 123 the only difference between the moderate and polarized elites conditions in fig. 1 is the degree of elite polarization. consistent with "
10.1007_s11109-016-9385-1,"Can political participation prevent crime? Results from a field experiment about citizenship, participation, and criminality","material, which is available to authorized users. replication materials data and supporting materials are available at http://huber.research.yale.edu. & gregory a. huber gregory.huber@yale.edu alan s. gerber alan.gerber@yale.edu daniel r. biggers daniel.biggers@ucr.edu david j. hendry d.hendry@lse.ac.uk 1 department of po"
10.1007_s11109-017-9437-1,Does the ideological proximity between candidates and voters affect voting in u.s. House elections?,"tation in the u.s. house: 2004–2012.’’ electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 017-9437-1) contains supplementary material, which is available to authorized users. & chris tausanovitch ctausanovitch@ucla.edu 1 department of political science, ucla, lo"
10.1007_s11109-017-9438-0,"Electoral confidence, overconfidence, and risky behavior: evidence from a study with elected politicians","ociated with risky behavior in office. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 017-9438-0) contains supplementary material, which is available to authorized users. & lior sheffer lior.sheffer@utoronto.ca peter loewen peter.loewen@utoronto.ca 1 departm"
10.1007_s11109-017-9441-5,"Policy and blame attribution: citizens' preferences, policy reputations, and policy surprises","model entails unintuitive revisions to electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 017-9441-5) contains supplementary material, which is available to authorized users. & raanan sulitzeanu-kenan raanan.s-k@mail.huji.ac.il 1 political science department, fe"
10.1007_s11109-017-9442-4,Measuring preferences for divided government: some americans want divided government and vote to create it,"e significantly more likely than other electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 017-9442-4) contains supplementary material, which is available to authorized users. & dean lacy dean.lacy@dartmouth.edu emerson m. s. niou niou@duke.edu philip paolino pao"
10.1007_s11109-018-09520-x,"Mind this gap, too: political orientations of people with disabilities in europe"," trust · political inequality · europe electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-09520​-x) contains supplementary material, which is available to authorized users. * stefanie reher stefanie.reher@strath.ac.uk 1 university of strathclyde, mccance b"
10.1007_s11109-018-09523-8,"Contentious activities, disrespectful protesters: effect of protest context on protest support and mobilization across ideology and authoritarianism","ffect policy and shape public opinion, electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-09523​-8) contains supplementary material, which is available to authorized users. * raynee sarah gutting raynee.sarah@gmail.com 1 department of government, essex pat"
10.1007_s11109-018-9444-x,Does intolerance dampen dissent? Macro-tolerance and protest in american metropolitan areas,"vel regression with poststratification electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9444-x) contains supplementary material, which is available to authorized users. & christopher claassen christopher.claassen@glasgow.ac.uk james l. gibson jgibson@wustl"
10.1007_s11109-018-9448-6,"Compulsory voting rules, reluctant voters and ideological proximity voting","land, which varies across cantons. our electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9448-6) contains supplementary material, which is available to authorized users. & ruth dassonneville ruth.dassonneville@umontreal.ca fernando feitosa fernando.feitosa."
10.1007_s11109-018-9450-z,"Negative descriptive social norms and political action: people aren't acting, so you should",", 2016 fundraising email to supporters electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9450-z) contains supplementary material, which is available to authorized users. & hans j. g. hassell hans.hassell@gmail.com emily e. wyler emwyler@gmail.com 1 florida "
10.1007_s11109-018-9451-y,Left�right categorization and perceptions of party ideologies,"ideology · categorization · perception electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9451-y) contains supplementary material, which is available to authorized users. & federico vegetti vegetti.fede@gmail.com daniela širinić dsirinic@gmail.com 1 dipart"
10.1007_s11109-018-9452-x,The personality of the politically ambitious,"democracy at brigham young university. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9452-x) contains supplementary material, which is available to authorized users. & matthew r. miles milesma@byui.edu adam m. dynes adamdynes@byu.edu hans j. g. hassell "
10.1007_s11109-018-9453-9,Local economic shocks and national election outcomes: evidence from hungarian administrative data,"sarily those of mta krtk or tarki zrt. electronic supplementary material the online version of this article (doi:https://doi.org/10.1007/ s11109-018-9453-9) contains supplementary material, which is available to authorized users. & gabor simonovits simonovits@nyu.edu sean kates sk5350@nyu.edu blanka szeitl blanka.sz"
10.1007_s11109-018-9455-7,"The curse of knowledge? Education, corruption, and politics","litical attitudes  political behavior electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9455-7) contains supplementary material, which is available to authorized users. & mattias agerberg mattias.agerberg@gu.se 1 department of political science, university"
10.1007_s11109-018-9456-6,Traditional versus internet media in a restricted information environment: how trust in the medium matters,"ive relationship between digital media electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9456-6) contains supplementary material, which is available to authorized users. & jason gainous jason.gainous@louisville.edu jason p. abbott jason.abbott@louisville.ed"
10.1007_s11109-018-9457-5,Pigeonholing partisans: stereotypes of party supporters and partisan polarization,"ffective and ideological polarization. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9457-5) contains supplementary material, which is available to authorized users. & richard m. shafranek richardshafranek@u.northwestern.edu jacob e. rothschild jacobrot"
10.1007_s11109-018-9459-3,Civic duty and voter turnout," turnout  preference  ethical voting electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9459-3) contains supplementary material, which is available to authorized users. & andré blais andre.blais@umontreal.ca christopher h. achen achen@princeton.edu 1 depa"
10.1007_s11109-018-9460-x,What i like about you: legislator personality and legislator approval," that voters evaluate legislators’ job electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9460-x) contains supplementary material, which is available to authorized users. & adam j. ramey adam.ramey@nyu.edu jonathan d. klingler jonathan.d.klingler@vanderbilt."
10.1007_s11109-018-9461-9,The political consequences of policing: evidence from new york city,"l justice policy and political action. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9461-9) contains supplementary material, which is available to authorized users. & ayobami laniyonu alaniyou@gmail.com 1 university of toronto, 14 queen’s park crescent"
10.1007_s11109-018-9463-7,Changing attitudes toward same-sex marriage: a three-wave panel study,"marriage  public opinion  panel data electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9463-7) contains supplementary material, which is available to authorized users. & diana c. mutz mutz@upenn.edu hye-yon lee hyeylee@upenn.edu 1 department of political "
10.1007_s11109-018-9464-6,The contingent effects of candidate sex on voter choice,"e  partisanship  conjoint experiment electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9464-6) contains supplementary material, which is available to authorized users. & yoshikuni ono onoy@tohoku.ac.jp barry c. burden bcburden@wisc.edu 1 school of law, to"
10.1007_s11109-018-9465-5,Direct and indirect xenophobic attacks: unpacking portfolios of identity,"betical order, contribution was equal. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9465-5) contains supplementary material, which is available to authorized users. & bryan wilcox-archuleta bwa@ucla.edu sergio garcia-rios sig35@cornell.edu francisco pe"
10.1007_s11109-018-9466-4,Religion and the extension of trust,"s about human relations, religion fits electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9466-4) contains supplementary material, which is available to authorized users. & paul a. djupe djupe@denison.edu 1 department of political science, denison university"
10.1007_s11109-018-9468-2,"Reconciling sexism and women's support for republican candidates: a look at gender, class, and whiteness in the 2012 and 2016 presidential races"," panelists for their helpful feedback. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9468-2) contains supplementary material, which is available to authorized users. & erin c. cassese erin.cassese@mail.wvu.edu 1 department of political science, west vir"
10.1007_s11109-018-9470-8,"Community size, social capital, and political participation in latin america","ikely than others both in terms of the electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9470-8) contains supplementary material, which is available to authorized users. & miguel carreras miguel.carreras@ucr.edu shaun bowler shaun.bowler@ucr.edu 1 departmen"
10.1007_s11109-018-9471-7,Gender stereotypes and the policy priorities of women in congress,"from that of men. the added effort and electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9471-7) contains supplementary material, which is available to authorized users. & jason harold windett jwindett@uncc.edu mary layton atkinson matkinson@uncc.edu 1 the "
10.1007_s11109-018-9472-6,Major life events and the age-partisan stability association,"rom the california secretary of state. electronic supplementary material the online version of this article (https://doi.org/10.1007/s11109- 018-9472-6) contains supplementary material, which is available to authorized users. & william r. hobbs w.hobbs@northeastern.edu 1 northeastern university, 360 huntington a"
10.1007_s11109-018-9473-5,Early voting changes and voter turnout: north carolina in the 2016 general election,"ot in an upcoming election, due to the electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9473-5) contains supplementary material, which is available to authorized users. * hannah l. walker hlwalker@polisci.rutgers.edu extended author information available"
10.1007_s11109-018-9481-5,Does partisan self-interest dictate support for election reform? Experimental evidence on the willingness of citizens to alter the costs of voting for electoral gain,"t · survey experiment · public opinion electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9481-5) contains supplementary material, which is available to authorized users. * daniel r. biggers daniel.biggers@ucr.edu 1 department of political science, univers"
10.1007_s11109-018-9483-3,"Is the relationship between political responsibility and electoral accountability causal, adaptive and policy-specific?","ffice (soroka and wlezien 2005). these electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9483-3) contains supplementary material, which is available to authorized users. * martin vinæs larsen mvl@ps.au.dk 1 department of political science, aarhus universi"
10.1007_s11109-018-9485-1,Can politicians exploit ethnic grievances? An experimental study of land appeals in kenya,"c politics · african elections · kenya electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9485-1) contains supplementary material, which is available to authorized users. * jeremy horowitz jeremy.horowitz@dartmouth.edu kathleen klaus kfklaus@usfca.edu 1 de"
10.1007_s11109-018-9487-z,The effect of language on political appeal: results from a survey experiment in thailand,"nce. prominent examples include former electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9487-z) contains supplementary material, which is available to authorized users. * jacob i. ricks jacobricks@smu.edu.sg 1 school of social sciences, singapore managem"
10.1007_s11109-018-9490-4,Policy responsiveness and electoral incentives: a (re)assessment,"al. 1995; bartolini 1999; manin et al. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9490-4) contains supplementary material, which is available to authorized users. * luca bernardi luca_bernardi@tiscali.it 1 department of political science and public"
10.1007_s11109-018-9491-3,Anxious voters in the 2016 u.s. Election: an analysis of how they decided from the erpc2016," area methods meeting in columbia, mo. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9491-3) contains supplementary material, which is available to authorized users. * james e. monogan iii monogan@uga.edu 1 department of political science, university "
10.1007_s11109-018-9493-1,Beyond keeping the peace: can peacekeepers reduce ethnic divisions after violence?,"d herzegovina · post- conflict society electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9493-1) contains supplementary material, which is available to authorized users. * douglas page dpage@gettysburg.edu sam whitt swhitt@highpoint.edu 1 department of po"
10.1007_s11109-018-9494-0,"More important, but for what exactly? The insignificant role of subjective issue importance in vote decisions","sitioning · experiment · issue publics electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9494-0) contains supplementary material, which is available to authorized users. * joshua robison jrobison@ps.au.dk 1 department of government, london school of econo"
10.1007_s11109-018-9495-z,Selfish and cooperative voting: can the majority restrain themselves?,"ple literatures about voting behavior. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9495-z) contains supplementary material, which is available to authorized users. * peter descioli peter.descioli@stonybrook.edu bowen cho bowencho@gmail.com scott bok"
10.1007_s11109-018-9496-y,Why are african american governors and u.s. Senators so rare? Exploring white voters' responses to african american statewide candidates,"harva​rd.edu/datav​erse/polbe​havio​r. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9496-y) contains supplementary material, which is available to authorized users. * matthew tokeshi mt13@williams.edu 1 williams college, schapiro hall room 238, 24 ho"
10.1007_s11109-018-9497-x,Words speak louder than actions: public responsiveness to elite communication,"significantly improved our manuscript. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9497-x) contains supplementary material, which is available to authorized users. * jon c. rogowski rogowski@fas.harvard.edu extended author information available on t"
10.1007_s11109-018-9498-9,"Baker, bus driver, babysitter, candidate? Revealing the gendered development of political ambition among ordinary americans","politics · american political behavior electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​9- 018-9498-9) contains supplementary material, which is available to authorized users. * melody crowder‑meyer mecrowdermeyer@davidson.edu 1 political science department, da"
10.1007_s11109-018-9499-8,Self-awareness of political knowledge," et al. 2017; jerit and barabas 2012). electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9499-8) contains supplementary material, which is available to authorized users. * matthew h. graham matthew.graham@yale.edu 1 department of political science, yale u"
10.1007_s11109-018-9502-4,Local unemployment and voting for president: uncovering causal mechanisms,"hip voting · causal mediation analysis electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9502-4) contains supplementary material, which is available to authorized users. * taeyong park taeyongp@andrew.cmu.edu andrew reeves reeves@wustl.edu 1 arts and scie"
10.1007_s11109-018-9503-3,When bad news is good news: information acquisition in times of economic crisis," luskin 2003; popkin and dimock 2007). electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9503-3) contains supplementary material, which is available to authorized users. * dani m. marinova dani.marinova@uab.cat 1 departament de ciència política i dret púb"
10.1007_s11109-018-9504-2,Being heard above the noise: the role of incumbent issue diversity in election campaigns," small number of topics. yet, evidence electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9504-2) contains supplementary material, which is available to authorized users. * zachary greene zacgreene@gmail.com 1 university of strathclyde, 16 richmond st., gl"
10.1007_s11109-018-9505-1,"A different kind of disadvantage: candidate race, cognitive complexity, and voter choice","mplexity · voter behavior · heuristics electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9505-1) contains supplementary material, which is available to authorized users. * jessica trounstine jtrounstine@ucmerced.edu melody crowder‑meyer mecrowdermeyer@dav"
10.1007_s11109-018-9506-0,How issue positions affect candidate performance: experiments comparing campaign donors and the mass public,"yale’s institution for social and policy studies. replication data are available at https​://huber​.resea​rch.yale.edu. electronic supplementary material the online version of this article (https​://doi.org/10.1007/s1110​ 9-018-9506-0) contains supplementary material, which is available "
