file_in	title	journal	data_count	quant_count
10.1111_j.1477-7053.2009.01303.x	Semi-presidentialism, cohabitation and the collapse of electoral democracies, 1990�2008	Government and Opposition	3	2
10.1017_s0007123417000308	Transparency, protest and democratic stability	British Journal of Political Science	51	124
10.1177_0738894213499677	Participation in imf-sponsored economic programs and contentious collective action in latin america, 1980�2007	Conflict Management and Peace Science	82	391
10.1093_jopart_mup004	Ecology of national rule birth: a longitudinal study of dutch higher education law, 1960-2004	Journal of Public Administration Research and Theory	52	224
10.1086_706598	Inequality growth and economic policy liberalism: an updated test of a classic theory	The Journal of Politics	19	118
10.1017_s0020818313000143	Can international nongovernmental organizations boost government services? The case of health	International Organization	69	270
10.1162_jcws_r_00025			3	4
10.1162_glep_r_00205			0	0
10.1080_10357718.2012.681467	Development and religion: theology and practice	Australian Journal of International Affairs	0	8
10.1017_s0260210518000207	Guarding the guards: pluralist accountability for human rights violations by international organisations	Review of International Studies	3	4
10.1177_1354068819836037	Changing patterns of party unity in the knesset: the consequences of the israeli anti-defection law	Party Politics	30	12
10.1111_mepo.12442	Shia militias and exclusionary politics in iraq	Middle East Policy	3	0
10.1007_s10290-015-0217-x	Is labour the fall guy of a financial-led globalisation? A cross-country inquiry on globalisation, financialisation and employment at the industry level	Review of World Economics	37	494
10.1080_13563467.2017.1311848	A political economy of youth policy in tunisia	New Political Economy	4	1
10.1177_1354068817740758	Party competition and political representation in crisis	Party Politics	117	175
10.1016_j.marpol.2013.03.006	Human�environment interaction in the baltic sea	Marine Policy	98	44
10.1111_twec.12226	Offshoring and home country r&d	The World Economy	36	436
10.1007_s10784-017-9381-x	Countries start to explain how their climate contributions are fair: more rigour needed	International Environmental Agreements: Politics, Law and Economics	64	6
10.1093_chinesejil_jmr018	Protection and admission of sovereign investment under investment treaties	Chinese Journal of International Law	1	8
10.1017_lap.2020.36	Government and opposition in legislative speechmaking: using text-as-data to estimate brazilian political parties' policy positions	Latin American Politics and Society	12	28
10.1017_gov.2015.17	Private debt and the anglo-liberal growth model	Government and Opposition	22	3
10.1080_07036337.2014.959752	Corrigendum	Journal of European Integration	0	0
10.1080_13629395.2012.725310	Leaders et partisans au liban	Mediterranean Politics	0	0
10.1111_psj.12222	Issue information	Policy Studies Journal	0	0
10.1111_padm.12101	'Democratizing' public services? Representation and elections in the scottish nhs	Public Administration	23	7
10.1525_curh.2010.109.728.272	Map of asia	Current History	0	0
10.1093_ejil_chaa068	Distant justice: the impact of the international criminal court on african politics	European Journal of International Law	0	0
10.1177_0047117816659532	Disruption and deniable interventionism: explaining the appeal of covert action and special forces in contemporary british policy	International Relations	3	3
10.1177_1465116517735599	Modes of government responsiveness in the european union: evidence from council negotiation positions	European Union Politics	37	111
10.1057_bp.2014.17	Editorial	British Politics	0	0
10.1007_s11109-018-9457-5	Pigeonholing partisans: stereotypes of party supporters and partisan polarization	Political Behavior	31	25
10.1111_jcms.12902	Astrategic europe	JCMS: Journal of Common Market Studies	1	3
10.1080_00396338.2015.1123429	Brief notices	Survival	1	0
10.1080_02684527.2019.1703487	Intelligence studies programs as us public policy: a survey of ic cae grant recipients	Intelligence and National Security	7	6
10.1162_jcws_a_00143			0	2
10.1007_s10784-020-09513-4	Beyond delegation size: developing country negotiating capacity and ngo 'support' in international climate negotiations	International Environmental Agreements: Politics, Law and Economics	1	9
10.1080_13510347.2016.1247808	Hitting the saturation point: unpacking the politics of bureaucratic reforms in hybrid regimes	Democratization	9	1
10.1017_s0007123414000027	Legislative gridlock and bureaucratic politics in the european union	British Journal of Political Science	63	31
10.1017_s1537592718004413	Marketcraft: how governments make markets work. By steven k. Vogel. New york: oxford university press, 2018. 200p. $34.95 cloth.	Perspectives on Politics	2	3
10.1080_09668136.2010.481390	Books received	Europe-Asia Studies	0	0
10.1111_ropr.12131	Cultural policy and governance: reviewing policies related to cultural and creative industries implemented by the central government of taiwan between 2002 and 2012	Review of Policy Research	105	1
10.1162_jcws_a_00930			2	0
10.1017_s153759271500119x	Pps volume 13 issue 3 cover and back matter	Perspectives on Politics	1	1
10.1007_s11127-017-0437-9	Free riders: the economics and organization of outlaw motorcycle gangs	Public Choice	9	8
10.1080_09668136.2011.585752	Business elites and the role of companies in society: a comparative study of poland, hungary and germany	Europe-Asia Studies	178	10
10.1525_curh.2011.110.734.91	The euro's never-ending crisis	Current History	0	0
10.1016_j.marpol.2016.06.012	Who cares? European attitudes towards marine and coastal environments	Marine Policy	14	8
10.1177_0032329215571288	Who's borrowing? Credit encouragement vs. Credit mitigation in national financial systems	Politics & Society	73	97
10.1080_13510347.2012.659021	Does regime type matter for the impact of democracy aid on democracy?	Democratization	38	28
10.1080_0163660x.2011.588091	Al-qaeda and the rise of china: jihadi geopolitics in a post-hegemonic world	The Washington Quarterly	1	1
10.1057_s41311-017-0023-2	Transatlantic democracy promotion: cooperation in crisis	International Politics	32	0
10.1080_14754835.2020.1816164	Legal empowerment approaches in the context of covid-19	Journal of Human Rights	2	0
10.1093_ser_mwv037	Does capitalism have a future?On the dismal future of capitalismthe future of capitalismunfettered capitalism eats itselfthe next industrial revolution calls for a different economic system	Socio-Economic Review	25	7
10.1080_13510347.2019.1694909	Islam, authoritarianism and underdevelopment: a global and historical comparison	Democratization	1	0
10.1111_1758-5899.12415	Why politics and context matter in conservation policy	Global Policy	0	3
10.1017_s104909651800197x	Apsa workshops in the middle east and north africa	PS: Political Science & Politics	0	0
10.1177_0305829820935520	Toward an individualist postcolonial cosmopolitanism	Millennium: Journal of International Studies	0	1
10.1017_psrm.2015.19	Alliances and the high politics of international trade	Political Science Research and Methods	48	530
10.1016_j.jjie.2020.101110	Job tasks and wages in the japanese labor market: evidence from wage functions	Journal of the Japanese and International Economies	130	827
10.1002_polq.13078	Imagining politics: interpretations in political science and political television by stephen benedictdyson. Ann arbor, university of michigan press, 2019. 162 pp. Paper, $24.95.	Political Science Quarterly	0	0
10.1177_0022002714540472	Pragmatic and promiscuous	Journal of Conflict Resolution	1	0
10.1177_00027162211023354	(Dis)continuities in racialized legal violence	The ANNALS of the American Academy of Political and Social Science	0	1
10.1016_j.marpol.2018.03.007	An analysis of the legal problems arising from the application of exclusivity clauses in the european union�s dormant fisheries agreements	Marine Policy	7	1
10.1162_jcws.2010.12.2.95	When policy failed: a view from the middle distance	Journal of Cold War Studies	0	0
10.1086_697951	What is pivotal politics (and what else can it be)?	The Journal of Politics	16	8
10.1111_1478-9302.12038	Partners in progress? British liberals and the labour party since 1918	Political Studies Review	0	4
10.1093_ejil_chy089	Toward algorithmic checks and balances: a rejoinder	European Journal of International Law	0	5
10.1017_lap.2020.8	Place-sensitive policies in the provision of subnational public goods in colombia	Latin American Politics and Society	50	239
10.1111_1475-6765.12316	National parliamentary control and voting in the council of the european union	European Journal of Political Research	41	180
10.1111_rego.2013.7.issue-4	""	Regulation & Governance	0	2
10.1093_ejil_chz053	The trial of the kaiser	European Journal of International Law	163	44
10.1016_j.polgeo.2010.08.001	Professional ethics and the politics of geographic knowledge: the bowman expeditions	Political Geography	0	0
10.1086_706461	Past place, present prejudice: the impact of adolescent racial context on white racial attitudes	The Journal of Politics	58	74
10.1093_ia_iiy155	Do the geneva conventions matter?	International Affairs	0	0
10.1057_ip.2011.19	Ideas have consequences: the cold war and today	International Politics	10	3
10.1017_s0892679419000121	Artificial intelligence: power to the people	Ethics & International Affairs	5	6
10.1080_13501763.2017.1329846	Mobilizing european law	Journal of European Public Policy	3	2
10.1093_ejil_chv030	Faith, ritual and rebellion in 21st century (positivist) international law	European Journal of International Law	1	2
10.1111_jcms.13037	Crisis in the eurozone periphery: the political economies of greece, spain, ireland and portugal, edited by o.parker and d.tsarouhas (london: palgrave macmillan, 2018, isbn 9783319697208); xi+219pp., �122.00 hp.	JCMS: Journal of Common Market Studies	1	0
10.1111_j.1541-0072.2011.00410.x	Deterrence theory and the implementation of speed limits in the american states	Policy Studies Journal	68	183
10.1007_s11127-010-9615-8	Editorial announcement	Public Choice	0	0
10.1177_0047117812463153	Multipolarity, multilateralism and beyond �? Eu� china understandings of the international system	International Relations	1	0
10.1080_10357718.2018.1548565	Extending the 'system' of international criminal law? The icc's decision on jurisdiction over alleged deportations of rohingya people	Australian Journal of International Affairs	0	0
10.1007_s11127-015-0249-8	Primaries: the unifying force	Public Choice	22	23
10.1017_s0260210512000058	The prospects of deliberative global governance in the g20: legitimacy, accountability, and public contestation	Review of International Studies	0	2
10.1057_bp.2015.45	Do stateless-nationalist-regionalist-parties differ from other party types? Comparing organisational reform processes in plaid cymru and the scottish national party	British Politics	3	1
10.1080_02684527.2019.1620547	From laboratory to the wmd commission: how academic research influences intelligence agencies	Intelligence and National Security	12	7
10.1080_09546553.2012.630624	"A review of: """"hillel frisch and efraim inbar (eds.).Radical islam and international security: challenges and responses. Tamar meisels.the trouble with terror: liberty, security, and the response to terrorism."	Terrorism and Political Violence	4	3
10.1111_lsq.12011	Majority party power and procedural motions in the u.s. Senate	Legislative Studies Quarterly	55	259
10.1086_709861	Aristocracy in america: tocqueville on white supremacy	The Journal of Politics	0	0
10.1111_j.1467-9299.2012.02076.x	More than mayor or manager: campaigns to change form of government in america's large cities - edited by james h. Svara and douglas j. Watson	Public Administration	0	1
10.1080_21647259.2015.1040605	A 'post-liberal peace' via ubuntu?	Peacebuilding	0	0
10.1017_s1537592720003898	Amoral communities: collective crimes in time of war. By mila dragojevic. Ithaca: cornell university press, 2019. 224p. $45.00 cloth.	Perspectives on Politics	1	1
10.1177_1354066119889401	Interactionist role theory meets ontological security studies: an exploration of synergies between socio-psychological approaches to the study of international relations	European Journal of International Relations	0	4
10.1111_twec.12661	Corruption and the shadow economy: one-way or two-way street?	The World Economy	159	438
10.1080_13608746.2018.1537175	Yet another case of electoral and government epidemic? The turkish cypriot legislative election of january 2018	South European Society and Politics	11	0
10.1093_poq_nfx022	Poverty	Public Opinion Quarterly	13	0
10.1177_1354068817724174	Fighting for attention: media coverage of negative campaign messages	Party Politics	66	112
10.1016_j.marpol.2015.12.027	On the future navigability of arctic sea routes: high-resolution projections of the arctic ocean and sea ice	Marine Policy	103	27
10.1080_01402390.2016.1219094	From the editors	Journal of Strategic Studies	0	0
10.1093_ejil_chy059	Treaty law and icc jurisdiction over the crime of aggression	European Journal of International Law	0	8
10.1177_1532673x19826273	Family ties? The limits of fathering daughters on congressional behavior	American Politics Research	65	166
10.1017_s1537592717001785	Separation of powers and legislative organization: the president, the senate, and political parties in the making of house rules. By gisela sin. New york: cambridge university press, 2015. 193p. $93.00.	Perspectives on Politics	1	2
10.1080_09662839.2018.1517117	Framing the eu global strategy: a stronger europe in a fragile world	European Security	0	0
10.1016_j.marpol.2011.03.011	Discard mitigation � what we can learn from waste minimization practices in other natural resources?	Marine Policy	8	3
10.1177_1354066115612558	European integration in crisis? Of supranational integration, hegemonic projects and domestic politics	European Journal of International Relations	1	0
10.1057_cep.2010.1	Does european integration theory need sociology?	Comparative European Politics	5	3
10.1016_j.polgeo.2018.10.006	Urbanism and geopolitics: the missing links	Political Geography	2	0
10.1093_poq_nft039	Polling and democracy: executive summary of the aapor task force report on public opinion and leadership	Public Opinion Quarterly	3	2
10.1080_01402390.2014.907603	From the editors	Journal of Strategic Studies	3	0
10.1111_j.1475-4967.2012.00562.x	Economic sanctions on authoritarian states: lessons learned	Middle East Policy	2	1
10.1080_13501763.2012.725888	Changes to the editorial team	Journal of European Public Policy	1	3
10.1093_ia_iiaa125	North korea�us relations: from kim jong il to kim jong un	International Affairs	0	0
10.1093_poq_nfr048	Questions for surveys: current trends and future directions	Public Opinion Quarterly	53	23
10.1111_j.1467-9248.2012.00970.x	Mapping the language of women's interests: sex and party affiliation in the bundestag	Political Studies	11	5
10.1007_s11127-009-9519-7	Lobbying and (de)centralization	Public Choice	4	16
10.1080_00908320.2016.1194089	Introduction	Ocean Development & International Law	0	1
10.1080_09662839.2012.727181	European internal security as a public good	European Security	6	6
10.1080_13501763.2017.1411381	Towards a theory of disintegration	Journal of European Public Policy	5	12
10.1111_j.1468-2346.2012.01087.x	Institutional diffusion in international environmental affairs	International Affairs	2	3
10.1017_s1537592709992581	Banking regulation and globalization. By andreas busch. New york: oxford university press, 2009. 312p. $100.00. - the origins of europe's new stock markets. By elliot posner. Cambridge, ma: harvard university press, 2009. 264p. $45.00.	Perspectives on Politics	0	0
10.1017_s1049096517000075	The quest for legitimacy: actors, audiences, and aspirations	PS: Political Science & Politics	0	1
10.1017_s1537592720003631	Response to welborne et al.'s review of muslims in a post-9/11 america: a survey of attitudes and beliefs and their implications for u.s. National security policy	Perspectives on Politics	12	0
10.1016_j.electstud.2013.06.001	Engineering inclusion: assessing the effects of pro-minority representation policies	Electoral Studies	17	114
10.1007_s11127-015-0302-7	A tragedy of the anticommons: local option taxation and cell phone tax bills	Public Choice	59	355
10.1177_1940161211433839	Modes of professional campaigning	The International Journal of Press/Politics	18	12
10.1111_j.1468-5965.2012.02281.x	Internal market: the ongoing struggle to 'protect' europe from its money men*	JCMS: Journal of Common Market Studies	10	11
10.1177_0020702015572998	Canada, the arctic, and norad: status quo or new ball game?	International Journal: Canada's Journal of Global Policy Analysis	4	4
10.1093_ia_iix120	The president's book of secrets: the untold story of intelligence briefings to america's presidents from kennedy to obama*	International Affairs	0	2
10.1111_misr.12146	When democracy is not enough-the role of state capacity and democratic governance in promoting human security	International Studies Review	5	1
10.1080_01402382.2013.742739	National higher courts and the ratification of eu treaties	West European Politics	4	3
10.1093_ejil_chaa080	Appropriate level of protection: the most misconceived notion of wto law	European Journal of International Law	0	8
10.1093_irap_lcu021	A chinese model for patron-client relations? The sino-cambodian partnership	International Relations of the Asia-Pacific	2	4
10.1007_s11127-012-0051-9	Democracy and countries with muslim majorities: a reply and update	Public Choice	62	192
10.1016_j.marpol.2014.10.017	Balancing extractive and non-extractive uses in marine conservation plans	Marine Policy	51	3
10.1162_glep_a_00296			11	5
10.1007_s10308-019-00563-1	China in central and eastern europe: the unintended effects of identity narratives	Asia Europe Journal	2	2
10.1016_j.marpol.2015.12.008	Building on progress in fisheries subsidies disciplines	Marine Policy	9	2
10.1111_1475-6765.12254	Explaining right-wing terrorism and violence in western europe: grievances, opportunities and polarisation	European Journal of Political Research	16	26
10.1093_isr_viz007	"Populism, hindu nationalism, and foreign policy in india: the politics of representing """"the people"	International Studies Review	1	0
10.1177_1065912914523347	"Freedom and the human in """"evolutionary"""" political theory"	Political Research Quarterly	0	0
10.1080_13501763.2021.1918220	Fractionalized but ambitious? Voting on energy and climate policy in the european parliament	Journal of European Public Policy	21	51
10.1017_s104909651600072x	New directions in legislative research: lessons from inside congress	PS: Political Science & Politics	0	1
10.1093_ia_iix131	Gateways to the world: port cities in the persian gulf	International Affairs	0	0
10.1111_1758-5899.12946	Precarity, mobility and the city: introduction to the special issue	Global Policy	0	2
10.1177_0032329219897642	"Erratum to """"the politics of democratizing finance: a radical view"	Politics & Society	0	0
10.1017_s1049096515000931	Campus teaching awards, academic year 2014�15	PS: Political Science & Politics	1	0
10.1093_publius_pjz033	Fiscal decentralization and public investment in innovation: a country panel analysis	Publius: The Journal of Federalism	47	424
10.1146_annurev-polisci-070209-174835	Domestic explanations of international relations	Annual Review of Political Science	11	8
10.1017_s0043887119000169	Wpo volume 71 issue 4 cover and front matter	World Politics	0	0
10.1017_s1537592712000175	Digitally enabled social change: activism in the internet age. By jennifer earl and katrina kimport. Cambridge, ma: mit press, 2011. 248p. $32.00.	Perspectives on Politics	4	1
10.1080_13600820903431938	Introduction	Global Society	0	1
10.1080_14616742.2012.744175	Bukusu (kenya) folktales	International Feminist Journal of Politics	0	2
10.1016_j.ejpoleco.2010.12.001	Do collective actions clear common air? The effect of international environmental protocols on sulphur emissions	European Journal of Political Economy	62	437
10.1017_s1537592715000365	Response to nadia urbinati's review of the civic constitution: civic visions and struggles in the path toward constitutional democracy	Perspectives on Politics	1	1
10.1017_s1474745612000407	Wto disciplines on agricultural support: seeking a fair basis for trade edited by david orden, david blandford, and tim josling cambridge, uk: cambridge university press, 2011	World Trade Review	2	0
10.1016_j.ejpoleco.2015.04.004	Local governments' re-election and its determinants: new evidence based on a bayesian approach	European Journal of Political Economy	163	134
10.1002_polq.12243	Changing minds or changing channels? Partisan news in an age of choice by kevinarceneaux and martinjohnson. Chicago, il, university of chicago press, 2013. 238 pp. Paper, $25.00.	Political Science Quarterly	0	0
10.1111_twec.12584	Structural breaks, dynamic correlations, and hedge and safe havens for stock and foreign exchange markets in greater china	The World Economy	83	1175
10.1177_0002716221996678	How well do housing vouchers work for black families experiencing homelessness?: evidence from the family options study	The ANNALS of the American Academy of Political and Social Science	57	144
10.1093_isp_ekz026	"A """"pedagogy of discomfort""""? Experiential learning and conflict analysis in israel-palestine"	International Studies Perspectives	0	1
10.1093_hrlr_ngaa011	Containment instead of refoulement: shifting state responsibility in the age of cooperative migration control?	Human Rights Law Review	0	11
10.1017_lap.2018.24	Explaining uneven social policy expansion in democratic chile	Latin American Politics and Society	7	1
10.1111_jopp.12182	Ritual deliberation	Journal of Political Philosophy	4	21
10.1111_pafo.12164	South korea's embrace of good donorship norms: the bureaucratic process of norm translation	Pacific Focus	15	1
10.1007_s11127-010-9758-7	Spend it like beckham? Inequality and redistribution in the uk, 1983�2004	Public Choice	157	52
10.1080_13510347.2012.659014	Linkages and the promotion of democracy: the eu's eastern neighbourhood	Democratization	91	4
10.1016_j.postcomstud.2017.05.007	Gender inequality in russia's rural informal economy	Communist and Post-Communist Studies	40	4
10.1016_j.marpol.2014.11.022	Gauging perceptions of ocean acidification in alaska	Marine Policy	102	48
10.1016_j.marpol.2011.03.005	Perceptions of occupational risk by us commercial fishermen	Marine Policy	25	17
10.1016_j.electstud.2020.102263	America's first voter identification laws: the effects of personal registration and declining political party competition on presidential election turnout, 1880�1916	Electoral Studies	91	182
10.1177_0010414015626455	Back to square one	Comparative Political Studies	2	0
10.1146_annurev-polisci-092514-012354	A conversation with hanna pitkin	Annual Review of Political Science	1	0
10.1017_s1537592712002782	Neoliberalism, race, and the american welfare state	Perspectives on Politics	0	0
10.1080_09668136.2019.1694864	Ideology and disengagement: a case study of nationalists and islamists in chechnya	Europe-Asia Studies	1	1
10.1525_cpcs.2020.53.1.27	Democratic centralisms�plural? A comparative analysis of functional communism in the french and italian communist party federations of var and gorizia, 1956	Communist and Post-Communist Studies	0	6
10.1080_09668136.2018.1520508	Latvia�a work in progress? 100 years of state- and nation-building	Europe-Asia Studies	0	0
10.1007_s11127-010-9712-8	Contingent fees meet the british rule: an exploratory study	Public Choice	9	80
10.1080_09546551003617960	"A review of: """"hall gardner.american global strategy and the """"war on terrorism."""""	Terrorism and Political Violence	1	0
10.1080_09644016.2017.1371919	Deliberative democracy meets democratised science: a deliberative systems approach to global environmental governance	Environmental Politics	0	6
10.1111_1467-856x.12066	Gendering demilitarisation and justice in northern ireland	The British Journal of Politics and International Relations	0	1
10.1162_glep_a_00446			8	2
10.1017_s0003055420001021	Notes from the editors	American Political Science Review	3	0
10.1093_ia_iiaa199	Formalization as a tool for environmental peacebuilding? Artisanal and small-scale mining in liberia and sierra leone	International Affairs	11	3
10.1080_1540496x.2014.998932	Corporate and capital market governance in emerging economies	Emerging Markets Finance and Trade	3	2
10.1177_0738894216650640	Managing territorial conflict: an introduction to this special issue	Conflict Management and Peace Science	4	2
10.1016_j.marpol.2021.104448	Fuel intensity in icelandic fisheries and opportunities to reduce emissions	Marine Policy	473	96
10.1111_ajps.12303	Coercive leadership	American Journal of Political Science	5	46
10.1080_14494035.2019.1657376	When words matter: narratives and strategies in the italian jobs act (2014�2016)	Policy and Society	7	1
10.1080_01402382.2014.895517	Notes on contributors	West European Politics	0	0
10.1016_j.electstud.2018.05.003	Duverger's psychological effect: a natural experiment approach	Electoral Studies	42	81
10.1057_cep.2008.27	Re-thinking putnam in italy: the role of beliefs about democracy in shaping civic culture and institutional performance	Comparative European Politics	0	2
10.1525_cpcs.2020.53.2.47	Party leaders vs. Technocrats	Communist and Post-Communist Studies	5	4
10.1177_0096340214546838	California: beyond cars?	Bulletin of the Atomic Scientists	2	0
10.1007_s12116-021-09333-w	Populism and the past: restoring, retaining, and redeeming the nation	Studies in Comparative International Development	1	1
10.1016_j.marpol.2021.104557	Using western science and inuit knowledge to model ship-source noise exposure for cetaceans (marine mammals) in tallurutiup imanga (lancaster sound), nunavut, canada	Marine Policy	130	4
10.1080_10357718.2012.642715	How australia compares	Australian Journal of International Affairs	65	70
10.1093_chinesejil_jms037	Erratum	Chinese Journal of International Law	0	0
10.1111_j.1528-3585.2012.00459.x	Differences beyond theory: structural, strategic, and sentimental approaches to normative change	International Studies Perspectives	4	0
10.1057_ip.2015.14	China's state-permeated market economy and its constraints to the internationalization of the renminbi	International Politics	2	6
10.1111_twec.12550	Aid, trade and migration: how do bilateral flows interact?	The World Economy	94	1462
10.2753_ree1540-496x480200	Introduction	Emerging Markets Finance and Trade	0	0
10.1177_1354068817695742	Minority governments and legislative reliability	Party Politics	68	110
10.1080_17502977.2021.1913006	Introduction � peacebuilding amidst violence	Journal of Intervention and Statebuilding	1	4
10.1017_s1474745611000048	Protection for exporters: power and discrimination in transatlantic trade relations, 1930�2010 by andreas duer ithaca: cornell university press, 2010	World Trade Review	0	0
10.1017_s0020818312000148	Before hegemony: adam smith, american independence, and the origins of the first era of globalization	International Organization	10	4
