result_title,result_doi,result_authors,result_dataverse,search_title,search_doi,diff,clean_result,clean_search,diff2
Resource Wealth as Rent Leverage: Rethinking the Oil-Stability Nexus Dataverse,,NULL,,Reducing poverty with teargas and batons: the security-development nexus in sierra leone,10.1093/afraf/adr004,0.236710049210049,resource wealth as rent leverage rethinking the oil-stability nexus dataverse,reducing poverty with teargas and batons the security-development nexus in sierra leone,0.235164031910025
The Political Economy of Power-Sharing,,NULL,,The political economy of grand corruption in tanzania,10.1093/afraf/adv017,0.21004985304886,the political economy of power-sharing,the political economy of grand corruption in tanzania,0.21004985304886
The Political Economy of Power-Sharing,,NULL,,The political economy of banking in angola,10.1093/afraf/ady029,0.187635756056809,the political economy of power-sharing,the political economy of banking in angola,0.187635756056809
Turkey's IR Dataverse,,NULL,,Turkey's state problem,10.1177/0304375419871428,0.222357503607504,turkey's ir dataverse,turkey's state problem,0.222357503607504
Communication Dataverse,,NULL,,Communicating risk,10.1177/0304375418770300,0.171497584541063,communication dataverse,communicating risk,0.171497584541063
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1177/0304375415596238,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
Politics & Gender,,NULL,,Politics and personhood,10.1177/0304375413488030,0.236877359639508,politics & gender,politics and personhood,0.236877359639508
Replication data for: International Trade and Domestic Legal Systems: Examining the Impact of Islamic Law,doi:10.7910/DVN/QEIMQK,"c(""Emilia Powell"", ""Stephanie Rickard"")",International Interactions (II): Empirical and Theoretical Research in International Relations Dataverse,International law in national legal systems: an empirical investigation,10.5305/amerjintelaw.109.3.0514,0.228960737315459,international trade and domestic legal systems examining the impact of islamic law,international law in national legal systems an empirical investigation,0.229616724738676
United States Bureau of Economic Analysis,,NULL,,United states lifts economic sanctions on sudan,10.1017/ajil.2018.3,0.207932680077739,united states bureau of economic analysis,united states lifts economic sanctions on sudan,0.207932680077739
International Organization (IO) Journal Dataverse,,NULL,,International organizations,10.1017/s0002930000013312,0.149659863945578,international organization (io) journal dataverse,international organizations,0.149659863945578
United States Department of Agriculture,,NULL,,United states reelected to human rights council,10.1017/s0002930000061704,0.205008702881043,united states department of agriculture,united states reelected to human rights council,0.205008702881043
Political partisanship influences behavioral responses to governors’ recommendations for COVID-19 prevention in the United States,,NULL,,United states endorses ruggie principles on responsibility of businesses and transnational corporations to respect human rights,10.1017/s0002930000761896,0.236139272231563,political partisanship influences behavioral responses to governors’ recommendations for covid-19 prevention in the united states,united states endorses ruggie principles on responsibility of businesses and transnational corporations to respect human rights,0.236139272231563
Replication Data for: Economic Sanctions and the Domestic Sources of Defiance to Foreign Pressure in Target Countries: The Case of Government Predation,doi:10.7910/DVN/9H9ROX,Dursun Peksen,Foreign Policy Analysis Dataverse,D. C. Circuit finds foreign sovereign immunities act does not preclude contempt sanctions on foreign state for noncompliance with discovery orders,10.1017/s0002930000761641,0.225887840325977,economic sanctions and the domestic sources of defiance to foreign pressure in target countries the case of government predation,d. c. circuit finds foreign sovereign immunities act does not preclude contempt sanctions on foreign state for noncompliance with discovery orders,0.223424985028819
United States Bureau of Economic Analysis,,NULL,,United states endorses un indigenous declaration,10.1017/s0002930000227462,0.229534456058846,united states bureau of economic analysis,united states endorses un indigenous declaration,0.229534456058846
United States Department of Agriculture,,NULL,,"United states, mexico settle nafta trucking dispute",10.1017/s0002930000761963,0.229239388062917,united states department of agriculture,"united states, mexico settle nafta trucking dispute",0.229239388062917
Post-Soviet Oligarchs Dataverse,,NULL,,Post-soviet russian doctrinal writings: an overview,10.5305/amerjintelaw.106.1.0176,0.236896479021716,post-soviet oligarchs dataverse,post-soviet russian doctrinal writings an overview,0.232974910394265
Political Science Research and Methods (PSRM) Dataverse,,NULL,,Political science research on international law: the state of the field,10.5305/amerjintelaw.106.1.0047,0.238881775501494,political science research and methods (psrm) dataverse,political science research on international law the state of the field,0.235930735930736
International Organization (IO) Journal Dataverse,,NULL,,International organizations,10.1017/s0002930000009829,0.149659863945578,international organization (io) journal dataverse,international organizations,0.149659863945578
Territorial division,,NULL,,Territorial and maritime dispute,10.5305/amerjintelaw.107.2.0396,0.216203703703704,territorial division,territorial and maritime dispute,0.216203703703704
Supreme Court Oral Argument Database - Andrew Manuel Crespo,,NULL,,Supreme court to hear case of remaining uighur detainees,10.5305/amerjintelaw.104.1.0117,0.23346112456282,supreme court oral argument database - andrew manuel crespo,supreme court to hear case of remaining uighur detainees,0.23346112456282
United States Geological Survey,,NULL,,United states v. Dire,10.5305/amerjintelaw.107.3.0644,0.195866009108794,united states geological survey,united states v. dire,0.195866009108794
The Feed the Future Innovation Lab for Livestock Systems,,NULL,,The once and future law of state responsibility,10.1017/ajil.2020.60,0.214276878490139,the feed the future innovation lab for livestock systems,the once and future law of state responsibility,0.214276878490139
United States Department of Transportation,,NULL,,United states-mexico-canada agreement enters into force,10.1017/ajil.2020.74,0.235653527758791,united states department of transportation,united states-mexico-canada agreement enters into force,0.235653527758791
United States Department of Transportation,,NULL,,United states gives notice of withdrawal from treaty on open skies,10.1017/ajil.2020.73,0.238852813852814,united states department of transportation,united states gives notice of withdrawal from treaty on open skies,0.238852813852814
"Replication Data for: ""The curve not taken. Effects of COVID-19 international comparison news""",doi:10.7910/DVN/RKCM19,"Kim, Seonwoo","Replication Data for: ""The curve not taken. Effects of COVID-19 international comparison news""",Effects of the covid-19 pandemic on the work of the international law commission,10.1017/ajil.2020.79,0.246189458689459,the curve not taken. effects of covid-19 international comparison news,effects of the covid-19 pandemic on the work of the international law commission,0.237591575091575
United States Department of Agriculture,,NULL,,United states supports un consultative status for ilghrc,10.5305/amerjintelaw.104.4.0662,0.23537851037851,united states department of agriculture,united states supports un consultative status for ilghrc,0.23537851037851
Replication Data for: Clarifying the Measurement of Relative Ideology in Policy Diffusion Research,doi:10.7910/DVN/ELI51F,"c(""Cruz-Aceves, Victor"", ""Mallinson, Daniel"")",Replication Data for: Clarifying the Measurement of Relative Ideology in Policy Diffusion Research,"Clarifying necessity, imminence, and proportionality in the law of self-defense",10.5305/amerjintelaw.107.3.0563,0.214484705055668,clarifying the measurement of relative ideology in policy diffusion research,"clarifying necessity, imminence, and proportionality in the law of self-defense",0.214484705055668
erratum.txt,,NULL,,Erratum,10.1111/ajps.12253,0.121212121212121,erratum.txt,erratum,0.121212121212121
erratum.txt,,NULL,,Erratum,10.1111/ajps.12254,0.121212121212121,erratum.txt,erratum,0.121212121212121
erratum.txt,,NULL,,Erratum,10.1111/ajps.12104,0.121212121212121,erratum.txt,erratum,0.121212121212121
Replication data for: Credible Commitments and the International Criminal Court,doi:10.7910/DVN/KQSNX4,"c(""Beth A. Simmons"", ""Allison Marston Danner"")",Beth Simmons Dataverse,Credible commitment in covert affairs,10.1111/ajps.12363,0.225255441199714,credible commitments and the international criminal court,credible commitment in covert affairs,0.225255441199714
Loss Aversion Raw Data,,NULL,,Loss aversion in politics,10.1111/ajps.12440,0.210909090909091,loss aversion raw data,loss aversion in politics,0.210909090909091
Replication data for: Make it Rain?  Retrospection and the Attentive Electorate in the Context of Natural Disasters,doi:10.7910/DVN/WP0AIB,"c(""John Gasper"", ""Andrew Reeves"")",Andrew Reeves Dataverse,Make it rain? Retrospection and the attentive electorate in the context of natural disasters,10.1111/j.1540-5907.2010.00503.x,0.126772635187782,make it rain?  retrospection and the attentive electorate in the context of natural disasters,make it rain? retrospection and the attentive electorate in the context of natural disasters,0.126772635187782
Replication data for: Estimating Ideal Points in the British House of Commons,doi:10.7910/DVN/NFXJJQ,Michael Kellermann,Michael Kellermann Dataverse,Estimating ideal points in the british house of commons using early day motions,10.1111/j.1540-5907.2012.00587.x,0.10126582278481,estimating ideal points in the british house of commons,estimating ideal points in the british house of commons using early day motions,0.10126582278481
Reproduction files for: Learning More from Political Communication Experiments: The Importance of Pretreatment Effects,doi:10.7910/DVN/KWSUTG,"c(""Druckman, James N."", ""Leeper, Thomas J."")",Thomas J. Leeper Dataverse,Learning more from political communication experiments: pretreatment and its effects,10.1111/j.1540-5907.2012.00582.x,0.245408591589927,reproduction files for learning more from political communication experiments the importance of pretreatment effects,learning more from political communication experiments pretreatment and its effects,0.239928595796137
"""What Stops the Torture?"" Replication Data and Online Appendix",doi:10.7910/DVN/UYWRTO,Courtenay Ryals Conrad & Will H. Moore,Will H. Moore Dataverse,What stops the torture?,10.1111/j.1540-5907.2010.00441.x,0.209677419354839,what stops the torture? replication data and online appendix,what stops the torture?,0.205555555555556
"The Separation of Powers, Court-curbing and Judicial Legitimacy",doi:10.7910/DVN/IVQA2H,"Clark, Tom S.",Tom Clark Dataverse,The separation of powers and supreme court agenda setting,10.1111/j.1540-5907.2010.00438.x,0.204913324979115,"the separation of powers, court-curbing and judicial legitimacy",the separation of powers and supreme court agenda setting,0.204913324979115
Inequality and the Dynamics of Public Opinion,doi:10.7910/DVN/MNDUZW,"c(""Nathan J. Kelly"", ""Peter K. Enns"")",Nathan Kelly Dataverse,Inequality and the dynamics of public opinion: the self-reinforcing link between economic inequality and mass preferences,10.1111/j.1540-5907.2010.00472.x,0.209366391184573,inequality and the dynamics of public opinion,inequality and the dynamics of public opinion the self-reinforcing link between economic inequality and mass preferences,0.208333333333333
Replication data for: Testing the Effects of Independent Judiciaries on Democratic Backsliding.  American Journal of Political Science. 55(3):696-709. 2011.,doi:10.7910/DVN/XDKLKL,"c(""Douglas M. Gibler"", ""Randazzo, Kirk"")",Douglas M. Gibler Dataverse,Testing the effects of independent judiciaries on the likelihood of democratic backsliding,10.1111/j.1540-5907.2010.00504.x,0.196233303765411,testing the effects of independent judiciaries on democratic backsliding.  american journal of political science. 55(3)696-709. 2011.,testing the effects of independent judiciaries on the likelihood of democratic backsliding,0.194624804906323
Replication data for: The Rise and Decline of Turnout in Congressional Elections (1840-1940),doi:10.7910/DVN/DIBWZB,"Engstrom, Erik",Erik  Engstrom Dataverse,"The rise and decline of turnout in congressional elections: electoral institutions, competition, and strategic mobilization",10.1111/j.1540-5907.2011.00556.x,0.225822686798297,the rise and decline of turnout in congressional elections (1840-1940),"the rise and decline of turnout in congressional elections electoral institutions, competition, and strategic mobilization",0.224512099921936
Replication Data for: The spillover of race and racial attitudes into public opinion about climate change,doi:10.7910/DVN/ANAJCK,"Benegal, Salil",Harvard Dataverse,The spillover of racialization into health care: how president obama polarized public opinion by racial attitudes and race,10.1111/j.1540-5907.2011.00577.x,0.235280323886113,the spillover of race and racial attitudes into public opinion about climate change,the spillover of racialization into health care how president obama polarized public opinion by racial attitudes and race,0.233451303428181
Replication data for: Settled Borders and Regime Type: Democratic Transitions as Consequences of Peaceful Territorial Transfers. American Journal of Political Science. 54 (4): 951-968. 2010.,doi:10.7910/DVN/2WMPOL,"c(""Gibler, Douglas M."", ""Tir, Jaroslav"")",Douglas M. Gibler Dataverse,Settled borders and regime type: democratic transitions as consequences of peaceful territorial transfers,10.1111/j.1540-5907.2010.00473.x,0.125,settled borders and regime type democratic transitions as consequences of peaceful territorial transfers. american journal of political science. 54 (4) 951-968. 2010.,settled borders and regime type democratic transitions as consequences of peaceful territorial transfers,0.124497991967872
Economic Development and Cultural Change Dataverse,,NULL,,"Economic development, violent leader removal, and democratization",10.1111/j.1540-5907.2012.00595.x,0.227237762237762,economic development and cultural change dataverse,"economic development, violent leader removal, and democratization",0.227237762237762
Replication data for: Conditional Cash Transfers and Electoral Behavior: A Reassessment of a Randomized Experiment in Mexico,doi:10.7910/DVN/CUPEQH,"c(""Baranovsky, Alla"", ""Liaqat, Asad"", ""Xu, Alice"")",Gov2001 Dataverse,Do conditional cash transfers affect electoral behavior? Evidence from a randomized experiment in mexico,10.1111/j.1540-5907.2012.00617.x,0.215996491340672,conditional cash transfers and electoral behavior a reassessment of a randomized experiment in mexico,do conditional cash transfers affect electoral behavior? evidence from a randomized experiment in mexico,0.212955010722022
Replication data for: What To Do about Missing Data in Time-Series Cross-Sectional Data,doi:10.7910/DVN/GGUR0P,"c(""Honaker, James"", ""King, Gary"")",Gary King Dataverse,What to do about missing values in time-series cross-section data,10.1111/j.1540-5907.2010.00447.x,0.14017094017094,what to do about missing data in time-series cross-sectional data,what to do about missing values in time-series cross-section data,0.14017094017094
Perceptions of Partisan Composition,,NULL,,Perceptions of program abuse and support for social insurance,10.1177/1532673x20924784,0.237709649185059,perceptions of partisan composition,perceptions of program abuse and support for social insurance,0.237709649185059
"Replication Data for: ""Economic Voting and Economic Inequality: U.S. Presidential Elections 1952-2012"", Suzanna Linn and Jonathan Nagler, American Politics Research, 2017.",doi:10.7910/DVN/3RAYVU,"nagler, jonathan",Jonathan Nagler Dataverse,Economic voting and economic inequality: u.s. Presidential elections 1952–2012,10.1177/1532673x16685313,0.16534732977686,"economic voting and economic inequality u.s. presidential elections 1952-2012, suzanna linn and jonathan nagler, american politics research, 2017.",economic voting and economic inequality u.s. presidential elections 1952–2012,0.164146355927178
Replication Data for: Measuring Precedent in a Judicial Hierarchy,doi:10.7910/DVN/UH5WOY,"Hitt, Matthew",Matthew P. Hitt Dataverse,Supreme court precedent in a judicial hierarchy,10.1177/1532673x16684572,0.233044485889612,measuring precedent in a judicial hierarchy,supreme court precedent in a judicial hierarchy,0.233044485889612
Beyond Bias,,NULL,,Beyond surveillance,10.1177/1532673x16631416,0.238197767145136,beyond bias,beyond surveillance,0.238197767145136
Replication Data for: Clarifying the Measurement of Relative Ideology in Policy Diffusion Research,doi:10.7910/DVN/ELI51F,"c(""Cruz-Aceves, Victor"", ""Mallinson, Daniel"")",Replication Data for: Clarifying the Measurement of Relative Ideology in Policy Diffusion Research,Clarifying the ideological asymmetry in public attitudes toward political protest,10.1177/1532673x20975329,0.239777926683994,clarifying the measurement of relative ideology in policy diffusion research,clarifying the ideological asymmetry in public attitudes toward political protest,0.239777926683994
American Political Science Review Dataverse,,NULL,,American politics research reviewers 2014,10.1177/1532673x15579965,0.208216595908031,american political science review dataverse,american politics research reviewers 2014,0.208216595908031
Replication Data for: State Adoption of Tax Policy: New Data and New Insights,doi:10.7910/DVN/YEA2A0,"c(""Hayes, Thomas"", ""Dennis, Christopher"")",Thomas J Hayes Dataverse,State adoption of tax policy,10.1177/1532673x13517131,0.163636363636364,state adoption of tax policy new data and new insights,state adoption of tax policy,0.160493827160494
06242: Introduction to Ecologies,doi:10.7910/DVN/27520,"Dandois, Jonathan",GSD Design Data Dataverse,Introduction,10.1177/1532673x15579966,0.208333333333333,06242 introduction to ecologies,introduction,0.204301075268817
Replication Data for: Primary Systems and Candidate Ideology: Evidence from Federal and State Legislative Elections,doi:10.7910/DVN/31IDQM,"Rogowski, Jon",Jon Rogowski Dataverse,Primary systems and candidate ideology,10.1177/1532673x14555177,0.197132616487455,primary systems and candidate ideology evidence from federal and state legislative elections,primary systems and candidate ideology,0.195652173913043
Replication data for: Relying on the Ground Game: The Placement and Effects of Campaign Field Offices,doi:10.7910/DVN/K5XTLH,"c(""Darr, Joshua"", ""Levendusky, Matthew"")",Matt Levendusky Dataverse,Relying on the ground game,10.1177/1532673x13500520,0.223628691983122,relying on the ground game the placement and effects of campaign field offices,relying on the ground game,0.222222222222222
Supreme Court Oral Argument Database - Andrew Manuel Crespo,,NULL,,Supreme court oral arguments and institutional maintenance,10.1177/1532673x12471756,0.198390887498912,supreme court oral argument database - andrew manuel crespo,supreme court oral arguments and institutional maintenance,0.198390887498912
"Replication data for: ""Evaluating the Effects of Multiple Opinion Rationales on Supreme Court Legitimacy."" American Politics Research 45 (May): 335-365.",doi:10.15139/S3/12410,"Bonneau, Chris W.; Kelly, Jarrod; Pronin, Kira; Redman, Shane; Zarit, Matthew",ODUM Harvested  Dataverse,Evaluating the effects of multiple opinion rationales on supreme court legitimacy,10.1177/1532673x16667089,0.125641025641026,evaluating the effects of multiple opinion rationales on supreme court legitimacy. american politics research 45 (may) 335-365.,evaluating the effects of multiple opinion rationales on supreme court legitimacy,0.120734908136483
Socioeconomic,doi:10.7910/DVN/FLYS3E,NULL,Sentinel Landscape Nicaragua Honduras - GIS Dataverse,Socioeconomic stereotypes,10.1177/1532673x14539547,0.16,socioeconomic,socioeconomic stereotypes,0.16
Replication Data for: The Spread of Political Misinformation on Online Subcultural Platforms,doi:10.7910/DVN/ZDN6BN,"Burton, Anthony",Information websites on political subcultural platforms,Personality traits and the consumption of political information,10.1177/1532673x10381466,0.235896734172596,the spread of political misinformation on online subcultural platforms,personality traits and the consumption of political information,0.235896734172596
Replication Data for: Pathways to migration: the role of natural resource degradation,doi:10.7910/DVN/QXP0TY,"Brottrager, Michael",Pathways to migration: the role of natural resource degradation,Pathways to refugee integration: predictions from longitudinal data in colorado,10.1177/0002716220935830,0.214946678217066,pathways to migration the role of natural resource degradation,pathways to refugee integration predictions from longitudinal data in colorado,0.207120209539564
erratum.txt,,NULL,,Erratum,10.1177/0002716212448647,0.121212121212121,erratum.txt,erratum,0.121212121212121
erratum.txt,,NULL,,Erratum,10.1177/0002716218777455,0.121212121212121,erratum.txt,erratum,0.121212121212121
